ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1529,Rudy Hackett,9-Jun,210lb,28,,16.4,2.1,5,0.411,0,0,,2.1,5,0.411,0.411,1.4,2.3,0.619,0.9,2.4,3.3,1.1,0.5,0.3,1.1,2,5.5
1530,Hamed Haddadi,2-Jul,254lb,151,0,7,0.9,1.9,0.463,0,0,0,0.9,1.8,0.471,0.463,0.5,0.8,0.632,0.9,1.6,2.5,0.3,0.1,0.6,0.6,1.4,2.2
1531,Jim Hadnot,10-Jun,235lb,77,,39,6.3,13.6,0.467,0,0,0,6.3,13.5,0.468,0.467,4.8,7.2,0.668,3.9,8.2,12.2,1.8,,,2.2,3.6,17.5
1532,Scott Haffner,3-Jun,180lb,50,6,12.2,1.9,4.8,0.403,0.1,0.5,0.13,1.9,4.3,0.433,0.41,0.4,0.5,0.667,0.2,0.9,1.1,1.8,0.3,0.1,0.7,1.1,4.3
1533,Cliff Hagan,4-Jun,210lb,839,,28.7,6.9,15.1,0.454,0,0.1,0,6.9,15.1,0.454,0.454,4,5,0.799,1.2,1.5,6.6,3.2,,,3.1,3.2,17.7
1534,Glenn Hagan,Jun-00,170lb,4,0,6.3,0.8,1.8,0.429,0,0,,0.8,1.8,0.429,0.429,0.3,0.3,1,0.5,0.5,1,2,0.8,0,0.3,1.8,1.8
1535,Tom Hagan,3-Jun,185lb,73,,12.5,1.9,4.5,0.419,0.3,0.8,0.328,1.6,3.7,0.439,0.448,0.9,1.3,0.707,0.6,1,1.5,1.8,,,0.9,1.6,4.9
1536,Robert Hahn,10-Jun,240lb,10,,,0.4,1.3,0.308,,,,0.4,1.3,0.308,0.308,0.2,0.7,0.286,,,,0.1,,,,1.7,1
1537,Al Hairston,1-Jun,170lb,42,,7,1,2.9,0.336,,,,1,2.9,0.336,0.336,0.2,0.4,0.6,,,1,1,,,,0.9,2.2
1538,Happy Hairston,7-Jun,225lb,776,,31.4,5.5,11.4,0.478,,,,5.5,11.4,0.478,0.478,3.9,5.3,0.741,4.2,8.9,10.3,1.6,0.8,0.2,,3,14.8
