ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2080,Whitey Kachan,2-Jun,175lb,52,,,0.7,2.7,0.268,,,,0.7,2.7,0.268,0.268,0.7,1.1,0.643,,,,0.7,,,,1.6,2.2
2081,George Kaftan,3-Jun,190lb,212,,17.8,2.8,7.5,0.37,,,,2.8,7.5,0.37,0.37,2,3.1,0.65,,,3.1,1.9,,,,1.8,7.5
2082,Ed Kalafat,6-Jun,245lb,209,,20.9,2.3,6.8,0.345,,,,2.3,6.8,0.345,0.345,2.4,3.4,0.688,,,5.7,1.5,,,,3.3,7.1
2083,Chris Kaman,Jul-00,265lb,735,538,26.7,4.7,9.6,0.489,0,0,0.042,4.7,9.5,0.49,0.489,1.8,2.5,0.743,2,5.6,7.6,1.3,0.4,1.3,2.1,2.7,11.2
2084,Frank Kaminsky,Jul-00,242lb,101,9,22.1,3,7.3,0.409,0.9,2.8,0.321,2.1,4.4,0.466,0.472,1.3,1.8,0.716,0.8,3.4,4.2,1.5,0.5,0.5,0.8,1.5,8.1
2085,Enes Kanter,11-Jun,245lb,395,114,21.2,4.4,8.4,0.528,0.1,0.2,0.349,4.4,8.2,0.533,0.533,1.9,2.5,0.764,2.6,4.1,6.7,0.5,0.4,0.5,1.5,2.1,10.8
2086,Ralph Kaplowitz,2-Jun,170lb,105,,,2.1,7.8,0.263,,,,2.1,7.8,0.263,0.263,1.5,2,0.749,,,,0.5,,,,2.1,5.6
2087,Jason Kapono,8-Jun,213lb,509,87,17.8,2.6,5.9,0.442,0.9,2.1,0.434,1.7,3.9,0.446,0.517,0.5,0.6,0.835,0.3,1.3,1.7,0.8,0.4,0,0.6,1.5,6.7
2088,Tony Kappen,10-May,165lb,59,,,2.2,9.1,0.238,,,,2.2,9.1,0.238,0.238,2.2,2.7,0.795,,,,0.5,,,,1.3,6.5
2089,Sergey Karasev,7-Jun,208lb,95,22,11.7,1,2.6,0.395,0.3,1.2,0.282,0.7,1.4,0.489,0.459,0.7,0.8,0.842,0.3,1.2,1.5,0.9,0.3,0,0.6,1,3
2090,Coby Karl,5-Jun,215lb,24,1,7.7,0.8,2.4,0.345,0.3,1,0.25,0.6,1.4,0.412,0.397,0.5,0.7,0.75,0.3,1,1.3,1,0.3,0.1,0.6,0.8,2.4
2091,George Karl,0,0,264,,16.9,2.6,5.5,0.465,0.1,0.2,0.222,2.5,5.3,0.475,0.469,1.3,1.7,0.78,0.4,1,1.4,3,0.9,0.1,1.5,2.1,6.5
2092,Ed Kasid,11-May,185lb,8,,,0.8,2.6,0.286,,,,0.8,2.6,0.286,0.286,0,0.8,0,,,,0.8,,,,1,1.5
2093,Mario Kasun,1-Jul,260lb,73,0,7.8,1.1,2.3,0.467,0,0,0,1.1,2.3,0.47,0.467,0.6,0.9,0.636,1,1.5,2.6,0.2,0.1,0.2,0.6,2.1,2.7
2094,Leo Katkaveck,Jun-00,185lb,107,,,1.7,5.4,0.317,,,,1.7,5.4,0.317,0.317,0.8,1.2,0.685,,,,1.3,,,,2,4.3
2095,Bob Kauffman,8-Jun,240lb,525,,25.8,4.4,9.2,0.477,,,,4.4,9.2,0.477,0.477,2.7,3.7,0.749,1.1,2.3,7,2.7,0.4,0.1,,2.6,11.5
