ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2417,Mike Macaluso,5-Jun,210lb,30,,3.7,0.6,1.5,0.432,,,,0.6,1.5,0.432,0.432,0.3,0.6,0.588,0.3,0.5,0.8,0.1,0.2,0,,1,1.6
2418,Ed Macauley,8-Jun,185lb,641,,35.7,5.8,13.4,0.436,,,,5.8,13.4,0.436,0.436,5.9,7.7,0.761,,,7.5,3.2,,,,2.6,17.5
2419,Todd MacCulloch,Jul-00,280lb,223,105,15.4,2.5,4.7,0.541,0,0,,2.5,4.7,0.541,0.541,1,1.6,0.642,1.5,2.5,4,0.5,0.3,0.8,0.7,2.1,6.1
2420,Ronnie MacGilvray,2-Jun,185lb,6,,9.5,0.3,2,0.167,,,,0.3,2,0.167,0.167,0.7,1.2,0.571,,,1.5,1.8,,,,0.8,1.3
2421,Scott Machado,1-Jun,205lb,6,0,3.5,0.5,1,0.5,0,0.2,0,0.5,0.8,0.6,0.5,0.3,0.3,1,0,0.2,0.2,1,0.3,0,1.3,0,1.3
2422,Arvydas Macijauskas,4-Jun,214lb,19,0,7.1,0.7,2.2,0.341,0.2,0.6,0.25,0.6,1.5,0.379,0.378,0.7,0.8,0.867,0.2,0.4,0.5,0.3,0.4,0,0.4,0.5,2.3
2423,Ollie Mack,3-Jun,185lb,128,3,19.6,3.1,6.8,0.458,0,0.1,0,3.1,6.6,0.467,0.458,1,1.4,0.674,1,1.5,2.5,1.8,0.7,0.1,0.9,1.4,7.2
2424,Sam Mack,7-Jun,220lb,259,105,19.4,2.8,6.9,0.4,1.3,3.4,0.374,1.5,3.5,0.426,0.493,1,1.2,0.831,0.4,1.6,2.1,1.3,0.6,0.1,0.8,1.8,7.8
2425,Shelvin Mack,3-Jun,203lb,299,44,17,2.4,5.8,0.422,0.6,1.9,0.323,1.8,3.8,0.472,0.476,0.7,0.9,0.765,0.2,1.6,1.8,3,0.6,0,1.2,1.1,6.2
2426,Malcolm Mackey,9-Jun,248lb,22,0,3.1,0.6,1.7,0.378,0,0.1,0,0.6,1.6,0.4,0.378,0.2,0.4,0.5,0.5,0.5,1.1,0,0,0.1,0.1,0.4,1.5
2427,Rudy Macklin,7-Jun,205lb,160,52,17.2,2.5,5.5,0.449,0,0,0,2.5,5.4,0.452,0.449,1.5,2,0.776,1.3,1.6,2.9,0.8,0.5,0.2,1.3,2.7,6.4
2428,Vernon Macklin,10-Jun,227lb,23,0,5.9,0.8,1.5,0.543,0,0,,0.8,1.5,0.543,0.543,0.3,0.6,0.571,0.6,0.9,1.5,0.2,0.2,0.2,0.1,0.4,2
2429,Johnny Macknowski,Jun-00,180lb,117,,,2.4,7.7,0.317,,,,2.4,7.7,0.317,0.317,2.2,3,0.727,,,1.9,1.1,,,,2.2,7
2430,Don MacLean,10-Jun,235lb,319,111,20.9,4.1,9.1,0.455,0.2,0.6,0.284,4,8.5,0.467,0.465,2.5,3.3,0.765,1.1,2.7,3.8,1.3,0.4,0.2,1.2,1.9,10.9
2431,Mark Macon,4-Jun,185lb,251,104,20,2.8,7.2,0.384,0.1,0.5,0.27,2.6,6.7,0.393,0.394,1,1.4,0.735,0.7,1.2,1.9,1.7,1.4,0.1,1.3,2.3,6.7
2432,Kyle Macy,3-Jun,175lb,551,257,25.9,3.9,7.9,0.501,0.3,1,0.337,3.6,6.8,0.526,0.523,1.3,1.5,0.873,0.6,1.6,2.2,4,1.1,0.1,1.3,2,9.5
2433,Jack Maddox,3-Jun,185lb,1,,,0,0,,,,,0,0,,,0,0,,,,,1,,,,0,0
2434,Tito Maddox,4-Jun,190lb,9,0,3.9,0.3,1.3,0.25,0,0.3,0,0.3,1,0.333,0.25,0.6,0.9,0.625,0.1,0.7,0.8,0.6,0.3,0.1,0.3,0.4,1.2
2435,Gerald Madkins,4-Jun,200lb,48,0,8.8,0.5,1.5,0.366,0.3,0.7,0.375,0.3,0.8,0.359,0.451,0.3,0.4,0.762,0.1,0.5,0.5,1.4,0.5,0,0.6,0.8,1.7
2436,Mark Madsen,9-Jun,240lb,453,70,11.8,0.8,1.8,0.457,0,0,0.063,0.8,1.8,0.465,0.457,0.5,0.9,0.527,1.2,1.3,2.6,0.4,0.3,0.2,0.5,1.9,2.2
2437,Norm Mager,5-Jun,185lb,24,,,1.7,5.9,0.282,,,,1.7,5.9,0.282,0.282,1.8,2.3,0.786,,,2,1,,,,2.8,5.2
2438,Corey Maggette,6-Jun,218lb,827,478,28.2,4.9,10.8,0.453,0.6,1.7,0.324,4.4,9.1,0.478,0.479,5.6,6.8,0.822,1.1,3.8,4.9,2.1,0.7,0.2,2.3,2.8,16
2439,Dave Magley,8-Jun,202lb,14,0,4,0.3,1.1,0.25,0,0.1,0,0.3,1.1,0.267,0.25,0.3,0.6,0.5,0.1,0.6,0.7,0.1,0.1,0,0.1,0.4,0.9
2440,Jamaal Magloire,11-Jun,259lb,680,314,21.5,2.6,5.4,0.48,0,0,0,2.6,5.4,0.481,0.48,2,3.2,0.639,2.1,4.4,6.5,0.6,0.3,0.9,1.5,2.6,7.2
2441,Randolph Mahaffey,7-Jun,210lb,321,,29.9,4.6,10.3,0.445,0,0,0,4.6,10.3,0.447,0.445,2.7,3.9,0.684,2.7,5.2,8,1.6,,,2.7,3.5,11.9
2442,Ian Mahinmi,11-Jun,250lb,439,92,16.8,1.9,3.6,0.535,0,0,0,1.9,3.6,0.537,0.535,1.3,2.1,0.597,1.4,2.9,4.3,0.5,0.5,0.7,0.9,2.6,5.1
2443,John Mahnken,8-Jun,220lb,414,,10.5,2.3,8.6,0.272,,,,2.3,8.6,0.272,0.272,1.1,1.7,0.65,,,2.9,1.3,,,,2.8,5.8
2444,Brian Mahoney,3-Jun,175lb,19,,9.5,0.9,3,0.298,0,0.1,0,0.9,2.9,0.309,0.298,1.3,2.1,0.6,0.2,0.5,0.7,0.6,,,0.9,1.8,3.1
2445,Mo Mahoney,2-Jun,205lb,8,,5.6,0.5,1.5,0.333,,,,0.5,1.5,0.333,0.333,0.5,0.6,0.8,,,1.1,0.3,,,,0.9,1.5
2446,Rick Mahorn,10-Jun,240lb,1117,613,23.1,2.8,5.6,0.493,0,0,0.132,2.8,5.6,0.495,0.493,1.4,2,0.704,1.6,4.6,6.2,1,0.6,0.9,1.3,3.1,6.9
2447,Dan Majerle,6-Jun,215lb,955,454,31.6,4.1,9.6,0.431,1.4,4,0.358,2.7,5.6,0.482,0.505,1.7,2.4,0.741,1.2,3.3,4.5,2.9,1.3,0.4,1.2,2,11.4
2448,Renaldo Major,7-Jun,200lb,1,0,27,2,10,0.2,0,0,,2,10,0.2,0.2,1,2,0.5,0,2,2,0,2,0,1,4,5
2449,Thon Maker,1-Jul,216lb,6,0,3.2,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0.5,0.7,0.75,0.3,1,1.3,0,0,0.2,0,0.5,2.2
2450,Lionel Malamed,9-May,150lb,44,,,2.2,6.6,0.334,,,,2.2,6.6,0.334,0.334,1.5,1.8,0.831,,,,1.4,,,,1.2,5.9
2451,Jeff Malone,4-Jun,205lb,905,755,32.8,7.8,16.2,0.484,0.1,0.4,0.268,7.7,15.9,0.489,0.487,3.3,3.7,0.871,0.6,2,2.6,2.4,0.6,0.1,1.7,1.9,19
2452,Karl Malone,9-Jun,250lb,1476,1471,37.2,9.2,17.8,0.516,0.1,0.2,0.274,9.1,17.5,0.519,0.518,6.6,8.9,0.742,2.4,7.7,10.1,3.6,1.4,0.8,3.1,3.1,25
2453,Moses Malone,10-Jun,215lb,1455,784,34,7.1,14.3,0.495,0,0.1,0.096,7.1,14.2,0.497,0.495,6.2,8.2,0.76,5.1,7.2,12.3,1.3,0.8,1.3,3.1,2.4,20.3
