ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
3305,Joe Pace,10-Jun,220lb,79,,7.1,1.2,2.5,0.467,,,,1.2,2.5,0.467,0.467,0.9,1.5,0.598,0.8,1.3,2.1,0.3,0.2,0.5,0.9,1.5,3.2
3306,Zaza Pachulia,11-Jun,270lb,914,409,21.4,2.5,5.3,0.462,0,0,0,2.5,5.3,0.464,0.462,2.1,2.9,0.747,2.3,3.7,6,1.3,0.7,0.4,1.4,2.6,7.1
3307,Robert Pack,2-Jun,180lb,552,157,20.8,3.2,7.4,0.425,0.2,0.7,0.292,2.9,6.7,0.439,0.439,2.4,3.1,0.787,0.5,1.5,2,4.6,1.1,0.1,2.4,1.9,8.9
3308,Wayne Pack,Jun-00,165lb,21,,9,1.1,2.9,0.383,0.2,0.8,0.294,0.9,2,0.419,0.425,0.5,0.6,0.833,0.3,0.6,1,0.6,0.3,0,0.6,1,2.9
3309,Gerald Paddio,7-Jun,205lb,129,26,12.6,2.4,5.6,0.421,0.1,0.3,0.242,2.3,5.4,0.429,0.426,0.8,1,0.746,0.5,1,1.4,1,0.3,0.1,0.7,0.8,5.5
3310,Scott Padgett,9-Jun,240lb,448,18,12.5,1.5,3.7,0.41,0.5,1.4,0.373,1,2.3,0.433,0.482,0.6,0.8,0.736,0.9,1.8,2.7,0.7,0.4,0.2,0.6,1.5,4.2
3311,Dana Pagett,2-Jun,180lb,5,,6.8,0.2,1.8,0.111,0.2,0.6,0.333,0,1.2,0,0.167,0.4,0.6,0.667,0.2,0.4,0.6,1.2,,,0.6,1.6,1
3312,Fred Paine,5-Jun,210lb,3,,,1,6.3,0.158,,,,1,6.3,0.158,0.158,0.3,1.7,0.2,,,,0.3,,,,1,2.3
3313,Milt Palacio,3-Jun,195lb,470,88,17.9,1.8,4.4,0.419,0.1,0.4,0.235,1.8,4,0.435,0.429,1,1.4,0.719,0.3,1.4,1.8,2.5,0.6,0.1,1.3,1.5,4.8
3314,Togo Palazzi,4-Jun,205lb,324,,13.4,2.9,7.5,0.386,,,,2.9,7.5,0.386,0.386,1.6,2.1,0.73,,,3.4,0.7,,,,1.8,7.4
3315,Bud Palmer,4-Jun,180lb,148,,,4.2,12.9,0.326,,,,4.2,12.9,0.326,0.326,3.3,4.5,0.739,,,,1.3,,,,3.1,11.7
3316,Errol Palmer,5-Jun,195lb,63,,18.9,2.6,7.2,0.364,0,0,,2.6,7.2,0.364,0.364,2.7,4,0.672,,,7.5,1.4,,,1.2,2.7,7.9
3317,Jim Palmer,8-Jun,224lb,196,,19.4,3.2,7.7,0.413,,,,3.2,7.7,0.413,0.413,1.7,2.5,0.703,,,5.3,0.8,,,,2.9,8.1
3318,Walter Palmer,1-Jul,215lb,48,0,4.4,0.9,2.1,0.412,0,0,0,0.9,2.1,0.416,0.412,0.3,0.5,0.667,0.4,1,1.4,0.2,0.1,0.2,0.3,1,2.1
3319,Andy Panko,9-Jun,222lb,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
