ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
3503,Luther Rackley,10-Jun,220lb,278,,15.6,2.5,5.4,0.461,0,0,0,2.5,5.4,0.461,0.461,1.4,2.2,0.631,1.4,3.2,4.6,0.6,0.3,0.4,0.9,2.3,6.3
3504,Howie Rader,1-Jun,190lb,13,,,0.5,3.5,0.156,,,,0.5,3.5,0.156,0.156,0.2,0.8,0.3,,,,1.1,,,,1.9,1.3
3505,Mark Radford,4-Jun,190lb,97,2,8.3,1.4,2.8,0.507,0.1,0.2,0.286,1.4,2.6,0.526,0.518,0.7,1.5,0.458,0.3,0.5,0.8,1.7,0.5,0.1,1.2,1.5,3.6
3506,Wayne Radford,3-Jun,205lb,52,,12.5,1.6,3.4,0.474,,,,1.6,3.4,0.474,0.474,0.7,0.9,0.8,0.5,0.8,1.3,1.1,0.6,0,0.9,1.2,3.9
3507,Dino Radja,11-Jun,225lb,224,172,32.6,6.8,13.6,0.497,0,0,0,6.8,13.6,0.497,0.497,3.1,4.3,0.735,2.2,6.2,8.4,1.6,0.9,1.3,2.2,3.3,16.7
3508,Vladimir Radmanovic,10-Jun,227lb,737,213,21.9,2.9,7,0.415,1.3,3.5,0.378,1.6,3.5,0.451,0.509,0.8,1.1,0.758,0.9,2.9,3.8,1.4,0.7,0.4,1.1,2.1,8
3509,Aleksandar Radojevic,3-Jul,250lb,15,6,10.1,0.5,1.7,0.308,0,0,,0.5,1.7,0.308,0.308,0.7,1.1,0.625,0.7,1.7,2.4,0.5,0.1,0.2,1.3,2.5,1.7
3510,Frank Radovich,8-Jun,235lb,37,,4.7,1,2.5,0.398,,,,1,2.5,0.398,0.398,0.4,0.7,0.5,,,1.4,0.1,,,,0.7,2.4
3511,Moe Radovich,Jun-00,160lb,4,,8.3,1.3,3.3,0.385,,,,1.3,3.3,0.385,0.385,1,1,1,,,0.3,2,,,,1.3,3.5
3512,Miroslav Raduljica,Jul-00,250lb,53,2,9.2,1.3,2.5,0.53,0,0,,1.3,2.5,0.53,0.53,0.9,1.1,0.825,1.1,1.1,2.1,0.4,0.2,0.2,0.6,1.7,3.6
3513,Ray Radziszewski,5-Jun,210lb,1,,6,0,3,0,,,,0,3,0,0,0,0,,,,2,1,,,,1,0
3514,Ray Ragelis,4-Jun,205lb,51,,6.6,0.5,1.9,0.26,,,,0.5,1.9,0.26,0.26,0.4,0.6,0.621,,,1.5,0.6,,,,1.2,1.3
3515,Sherwin Raiken,2-Jun,185lb,6,,10.5,0.5,3.5,0.143,,,,0.5,3.5,0.143,0.143,0.5,1.3,0.375,,,1.3,1,,,,1.7,1.5
3516,Ed Rains,7-Jun,190lb,83,16,11.2,1.3,3.1,0.423,0,0,0,1.3,3.1,0.428,0.423,0.8,1.3,0.626,0.7,0.7,1.5,0.7,0.3,0,0.6,1.3,3.5
3517,Igor Rakocevic,3-Jun,183lb,42,0,5.8,0.5,1.4,0.379,0.1,0.3,0.417,0.4,1.1,0.37,0.422,0.7,0.9,0.806,0.1,0.3,0.4,0.8,0.1,0,0.5,0.6,1.9
3518,Kurt Rambis,8-Jun,213lb,880,462,18.5,2,3.8,0.534,0,0,0,2,3.8,0.536,0.534,1.1,1.6,0.689,1.9,3.8,5.6,1.1,0.9,0.5,1.2,2.3,5.2
3519,Peter John Ramos,3-Jul,275lb,6,0,3.3,0.8,1.7,0.5,0,0,,0.8,1.7,0.5,0.5,0.2,0.3,0.5,0.2,0.5,0.7,0,0,0.2,0.5,0.7,1.8
3520,Cal Ramsey,4-Jun,200lb,13,,17.1,3.2,8.2,0.383,,,,3.2,8.2,0.383,0.383,1.6,2.8,0.568,,,5.6,0.9,,,,2.5,7.9
3521,Frank Ramsey,3-Jun,190lb,623,,24.6,4.7,11.8,0.399,,,,4.7,11.8,0.399,0.399,4,4.9,0.804,,,5.5,1.8,,,,3.5,13.4
3522,Ray Ramsey,2-Jun,165lb,2,,,0,0.5,0,,,,0,0.5,0,0,1,1,1,,,,0,,,,0,1
3523,Mark Randall,8-Jun,235lb,127,0,7,1,2.3,0.443,0,0.3,0.154,1,2,0.488,0.453,0.6,0.8,0.722,0.6,0.6,1.3,0.4,0.2,0.1,0.4,0.7,2.6
3524,Julius Randle,9-Jun,250lb,104,82,28.1,4.5,10.2,0.444,0.1,0.5,0.25,4.4,9.7,0.454,0.45,2.4,3.4,0.705,2.1,7.8,9.8,2.1,0.7,0.4,2.1,3,11.6
3525,Anthony Randolph,10-Jun,205lb,252,43,15.2,2.7,5.9,0.453,0.1,0.3,0.241,2.6,5.6,0.466,0.46,1.6,2.2,0.74,1.3,2.9,4.3,0.7,0.6,0.9,1.2,1.8,7.1
3526,Shavlik Randolph,10-Jun,240lb,146,7,8.2,0.9,2,0.449,0,0,0.167,0.9,1.9,0.456,0.451,0.6,1,0.544,1,1.5,2.5,0.2,0.3,0.3,0.4,1.3,2.3
3527,Zach Randolph,9-Jun,260lb,1001,820,31.7,6.7,14.2,0.473,0.1,0.5,0.26,6.6,13.7,0.48,0.477,3.3,4.3,0.764,3,6.3,9.3,1.8,0.8,0.3,2.1,2.4,16.9
3528,Wally Rank,6-Jun,220lb,25,,6.1,0.8,2.3,0.368,0,0,,0.8,2.3,0.368,0.368,0.5,1.1,0.464,0.7,0.5,1.2,0.7,0.3,0,1,1.3,2.2
3529,Kelvin Ransey,1-Jun,170lb,474,166,24.4,4.7,10.3,0.454,0,0.3,0.132,4.6,9.9,0.464,0.456,2,2.6,0.782,0.5,1.4,1.9,5.2,1,0.1,2,1.9,11.4
3530,Sam Ranzino,1-Jun,185lb,39,,6,0.8,2.3,0.333,,,,0.8,2.3,0.333,0.333,0.7,0.9,0.703,,,1,0.6,,,,1.6,2.2
3531,Bobby Rascoe,4-Jun,205lb,159,,18.2,2.8,6.7,0.424,0,0.1,0.143,2.8,6.5,0.43,0.426,2,2.7,0.768,0.7,1.2,2.8,1.3,,,1.1,1.8,7.7
3532,Blair Rasmussen,Jul-00,250lb,532,282,21.4,4.2,9,0.472,0,0.1,0.257,4.2,8.9,0.473,0.473,1.2,1.5,0.767,1.7,3.9,5.7,0.9,0.4,0.9,0.9,3.1,9.6
3533,George Ratkovicz,6-Jun,220lb,343,,27.3,2.9,7.8,0.372,,,,2.9,7.8,0.372,0.372,3.3,5,0.673,,,6.9,2.3,,,,3.6,9.2
3534,Ed Ratleff,6-Jun,195lb,338,,24.9,3.4,7.6,0.454,,,,3.4,7.6,0.454,0.454,1.5,1.8,0.803,1.4,2.7,4,2.7,1.3,0.4,1,2.4,8.3
3535,Mike Ratliff,10-Jun,230lb,60,,11.4,1.6,3.9,0.417,,,,1.6,3.9,0.417,0.417,0.8,1.4,0.536,0,0,3.2,0.6,0,0,,1.9,4
3536,Theo Ratliff,10-Jun,225lb,810,533,25.3,2.7,5.5,0.496,0,0,0,2.7,5.5,0.496,0.496,1.7,2.4,0.71,1.9,3.8,5.7,0.6,0.5,2.4,1.2,2.8,7.2
3537,Andy Rautins,4-Jun,190lb,5,0,4.8,0.6,1.4,0.429,0.2,0.8,0.25,0.4,0.6,0.667,0.5,0.2,0.4,0.5,0,0.2,0.2,0.6,0.2,0,1.4,0,1.6
3538,Leo Rautins,8-Jun,215lb,32,3,6.5,0.7,1.9,0.35,0,0,,0.7,1.9,0.35,0.35,0.2,0.3,0.6,0.3,0.8,1.1,1,0.3,0.1,0.6,1.1,1.5
3539,Allan Ray,2-Jun,190lb,47,5,15.1,2.1,5.5,0.386,1,2.5,0.414,1.1,3,0.364,0.479,0.9,1.2,0.764,0.4,1.1,1.5,0.9,0.4,0.1,0.9,1.8,6.2
3540,Clifford Ray,9-Jun,230lb,784,,25.4,3,5.7,0.524,0,0,0,3,5.7,0.525,0.524,1.5,2.5,0.588,2.6,5.8,8.9,2.2,0.8,1,1.7,3.3,7.4
3541,Don Ray,5-Jun,190lb,61,,,2.1,6.6,0.323,,,,2.1,6.6,0.323,0.323,1.7,2.4,0.698,,,,1,,,,2.4,6
3542,James Ray,8-Jun,215lb,103,7,8.2,1.3,3.1,0.428,0,0,0.333,1.3,3.1,0.429,0.429,0.6,0.9,0.629,0.7,1.6,2.2,0.7,0.4,0.4,1,1.7,3.2
3543,Jim Ray,1-Jun,180lb,8,,8,0.4,2.1,0.176,,,,0.4,2.1,0.176,0.176,0.4,0.6,0.6,,,0.6,0.6,,,,0.9,1.1
3544,Jimmy Rayl,2-Jun,175lb,101,,27.3,3.9,10.1,0.381,0.9,2.6,0.341,3,7.5,0.395,0.426,2.5,3.1,0.823,0.9,1.6,3,2.7,,,2.4,2.7,11.1
3545,Craig Raymond,11-Jun,235lb,241,,19.5,2.8,6.1,0.452,0,0,0,2.8,6.1,0.454,0.452,1.4,2.1,0.631,1.4,5.4,6.3,1.4,,,2.1,2.4,6.9
3546,Connie Rea,3-Jun,175lb,20,,7.7,0.5,2.2,0.209,,,,0.5,2.2,0.209,0.209,0.3,0.8,0.313,,,1.6,0.8,,,,0.7,1.2
3547,Joe Reaves,5-Jun,210lb,19,,11.1,1.9,4.3,0.444,0,0,,1.9,4.3,0.444,0.444,0.4,0.9,0.471,1,1.8,2.8,0.4,0.1,0.5,1.4,1.5,4.2
3548,Zeljko Rebraca,Jul-00,257lb,215,22,15.3,2.3,4.3,0.527,0,0,,2.3,4.3,0.527,0.527,1.4,1.8,0.792,0.9,2.3,3.2,0.4,0.3,0.7,0.9,2.4,5.9
3549,Eldridge Recasner,3-Jun,190lb,296,47,17.3,2.1,5,0.426,0.8,2,0.409,1.3,3,0.436,0.506,0.8,0.9,0.887,0.4,1.4,1.8,1.8,0.4,0,1,1.4,5.9
3550,Michael Redd,6-Jun,220lb,629,429,32,6.7,15,0.447,1.7,4.4,0.38,5,10.6,0.475,0.503,4,4.8,0.838,1,2.8,3.8,2.1,0.9,0.1,1.5,1.6,19
