ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
3738,Arvydas Sabonis,3-Jul,279lb,470,314,24.2,4.4,8.9,0.5,0.3,0.9,0.328,4.1,8,0.52,0.517,2.8,3.6,0.786,1.6,5.7,7.3,2.1,0.8,1.1,1.8,2.7,12
3739,Domantas Sabonis,11-Jun,240lb,23,23,21.8,2.7,6,0.453,1,2.4,0.429,1.7,3.5,0.469,0.54,0,0.1,0.5,0.3,2.7,3.1,1.4,0.7,0.3,1.1,2.8,6.5
3740,Robert Sacre,Jul-00,270lb,189,35,14.5,1.7,3.9,0.436,0,0,0,1.7,3.9,0.437,0.436,0.8,1.2,0.671,1.1,2,3.1,0.7,0.3,0.6,0.5,1.8,4.2
3741,Ed Sadowski,5-Jun,240lb,229,,,5.6,15.7,0.354,,,,5.6,15.7,0.354,0.354,4.5,6.4,0.697,,,,1.8,,,,3.9,15.6
3742,Kenny Sailors,10-May,175lb,276,,,4.5,13.8,0.329,,,,4.5,13.8,0.329,0.329,3.5,4.9,0.712,,,2,2.8,,,,3.7,12.6
3743,John Salley,11-Jun,230lb,748,228,22.1,2.5,4.9,0.506,0,0,0.214,2.5,4.9,0.507,0.506,2,2.8,0.714,1.6,2.8,4.5,1.2,0.6,1.3,1.3,3.2,7
3744,John Salmons,7-Jun,210lb,895,429,26.4,3.4,7.8,0.431,0.8,2.2,0.366,2.5,5.6,0.457,0.483,1.7,2.2,0.799,0.5,2.4,2.9,2.4,0.8,0.3,1.3,1.9,9.3
3745,Al Salvadori,9-Jun,220lb,17,,10.9,1.2,3.4,0.362,0.1,0.1,1,1.2,3.4,0.351,0.371,0.6,0.9,0.688,,,2.7,0.2,,,0.7,1.6,3.2
3746,Kevin Salvadori,Jul-00,231lb,39,0,6.2,0.3,1.2,0.283,0,0,,0.3,1.2,0.283,0.283,0.4,0.6,0.667,0.3,0.9,1.2,0.3,0.1,0.6,0.4,0.7,1.1
3747,Soumaila Samake,Jul-00,230lb,47,1,6.4,0.6,1.5,0.389,0,0,,0.6,1.5,0.389,0.389,0.3,0.6,0.462,0.7,0.9,1.6,0.1,0,0.4,0.1,0.8,1.4
3748,Cheikh Samb,1-Jul,245lb,22,0,5.2,0.4,1.6,0.25,0,0.1,0,0.4,1.5,0.273,0.25,0.2,0.4,0.444,0.6,0.8,1.4,0,0.2,0.5,0.2,0.7,1
3749,JaKarr Sampson,9-Jun,214lb,147,72,15.6,1.9,4.5,0.431,0.3,1.3,0.237,1.6,3.2,0.51,0.465,1,1.5,0.662,0.6,1.9,2.4,0.8,0.4,0.4,1,1.9,5.2
3750,Jamal Sampson,11-Jun,235lb,72,5,8.8,0.7,1.5,0.491,0,0,0,0.7,1.5,0.495,0.491,0.5,0.9,0.537,1.1,2.3,3.4,0.4,0.1,0.4,0.5,1.3,2
3751,Ralph Sampson,4-Jul,228lb,456,363,29.8,6.4,13.2,0.486,0,0.1,0.172,6.4,13.1,0.489,0.487,2.6,3.9,0.661,2.6,6.2,8.8,2.3,0.9,1.6,3,3.5,15.4
3752,Samardo Samuels,9-Jun,260lb,109,11,15.8,2.2,4.9,0.445,0,0,0,2.2,4.8,0.449,0.445,1.5,2.3,0.653,1.4,2,3.4,0.4,0.3,0.4,1.1,2.1,5.9
3753,Pepe Sanchez,4-Jun,195lb,38,0,4.9,0.2,0.9,0.273,0,0,0,0.2,0.8,0.281,0.273,0.1,0.1,1,0.2,0.4,0.6,1.3,0.4,0,0.2,0.6,0.5
3754,Al Sanders,7-Jun,240lb,4,,6.3,0.5,0.5,1,0,0,,0.5,0.5,1,1,1,1.5,0.667,0,1.3,1.3,0,,,0.8,1,2
3755,Frankie Sanders,6-Jun,200lb,69,,9.6,2,4.7,0.43,0,0,,2,4.7,0.43,0.43,1.1,1.3,0.822,0.6,1.3,1.9,1,0.5,0.1,1.1,1.3,5.1
3756,Jeff Sanders,8-Jun,225lb,55,0,8.4,0.9,2.3,0.395,0,0,,0.9,2.3,0.395,0.395,0.3,0.4,0.609,0.7,1.1,1.9,0.5,0.3,0.2,0.6,1.2,2
3757,Larry Sanders,11-Jun,235lb,233,113,19.8,2.9,6,0.48,0,0,0,2.9,5.9,0.482,0.48,0.8,1.4,0.55,2,3.7,5.8,0.7,0.6,1.8,1,2.8,6.5
3758,Melvin Sanders,5-Jun,210lb,16,0,7.1,1,2.1,0.485,0.1,0.2,0.667,0.9,1.9,0.467,0.515,0.4,0.6,0.7,0.3,1.2,1.4,0.2,0.3,0,0.5,1.3,2.6
3759,Mike Sanders,6-Jun,210lb,648,209,19.1,3.3,6.9,0.482,0,0.1,0.221,3.3,6.8,0.487,0.484,1.2,1.6,0.769,1,1.9,3,1.4,0.7,0.3,1.1,2.6,8
3760,Tom Sanders,6-Jun,210lb,916,,24.2,3.7,8.7,0.428,,,,3.7,8.7,0.428,0.428,2.1,2.8,0.767,,,6.3,1.1,,,,3.3,9.6
3761,Ron Sanford,9-Jun,215lb,1,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,,,0,1,0
3762,Daniel Santiago,1-Jul,256lb,122,30,11.6,1.3,2.7,0.469,0,0,,1.3,2.7,0.469,0.469,0.9,1.3,0.685,0.6,1.5,2.1,0.3,0.3,0.4,0.7,1.9,3.4
3763,Bob Santini,5-Jun,190lb,4,,5.8,1.3,2.5,0.5,,,,1.3,2.5,0.5,0.5,0.3,0.5,0.5,,,0.8,0.3,,,,1,2.8
3764,Wayne Sappleton,9-Jun,215lb,33,0,9,1.2,2.6,0.471,0,0,,1.2,2.6,0.471,0.471,0.4,1,0.412,0.8,1.4,2.3,0.2,0.2,0.1,0.6,1.5,2.9
3765,Dario Saric,10-Jun,223lb,23,10,24.8,3.8,9.5,0.397,1.4,3.7,0.393,2.3,5.9,0.4,0.473,1.2,1.6,0.73,1,5,6,1.7,0.5,0.3,2,2,10.2
3766,Jason Sasser,7-Jun,225lb,14,0,7.7,1,2.4,0.412,0.1,0.2,0.333,0.9,2.2,0.419,0.426,0.1,0.1,0.5,0.2,0.9,1.1,0.3,0.4,0,0.3,1.1,2.1
3767,Jeryl Sasser,6-Jun,200lb,82,4,12.9,0.8,2.7,0.303,0.2,0.5,0.295,0.7,2.2,0.305,0.333,0.7,1,0.687,0.8,1.5,2.3,0.8,0.6,0.1,0.5,1.1,2.5
3768,Tomas Satoransky,7-Jun,210lb,18,2,16.6,1.6,3.9,0.4,0.1,0.9,0.118,1.4,2.9,0.491,0.414,0.6,0.9,0.647,0.4,1.3,1.8,2.4,0.6,0,0.9,1.7,3.8
3769,Kenny Satterfield,2-Jun,186lb,75,10,14.2,1.7,5.1,0.335,0.2,0.7,0.218,1.5,4.4,0.355,0.351,0.7,0.9,0.746,0.4,0.8,1.3,2.3,0.7,0,1.3,1.1,4.3
3770,Pep Saul,2-Jun,185lb,384,,23,2,5.7,0.36,,,,2,5.7,0.36,0.36,1.5,2.1,0.739,,,2,1.6,,,,1.8,5.6
3771,Woody Sauldsberry,7-Jun,220lb,462,,27.7,4.7,13.6,0.348,,,,4.7,13.6,0.348,0.348,1.2,2,0.61,,,7.8,1.1,,,,3.1,10.7
