ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Menghe a'Nyam,41,,0.9,2.1,0.414,0.9,2,0.429,0,0.1,0,0.7,1.2,0.529,3,0.1,0.4,0.3,1.2,,2.4
2,Jordan Aaberg,115,11.2,1.5,2.3,0.619,1.5,2.3,0.619,0,0,,0.6,0.7,0.788,2.3,0.2,0.2,0.8,0.6,1.6,3.5
3,Karl Aaker,92,,1.4,4,0.346,0.4,1.2,0.36,0.9,2.8,0.34,0.4,0.6,0.611,2,0.6,0.4,0.2,,,4.1
4,Mike Aaman,88,18.8,2.9,6.2,0.472,2.9,6.1,0.473,0,0,0,1.6,2.6,0.63,5.7,0.4,0.5,0.6,1.1,2.4,7.5
5,Carlton Aaron,86,,4.3,7.8,0.544,4.3,7.8,0.544,0,0,,2,4.1,0.482,7.3,0.3,0.6,0.6,,,10.5
6,Jordan Aaron,63,34.3,4.6,12.3,0.373,2.4,6,0.402,2.1,6.2,0.344,3.3,3.9,0.838,3.3,3.3,1.2,0.1,3,2.6,14.6
7,Kris Aaron,4,,0.3,0.5,0.5,0.3,0.5,0.5,0,0,,0,0,,1.3,0,0,0,,,0.5
8,Nate Aaron,11,,0.6,1.7,0.368,0.2,0.6,0.286,0.5,1.1,0.417,0.6,0.7,0.875,1.3,0.5,0.2,0.3,,,2.4
9,Shaddean Aaron,105,,3.9,8.4,0.459,3,5.9,0.516,0.8,2.6,0.328,2,2.7,0.745,4,1.2,0.9,0.6,1.8,,10.6
10,Shaqquan Aaron,31,11.7,1.5,3.9,0.375,0.8,2,0.419,0.6,1.9,0.328,0.6,1,0.633,1.7,0.4,0.3,0.1,0.5,0.7,4.1
11,Troy Aaron,91,,2.4,6.1,0.387,1.7,4.1,0.422,0.6,2,0.317,1.2,1.9,0.642,2.6,1.9,0.7,0.1,,,6.6
12,Joe Aase,24,6.3,0.3,1,0.333,0.2,0.5,0.385,0.1,0.5,0.273,0,0.1,0.5,1,0.2,0.1,0.1,0.2,1.3,0.8
13,Brian Abadie,1,,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,,,0
14,Ronell Abaekobe,7,1.4,0.1,0.1,1,0.1,0.1,1,0,0,,0.3,0.6,0.5,0,0,0,0,0,0.1,0.6
15,Kwesi Abakah,82,8.3,0.4,1,0.42,0.4,1,0.42,0,0,,0.3,0.8,0.452,1.4,0.2,0.1,0.1,0.4,1.1,1.2
16,Kevin Abanobi,58,,1.1,3,0.382,0.9,1.8,0.49,0.3,1.2,0.217,0.8,1.3,0.671,2,0.3,0.3,0.4,1.1,,3.4
17,Jerome Abbage,54,,1.9,5.1,0.363,0.6,1.4,0.413,1.3,3.8,0.345,0.5,0.7,0.722,1.7,0.7,0.1,0.2,,,5.5
18,Gus Abbott,19,,0.3,1.6,0.2,0.1,0.9,0.111,0.2,0.6,0.333,0.3,0.7,0.429,1.2,0.4,0.1,0.2,,,1.2
19,Malik Abbott,4,1.8,0,0,,0,0,,0,0,,0,0,,1,0.3,0,0,0.3,0.3,0
20,Matthew Abbott,3,,0,0.3,0,0,0,,0,0.3,0,0,0,,0.7,0,0,0,,,0
21,Ryan Abbott,59,,0.8,2.3,0.366,0.3,0.7,0.45,0.5,1.6,0.33,0.6,0.8,0.688,1.5,0.7,0.4,0,,,2.7
22,Ty Abbott,130,30.5,3.5,8.8,0.399,1.4,2.9,0.475,2.1,5.8,0.361,1.1,1.6,0.7,3.9,1.8,1,0.4,1.5,1.2,10.2
23,Mostafa Abdel Latif,56,15.2,1.5,3,0.482,1.5,3,0.482,0,0,,0.5,0.8,0.587,4.4,0.2,0.2,0.5,0.7,2.1,3.4
24,Ha-Keem Abdel-Khaliq,16,,0.2,0.8,0.231,0.1,0.4,0.167,0.1,0.4,0.4,0.1,0.2,0.333,0.1,0.1,0.1,0,,,0.6
25,Alaa Abdelnaby,134,14.8,3.3,5.6,0.599,,,,,,,1.8,2.5,0.728,3.7,0.4,0.4,0.5,1,2.1,8.5
26,Salah Abdo,5,2.2,0,0,,0,0,,0,0,,0,0.4,0,0,0,0,0,0,0.2,0
27,Akbar Abdul-Ahad,57,,2.8,7.2,0.384,0.9,2.2,0.383,1.9,5,0.385,2.3,2.9,0.798,2.4,3.6,1.1,0,,,9.7
28,Muhammad Abdul-Aleem,50,17.7,2.5,6.9,0.369,2,5,0.403,0.5,1.9,0.281,1.7,2.7,0.632,3.5,1,0.9,0.1,1.9,1.6,7.3
29,Musa Abdul-Aleem,55,20.7,3.4,8.4,0.4,1.7,3.4,0.487,1.7,5,0.339,1.6,2.1,0.779,3.2,0.6,0.8,0.1,1.2,1.5,10
30,Jalil Abdul-Bassit,52,15.5,2.1,5,0.421,0.8,2.1,0.411,1.3,3,0.429,0.7,0.9,0.739,1.3,0.6,0.5,0.2,0.8,1.7,6.2
31,Mustafa Abdul-Hamid,49,8.6,0.6,1.3,0.46,0.3,0.5,0.654,0.2,0.8,0.324,0.1,0.2,0.444,0.4,0.6,0.1,0,0.5,0.3,1.5
32,Kareem Abdul-Jabbar,88,,10.7,16.8,0.639,,,,,,,5,7.9,0.628,15.5,,,,,,26.4
33,Kareem Abdul-Jabbar,52,,1.5,2.8,0.545,1.4,2.6,0.552,0.1,0.2,0.444,1.4,2.1,0.649,2.7,0.4,0.4,0.1,,,4.5
34,Khaleel Abdul-Malik,20,,2.5,5.7,0.434,2.4,5.5,0.436,0.1,0.2,0.333,1.6,1.9,0.816,1.7,0.6,0.3,0.3,,,6.5
35,Khaalis Abdul-Raqeeb,50,,1,3.2,0.321,0.6,1.7,0.376,0.4,1.5,0.257,0.2,0.3,0.688,1,0.3,0.3,0.1,,,2.6
36,Mahmoud Abdul-Rauf,64,37.2,10.4,21.9,0.474,7.7,14.7,0.524,2.7,7.2,0.372,5.5,6.4,0.863,3,3.6,1.7,0.1,3.6,2.1,29
37,Tariq Abdul-Wahad,87,23.4,4.9,10.4,0.477,4.4,8.6,0.509,0.6,1.7,0.322,3.2,4.4,0.726,5.4,1.3,1,0.6,2.2,2.7,13.6
38,Abdul Abdullah,30,,1.1,3.2,0.33,0.7,1.8,0.377,0.4,1.5,0.273,1,1.5,0.644,1.9,8,1.6,0.2,,,3.5
39,Ahmad Abdullah,85,25.8,2.2,5.8,0.382,1.4,3.7,0.395,0.8,2.1,0.359,1.3,1.7,0.764,2.4,2.3,0.6,0,1.5,1.5,6.5
40,Ali Abdullah,99,,3,7.7,0.388,1.9,4.2,0.462,1.1,3.5,0.3,4.2,5.6,0.74,2.6,4.3,1.6,0,,,11.2
41,Bilal Abdullah,116,,3.3,7.6,0.431,1.9,3.9,0.49,1.4,3.7,0.368,2.9,3.8,0.764,3.6,2.5,1.1,0.4,3,,10.8
42,Halim Abdullah,53,,1.1,3.7,0.294,0.6,1.6,0.349,0.5,2,0.25,0.4,0.8,0.575,1,3.1,1.2,0,,,3.1
43,Hasan Abdullah,19,15.6,1.5,4.2,0.354,0.6,1.4,0.462,0.8,2.8,0.302,0.3,0.5,0.5,1.5,2,0.9,0,1.6,1.6,4.1
44,Hassan Abdullah,75,,1.8,5,0.371,1.3,3.5,0.37,0.5,1.4,0.374,1.2,1.7,0.713,2.8,0.5,0.5,0.2,,,5.4
45,Sulaiman Abdullah,4,,0,0.3,0,0,0.3,0,0,0,,0,0.3,0,0,0,0,0,,,0
46,Umar Abdullah,1,,2,5,0.4,2,5,0.4,0,0,,0,0,,6,0,0,0,,,4
47,Jordan Abdur-Ra'oof,55,12.9,1,3.2,0.316,0.6,1.6,0.356,0.4,1.5,0.274,0.3,0.5,0.552,2,0.4,0.5,0.2,0.5,1.5,2.7
48,Amir Abdur-Rahim,83,,5,13.8,0.364,2.7,6.6,0.406,2.3,7.2,0.325,3.1,4.1,0.751,3.3,2.1,1.4,0.1,,,15.4
49,Bilal Abdur-Rahim,6,10.5,1.2,2.5,0.467,1,2.3,0.429,0.2,0.2,1,0,0.7,0,1.7,0.8,0.5,0,1.2,1.5,2.5
50,Muhammad Abdur-Rahim,104,,0.7,1.8,0.385,0.5,1,0.486,0.2,0.8,0.25,0.5,0.8,0.608,1.7,0.8,0.4,0.1,,,2
51,Shareef Abdur-Rahim,28,34.7,7.4,14.2,0.518,7.1,13.5,0.525,0.3,0.8,0.381,6.1,8.9,0.683,8.4,1,1.9,1.3,3.1,2.1,21.1
52,Muhammad-Ali Abdur-Rahkman,74,24.6,2.6,6,0.432,1.9,3.8,0.493,0.7,2.1,0.323,1.1,1.4,0.757,2.3,1.4,0.6,0.1,0.9,1.6,6.9
53,Saif Abdur-rahman,4,,0.3,1.5,0.167,0,1,0,0.3,0.5,0.5,0.5,0.5,1,0.3,0.5,0.3,0,,,1.3
