ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Amadou Ba,24,,0.2,0.3,0.571,0.2,0.3,0.571,0,0,,0,0.2,0.25,0.3,0,0,0,,,0.4
2,Ousmane Ba,19,4.6,0.1,0.3,0.167,0.1,0.3,0.167,0,0,,0.1,0.4,0.125,1,0.2,0.1,0.1,0.3,1.6,0.2
3,Pape Ba,87,,3.5,7.5,0.471,3.5,7.5,0.471,0,0,,1.6,2.7,0.591,5.7,0.5,0.5,0.4,,,8.7
4,Tamsir Ba,42,,0.5,1.2,0.469,0.5,1.2,0.469,0,0,,0.2,0.3,0.692,1.4,0.2,0.1,0.4,,,1.3
5,Nana Baafi,15,,0.1,0.4,0.167,0.1,0.4,0.167,0,0,,0.1,0.1,0.5,0.6,0.1,0.1,0,,,0.2
6,Eugene Baah,53,,1.1,2.9,0.381,0.6,1.3,0.486,0.5,1.6,0.294,0.4,0.6,0.697,1.7,1,0.4,0.2,,,3.1
7,Olu Babalola,108,,2.1,5.6,0.373,1.5,3.5,0.426,0.6,2.1,0.283,1.7,2.4,0.698,3.4,1.1,1,0.3,,,6.4
8,Chris Babb,130,31.9,2.3,6.2,0.377,0.6,1.5,0.434,1.7,4.7,0.359,0.9,1.2,0.733,3,1.7,0.8,0.2,0.8,1.1,7.2
9,Nick Babb,26,4.8,0.3,0.8,0.318,0.2,0.5,0.308,0.1,0.3,0.333,0.1,0.1,1,0.8,0.5,0.2,0.1,0.2,0.3,0.7
10,Jaylen Babb-Harrison,69,13.7,2.1,5.1,0.402,0.8,1.8,0.457,1.2,3.3,0.372,0.8,0.9,0.887,2.1,1,0.7,0,0.7,1,6.1
11,Luke Babbitt,68,37.1,6.5,13.6,0.48,5.4,11,0.494,1.1,2.6,0.421,5.2,5.8,0.893,8.1,1.8,0.9,0.8,2.1,1.3,19.4
12,Greg Babcock,117,,2.6,4.4,0.587,2.6,4.4,0.587,0,0,,2.2,3.2,0.684,5.2,0.4,0.2,0.6,,,7.4
13,Jake Babic,67,17,1.4,4.1,0.342,0.6,1.6,0.4,0.8,2.5,0.305,0.8,1.2,0.679,2,1.7,0.2,0.1,1.1,1.4,4.3
14,Milos Babic,80,26.8,4.8,10.1,0.48,5.3,10.5,0.505,0.1,0.2,0.286,2.6,3.8,0.667,7.5,0.9,0.8,1.4,3,3.2,12.2
15,Kori Babineaux,82,29,5.7,12.1,0.471,5.5,11.3,0.49,0.1,0.7,0.18,2,3.3,0.594,3.7,3.2,1,0.1,2.7,2.3,13.5
16,Todd Babington,131,,2.5,6.3,0.4,0.6,1.1,0.51,1.9,5.2,0.376,0.9,1.3,0.718,1.8,1.1,0.6,0.1,1.1,,7.9
17,Frantisek Babka,2,,0.5,3,0.167,0.5,0.5,1,0,2.5,0,0,0,,1.5,0,0,0,,,1
18,Michael Bables,12,1.9,0.2,0.6,0.286,0.1,0.5,0.167,0.1,0.1,1,0,0,,0,0.1,0.1,0,0.3,0.1,0.4
19,Serge Babo,1,,0,2,0,0,2,0,0,0,,0,0,,2,0,0,0,,,0
20,Jon Babul,104,,1.6,4.3,0.379,1.5,3.7,0.396,0.2,0.6,0.271,1.8,2.5,0.698,4.1,1.1,0.6,0.4,,,5.2
21,Mike Babul,120,,1.5,3.3,0.443,1.4,3,0.463,0.1,0.3,0.243,0.7,1.4,0.482,3,1.6,0.6,0.5,,,3.7
22,Phillip Bach,31,4.2,0.4,1.2,0.351,0.3,0.5,0.6,0.1,0.7,0.182,0.1,0.4,0.364,0.6,0.3,0.2,0,0.4,0.3,1.1
23,Stephan Bachmann,118,,3.4,6.2,0.543,3.2,5.9,0.547,0.2,0.3,0.463,2,2.5,0.797,3.6,0.8,0.3,0.1,,,8.9
24,Dante Bachus,19,5.6,0.6,1.4,0.407,0.6,1.4,0.407,0,0,,0.3,0.5,0.5,1.3,0.1,0.2,0.2,0.4,0.7,1.4
25,Dallin Bachynski,120,13,1.6,3,0.539,1.6,2.9,0.545,0.1,0.1,0.4,1.3,1.9,0.69,3.3,0.4,0.4,0.5,0.7,1.7,4.6
26,Jordan Bachynski,122,21.9,2.9,5.2,0.56,2.9,5.2,0.56,0,0,,2.1,3.5,0.613,5.4,0.3,0.2,2.6,1.3,2.2,7.9
27,Sammy Bacino,26,,1.1,2.5,0.446,0.9,1.8,0.522,0.2,0.7,0.263,0.5,1,0.444,2.3,0.8,0.5,0,,,2.9
28,Catalin Baciu,75,6.8,1.1,1.9,0.545,1.1,1.9,0.545,0,0,,0.3,0.7,0.5,1.7,0.1,0.2,0.3,0.5,0.8,2.5
29,Matt Backs,60,,0.8,1.9,0.432,0.8,1.6,0.484,0,0.3,0.125,0.3,0.5,0.567,1.4,0.2,0.2,0.1,,,1.9
30,Chris Bacon,26,,2.2,5.2,0.422,2,4.4,0.461,0.2,0.8,0.2,0.3,1,0.296,3.2,0.6,0.4,0.3,,,4.8
31,Chris Bacon,28,,6.3,13.7,0.462,6.3,13.6,0.466,0,0.1,0,3.1,5.1,0.604,7.4,1.6,0.6,0.5,,,15.8
32,Dwayne Bacon,44,28.2,5.8,12.7,0.459,4.7,9.1,0.515,1.1,3.6,0.316,3.1,4.3,0.723,5.4,1.5,1,0,2,1.9,16
33,Jahi Bacon,61,,1.9,5.3,0.355,1.2,3,0.402,0.7,2.2,0.292,1.3,1.8,0.739,2.3,1.5,0.4,0.1,,,5.7
34,James Bacon,61,,1.7,3.8,0.451,1.7,3.8,0.45,0,0,0.5,1.2,1.8,0.685,4.1,0.4,0.8,0.5,,,4.7
35,Ryan Bacon,114,28.7,3.7,7.1,0.52,3.7,7.1,0.522,0,0,0,2,3.2,0.634,7.2,1.1,0.9,1.8,2.1,1.4,9.4
36,Tyler Bacon,50,,3.1,8.4,0.373,1.5,3.5,0.429,1.6,4.8,0.332,1.6,2.1,0.769,3.9,2.1,1,0.1,,,9.4
37,Aaron Bacote,137,27.5,3.6,9,0.401,2.4,5.2,0.455,1.3,3.8,0.33,3.2,4.1,0.796,2.9,2.6,0.8,0.1,2.1,2.1,11.7
