ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mark D'Agostino,28,,0.4,0.9,0.385,0.2,0.5,0.385,0.2,0.5,0.385,0,0,1,0.6,0.2,0.1,0,0.3,,0.9
2,Jason D'Alesio,28,,1.2,3.6,0.333,0.6,1.6,0.4,0.6,2,0.281,0.8,1.3,0.6,1.4,1.9,0.6,0,,,3.8
3,Jason D'Alesio,30,,0.2,0.6,0.278,0.2,0.3,0.5,0,0.3,0,0.1,0.2,0.6,0.1,0,0.1,0,,,0.4
4,Ben D'Alessandro,3,,0,0.3,0,0,0.3,0,0,0,,0,0,,0.3,0.3,0.3,0,,,0
5,Doug D'Amore,57,,2.1,5.6,0.382,1.1,2.7,0.428,1,2.9,0.341,1.6,2.4,0.701,2.7,1.7,0.9,0.2,,,6.9
6,Matt D'Antoni,48,,1.1,3.5,0.325,0.5,1.4,0.318,0.7,2.1,0.33,0.4,0.8,0.583,1,0.8,0.4,0,,,3.4
7,Nick D'Antoni,107,,1.8,5.4,0.327,0.8,2.3,0.344,1,3.1,0.314,1.4,1.9,0.72,2.1,3.2,0.8,0,,,5.9
8,Mike D'Elia,10,,0,0.4,0,0,0.2,0,0,0.2,0,0,0,,0,0,0.1,0,,,0
9,Eddie D'Haiti,28,11.4,0.9,2.1,0.407,0.9,2.1,0.414,0,0,0,0.8,1.4,0.579,2.9,0.5,0.3,0.6,1,2,2.5
10,Anthony D'Orazio,127,16.3,1.6,4,0.395,1,2.2,0.46,0.6,1.8,0.319,0.4,0.8,0.526,2.2,1.1,0.8,0.2,0.8,1.5,4.1
11,Delano D'Oyen,88,,1.6,4.7,0.333,0.6,2,0.291,1,2.7,0.363,0.7,1,0.719,1.6,1.7,0.5,0,,,4.9
12,Marcelo Da Barrosa,26,,1.2,2.8,0.425,1.2,2.7,0.443,0,0.1,0,0.4,0.7,0.611,1.5,0.2,0.1,0,,,2.8
13,Mattia Da Campo,3,8.3,0,0,,0,0,,0,0,,0,0,,0.7,1.3,0,0,1,0,0
14,Guilherme Da Luz,117,,3.6,9.6,0.381,2.7,6.3,0.436,0.9,3.3,0.276,2.5,3.4,0.742,4.4,5.7,1.8,0.1,,,10.7
15,Marcelo da Silva,25,,1.6,3.3,0.5,,,,,,,1.4,2.4,0.557,4.4,0.2,0.4,0.8,,,4.6
16,Tulio Da Silva,7,29.1,4.3,7.9,0.545,4.3,7.6,0.566,0,0.3,0,2.9,4.4,0.645,7.6,0.9,1.1,0.7,2.6,3.4,11.4
17,Amani Daanish,58,,3.6,7.5,0.475,3.6,7.5,0.475,0,0,,2.1,3.9,0.529,5.8,0.6,0.7,0.3,,,9.2
18,Joe Dabbert,127,,2,3.9,0.517,1.9,3.7,0.532,0,0.2,0.24,1.4,1.9,0.712,2.9,0.5,0.4,0.8,,,5.4
19,Jo-Jo Dabbs,30,,0.1,0.9,0.148,0.1,0.3,0.222,0.1,0.6,0.111,0.2,0.3,0.778,0.5,0.5,0.1,0,,,0.6
20,Eugene Dabney,89,,2.1,4.4,0.477,2.1,4.4,0.477,0,0,,1.2,1.8,0.632,3.7,0.7,0.4,1.1,,,5.3
21,Jason Dabney,38,,0.7,2.1,0.325,0.6,1.9,0.333,0.1,0.2,0.25,0.7,1,0.641,2.3,0.7,0.3,0.4,,,2.1
22,Louis Dabney,131,25.7,3.6,9.4,0.382,2.4,5.8,0.419,1.1,3.5,0.321,3,3.9,0.757,2.8,1.5,0.9,0.1,1.6,2.1,11.2
23,Mike Dabney,16,9.4,0.9,1.8,0.536,0.9,1.8,0.536,0,0,,0.9,1.6,0.577,2,0,0.3,0.8,0.6,1.9,2.8
24,Daniel Daccarett,36,,0.3,0.6,0.45,0.3,0.5,0.474,0,0,0,0.4,0.7,0.667,0.4,0.1,0.1,0,,,0.9
25,Emmett Dacey,2,1,0,0.5,0,0,0,,0,0.5,0,0,0,,0,0,0,0,0,0,0
26,Dion Dacons,111,,1.1,1.9,0.567,0.9,1.5,0.646,0.2,0.5,0.333,0.5,1,0.526,3.5,0.5,0.6,0.1,,,2.9
27,Antoine Dade,29,,1,2.4,0.414,1,2.4,0.414,0,0,,0.8,1.7,0.458,3.6,0.2,0.3,0.4,1,,2.8
28,Brandon Dade,104,,1.8,4.1,0.448,1.7,3.7,0.471,0.1,0.5,0.265,1.3,2,0.657,2,1,0.5,0.3,,,5.1
29,Chris Dade,107,,4.3,10.6,0.408,2.5,5.5,0.459,1.8,5.1,0.353,3.5,4.7,0.75,2.9,2.1,1.5,0.1,,,14
30,Xavier Dade,17,3.2,0.3,0.7,0.417,0.3,0.5,0.625,0,0.2,0,0.1,0.1,0.5,0.5,0.1,0.1,0,0.2,0.3,0.6
31,Eric Dadika,2,1.5,0.5,1,0.5,0,0,,0.5,1,0.5,0,0,,0,0,0,0,0,0,1.5
32,Jake Dadika,27,4.7,0.1,0.6,0.188,0.1,0.3,0.25,0,0.3,0.125,0.1,0.2,0.5,0.2,0.3,0,0,0.3,0.4,0.4
33,Johnny Dadzie,47,,1.1,2.6,0.41,1,2.3,0.436,0,0.3,0.167,0.6,0.9,0.7,1.5,0.8,0.3,0.1,,,2.8
34,Seymour Daffeh,17,,0,0.8,0,0,0.5,0,0,0.3,0,0.1,0.4,0.167,0.2,0,0.1,0,,,0.1
35,James Daggs,33,,0.2,0.5,0.444,0.2,0.5,0.444,0,0,,0.3,0.5,0.5,0.3,0,0.1,0.1,,,0.8
36,Andrew Dagner,22,,0.3,0.6,0.538,0.3,0.6,0.538,0,0,,0.3,0.5,0.583,0.8,0.2,0.1,0,,,1
37,Kenny Dagostino,29,,0.1,0.4,0.182,0.1,0.2,0.286,0,0.1,0,0.1,0.1,1,0.1,0.1,0,0,,,0.3
38,Ade Dagunduro,64,,4,7.8,0.507,3.5,6.6,0.534,0.4,1.2,0.355,2.5,3.7,0.661,4,1.5,1.1,0.4,1.9,,10.8
39,Arnaud Dahi,129,,3.7,8,0.467,3.2,6.3,0.504,0.6,1.7,0.332,2.2,2.9,0.755,5.5,0.9,0.9,1.1,,,10.2
40,Maloud Dahine,16,,0.7,1.7,0.407,0.4,0.9,0.467,0.3,0.8,0.333,0.4,0.7,0.636,0.4,1.3,0.6,0,,,2.1
41,Andrew Dahl,3,,1,1.3,0.75,1,1.3,0.75,0,0,,0,0,,0.7,0.3,0.3,0,,,2
42,Danny Dahl,85,,1.1,3.1,0.347,1,2.6,0.382,0.1,0.6,0.188,0.8,1.6,0.515,3.5,1,0.6,0.1,,,3.1
43,Dj Dahl,30,,1.4,2.8,0.482,1.4,2.8,0.488,0,0,0,0.7,0.9,0.769,3.2,0.4,0.2,0.2,,,3.4
44,Justin Dahl,4,8.3,1.3,2.3,0.556,1.3,2.3,0.556,0,0,,0.3,1,0.25,1.8,0.3,0.3,0,1,1,2.8
45,Andrew Dahl-Bredine,4,,0.3,1,0.25,0.3,0.5,0.5,0,0.5,0,0,0,,0.3,0,0.5,0,,,0.5
46,Seth Dahle,58,,1.9,4,0.474,1.6,3.1,0.503,0.3,0.9,0.373,0.9,1.7,0.551,5.1,1.8,0.7,0.2,,,5.1
47,Matt Dahlen,31,6,0.4,0.7,0.524,0.4,0.6,0.55,0,0,0,0.2,0.6,0.389,1.3,0.4,0.1,0,0.5,1.1,0.9
48,Isaiah Dahlman,83,4,0.7,1.4,0.458,0.5,1,0.519,0.2,0.5,0.333,0.4,0.6,0.706,0.9,0.4,0.1,0,0.1,0.1,1.9
49,Noah Dahlman,128,30.1,6,10,0.599,6,9.9,0.602,0,0,0,3.8,5.4,0.7,6.1,0.8,0.7,0.3,1.2,1.1,15.7
50,Austin Dahn,127,28.9,3,8.2,0.37,1.1,2.9,0.397,1.9,5.4,0.356,0.9,1.1,0.771,2.7,1.4,0.5,0.1,1.8,1.1,8.9
51,Matei Daian,32,7.8,0.4,0.9,0.483,0.4,0.9,0.5,0,0,0,0.2,0.4,0.462,1,0.1,0,0.1,0.3,0.8,1.1
52,Randell Daigle,108,28.7,3.4,8.5,0.396,1.3,3,0.423,2.1,5.5,0.381,1.1,1.4,0.774,2.5,2.4,1,0,1.8,1,10
53,Brian Dailey,13,,0.1,0.2,0.333,0,0,,0.1,0.2,0.333,0,0,,0.2,0.2,0.4,0,,,0.2
54,Eric Dailey,26,,4,7.3,0.553,4,7.3,0.556,0,0,0,2.2,4,0.538,6.5,0.9,0.8,0.1,,,10.2
55,Jermaine Dailey,63,,1.6,2.9,0.538,1.6,2.9,0.538,0,0,,0.7,1.2,0.568,3.3,0.1,0.4,0.6,0.9,,3.8
56,Maishe Dailey,5,8.2,1,2,0.5,0.6,1.2,0.5,0.4,0.8,0.5,0.2,0.8,0.25,2.2,0.2,0.6,0.2,0.4,0.6,2.6
57,Quintin Dailey,90,37.9,7.9,14.3,0.551,,,,,,,4.7,6.4,0.747,4.8,,,,,,20.5
58,Quintin Dailey,86,12.2,0.9,2.6,0.368,0.5,1.3,0.407,0.4,1.3,0.33,0.4,0.5,0.721,1.5,0.7,0.5,0.1,0.7,0.9,2.7
59,Toby Daily,17,,0.9,1.9,0.469,0.9,1.9,0.469,0,0,,0.4,0.6,0.7,2.3,0.1,0.6,0,,,2.2
60,Jason Daisy,83,,6.6,14,0.468,5,10,0.499,1.6,4,0.392,4.7,6.2,0.747,4,2.1,1.5,0.2,,,19.4
61,Andrew Dakich,49,4.1,0.2,0.5,0.333,0.1,0.3,0.357,0.1,0.2,0.3,0.1,0.1,1,0.5,0.4,0.1,0,0.3,0.5,0.4
62,Mike Dakkak,2,0.5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0
63,Derrick Dale,7,,0.3,1.1,0.25,0.1,0.3,0.5,0.1,0.9,0.167,0,0,,0.1,0,0,0,,,0.7
64,Louis Dale,110,28.5,4.3,9.4,0.461,2.9,5.7,0.5,1.5,3.7,0.401,3,3.6,0.836,3.9,4.3,1.2,0.2,2.6,0.7,13.2
65,Mike Dale,37,,1.6,4.2,0.378,0.9,1.9,0.444,0.7,2.3,0.321,0.6,0.9,0.618,1.9,0.8,0.3,0,,,4.5
66,Samuel Dalembert,59,21.4,3,5.5,0.537,3,5.5,0.537,0,0,,1.2,2.2,0.539,5.8,0.3,0.4,2.8,2,3.2,7.1
67,Yohanny Dalembert,99,19.7,3,5.4,0.555,3,5.4,0.554,0,0,1,1.9,3.2,0.611,5.2,0.7,0.3,1,1.9,2.5,8
68,Kevin Daley,37,,0.7,1.6,0.433,0.5,0.8,0.655,0.2,0.8,0.226,0.1,0.3,0.455,0.9,0.4,0.2,0.1,,,1.7
69,Steveroy Daley,100,,2.6,4.5,0.582,2.6,4.4,0.584,0,0.1,0.4,1,1.5,0.651,3.4,0.7,0.6,0.3,,,6.2
70,Davorin Dalipagic,13,,0.9,2.6,0.353,0.8,2.1,0.407,0.1,0.5,0.143,1.2,1.5,0.75,1.9,0.5,0.2,0.4,,,3.1
71,George Dallas,4,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0
72,Jordan Dallas,7,11.4,0.6,1.3,0.444,0.6,1.3,0.444,0,0,,1.3,1.6,0.818,1.9,0,0,0.4,0.4,2.4,2.4
73,Anthony Dallier,91,16,1.2,3.3,0.382,0.8,1.9,0.441,0.4,1.4,0.302,0.8,1.2,0.654,2.3,1.3,0.4,0.1,0.8,1.4,3.7
74,Antoine Dalton,56,,3.4,6.1,0.548,3.4,6.1,0.548,0,0,,2.6,3.9,0.67,4.7,0.5,0.5,0.5,,,9.4
75,Brandon Dalton,33,,0.8,2.9,0.292,0.4,1.3,0.279,0.5,1.6,0.302,0.4,0.6,0.65,0.8,0.1,0.2,0,,,2.6
76,Hayden Dalton,37,16.7,1.4,3.5,0.405,1,1.8,0.537,0.5,1.7,0.266,1.6,2.1,0.782,4,1.4,0.3,0.6,1.1,1.9,5
77,Jonathan Dalton,9,10.7,0.8,3.2,0.241,0.7,2.2,0.3,0.1,1,0.111,0.2,0.4,0.5,0.7,1.4,0.2,0,0.8,1.3,1.9
78,Keifer Dalton,4,3.3,0,0.3,0,0,0,,0,0.3,0,0.3,0.5,0.5,1,0.8,0,0,0.8,0.3,0.3
79,Spenser Dalton,20,1.2,0.1,0.5,0.111,0.1,0.1,0.5,0,0.4,0,0,0,,0.1,0,0.1,0,0.1,0.1,0.1
80,Zac Dalton,7,,0.3,0.9,0.333,0.1,0.6,0.25,0.1,0.3,0.5,0.1,0.4,0.333,1.4,0,0,0,,,0.9
81,Niall Dalton-Brown,6,,0.2,0.5,0.333,0.2,0.5,0.333,0,0,,0.2,0.3,0.5,0.5,0.2,0,0.2,,,0.5
82,Brian Daly,12,2.6,0.1,0.3,0.25,0.1,0.3,0.333,0,0.1,0,0,0.2,0,0.2,0.3,0.2,0,0.4,0.4,0.2
83,Ryan Daly,7,22.3,3.4,8.7,0.393,2.6,5,0.514,0.9,3.7,0.231,0.9,1.7,0.5,5.4,0.7,0.6,0.3,1,2.3,8.6
84,Sam Daly,34,19.5,1.4,3.2,0.445,1.3,2.4,0.524,0.2,0.8,0.214,1.1,1.8,0.597,2.1,2.7,0.6,0.1,2.1,2.1,4.1
85,Muusa Dama,9,24.8,3.4,6,0.574,3.4,6,0.574,0,0,,1.9,2.7,0.708,9.4,0.4,1.1,1.9,1.3,3.3,8.8
86,Destin Damachoua,54,9.2,0.8,2.4,0.344,0.6,1.4,0.473,0.2,1.1,0.175,0.3,0.4,0.708,0.9,0.3,0.3,0,0.6,0.5,2.2
87,Marcus Damas,98,32,3.9,9.8,0.403,2.7,5.9,0.455,1.2,3.9,0.323,2.5,3.5,0.709,5.2,1.4,0.7,0.8,2.1,2.7,11.6
88,Sean Damaska,3,3.7,1,1.3,0.75,1,1.3,0.75,0,0,,0.7,1,0.667,1.7,0.3,0,0,0,0.7,2.7
89,Patrick Dame,4,2,0,0,,0,0,,0,0,,0.8,1,0.75,0.3,0.5,0,0,0.3,0,0.8
90,Chris Dames,28,,1.3,2.7,0.48,1.3,2.6,0.493,0,0.1,0,0.8,1.4,0.575,2.4,0.3,0.3,0.2,,,3.4
91,Martin Dames,1,,1,1,1,1,1,1,0,0,,0,0,,0,0,0,0,0,,2
92,Mike Dames,30,,1.5,3.3,0.45,1.5,3,0.494,0,0.4,0.091,0.9,1.6,0.574,2.5,1.6,0.8,0.1,,,3.9
93,Alberto Damour,10,1.7,0.3,0.5,0.6,0.3,0.5,0.6,0,0,,0.1,0.2,0.5,0.3,0,0,0,0,0.2,0.7
94,Erick Dampier,93,28.4,5.2,8.8,0.587,5.2,8.8,0.587,0,0,,2.9,5.1,0.566,9.2,1.4,0.6,2.7,2.6,2.9,13.2
95,Richard Damus,49,,1.4,3,0.483,1.2,2.4,0.5,0.2,0.6,0.407,0.4,0.6,0.733,2.7,0.3,0.3,0.2,,,3.6
96,Doran Dana,81,,1,1.9,0.519,1,1.9,0.526,0,0,0,0.4,1.2,0.375,3.4,0.4,0.4,0.5,,,2.4
97,Taylor Danaher,128,18.6,2.1,3.8,0.546,2,3.5,0.568,0.1,0.2,0.226,1.2,1.6,0.738,3.8,0.4,0.4,1,0.9,2.5,5.4
98,Ernest Dancy,8,,0.4,1.4,0.273,0.4,1.3,0.3,0,0.1,0,0.4,1,0.375,1,0.1,0.5,0,,,1.1
99,Kendall Dancy,1,,0,1,0,0,1,0,0,0,,0,0,,0,0,0,0,,,0
100,Derrick Dandridge,9,16.1,2,4.9,0.409,1.9,4.1,0.459,0.1,0.8,0.143,1.3,2.3,0.571,4.1,0.1,0.2,0.1,1.2,2.6,5.4
101,Glen Dandridge,72,,0.7,2.1,0.356,0.4,0.7,0.531,0.4,1.4,0.27,0.2,0.2,0.688,0.8,0.2,0.3,0.1,,,2
102,Vytas Danelius,123,,2.8,5.9,0.479,2.3,4.4,0.524,0.5,1.5,0.346,1.9,2.6,0.727,5.1,0.7,0.4,0.5,,,8
103,Earnest Daney,29,,2.2,3.9,0.558,2.2,3.9,0.558,0,0,,0.9,1.4,0.643,4.2,0.8,0.5,0.1,,,5.3
104,Jason Dangerfield,52,,1.3,3.6,0.365,1.1,2.9,0.396,0.2,0.8,0.25,1.1,1.7,0.64,2.5,0.6,0.9,0.2,,,3.9
105,Carlos Daniel,113,,4.3,8.5,0.513,4.3,8.4,0.515,0,0.1,0.143,2.7,3.9,0.677,6.9,1.1,0.6,1.2,,,11.4
106,Chris Daniel,55,,1.5,5.1,0.306,1.1,3.3,0.32,0.5,1.8,0.278,1.1,1.9,0.558,1.8,2.5,1.2,0.1,,,4.6
107,Darrell Daniel,27,,3.1,7.9,0.392,1.1,2.3,0.484,2,5.6,0.353,1.1,1.6,0.721,2.6,2.8,1.2,0.1,,,9.3
108,Deon Daniel,12,,1.4,3.3,0.436,1.4,3.2,0.447,0,0.1,0,1,1.7,0.6,1.1,0,0.8,0,,,3.8
109,Domineek Daniel,48,16.3,1.8,4.5,0.396,1.5,3.4,0.432,0.3,1.1,0.291,0.7,1.1,0.654,2.4,0.7,1,0.5,2,1.7,4.6
110,Edward Daniel,128,20.3,2.4,4.4,0.555,2.4,4.3,0.559,0,0.1,0.333,2.4,4,0.602,5.6,0.6,0.8,1.2,1.4,2.4,7.3
111,Fernando Daniel,109,,3.2,8.5,0.382,1.2,3.3,0.375,2,5.2,0.386,1.5,2.1,0.724,2.1,3.2,0.6,0.1,,,10
112,James Daniel,88,33.8,5.9,16.1,0.368,3.2,8,0.399,2.7,8.1,0.337,7,8.5,0.824,2.3,2.4,1.7,0.1,3.7,2.1,21.6
113,Jason Daniel,52,,3.5,9.9,0.354,2.5,5.8,0.428,1.1,4.2,0.252,0.9,1.4,0.667,2.8,1.3,1.3,0.2,,,9
114,Josh Daniel,127,22,2,4.7,0.423,1.1,2,0.552,0.9,2.7,0.327,1,1.4,0.751,1.5,0.8,0.6,0.1,0.8,0.6,5.9
115,Josh Daniel,56,,1.6,4.4,0.373,0.7,1.4,0.475,0.9,2.9,0.323,1.7,2.3,0.727,2.4,3.6,1.2,0,,,5.9
116,Josh Daniel,2,0.5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0
117,Justin Daniel,23,7.2,0.6,1.1,0.5,0.6,0.9,0.65,0,0.3,0,0.2,0.4,0.5,0.3,0.2,0.4,0,0.3,1,1.3
118,Kenny Daniel,4,,0.8,3.3,0.231,0.5,2.3,0.222,0.3,1,0.25,1.3,1.5,0.833,0.3,1.5,0.3,0,,,3
119,Lenny Daniel,61,27.4,5,9.6,0.528,5,9.6,0.528,0,0,,4,7,0.583,8.7,0.6,0.5,1.3,2.3,2.9,14.1
120,Marlon Daniel,4,2.5,0,0.8,0,0,0.3,0,0,0.5,0,0.3,0.8,0.333,0.8,0,0,0,0.5,0.3,0.3
121,Matt Daniel,50,,0.9,2.5,0.354,0.4,1,0.4,0.5,1.5,0.325,0.4,0.7,0.576,1.3,1.7,0.3,0,,,2.7
122,Ryan Daniel,44,,0.3,0.6,0.5,0.3,0.6,0.5,0,0,,0.2,0.4,0.438,0.9,0.1,0,0,0,,0.8
123,Will Daniel,117,,4.2,9.7,0.432,2.5,4.6,0.54,1.7,5.1,0.335,2,2.9,0.707,4.5,2.3,0.9,0.8,,,12.1
124,Blake Danielak,23,11.3,1,2.9,0.343,0.4,1.1,0.346,0.6,1.8,0.341,0.1,0.3,0.5,2.1,0.5,0.3,0.2,0.5,1.1,2.7
125,Alan Daniels,60,,7.6,16.8,0.45,5,9.3,0.541,2.5,7.5,0.337,4.1,6.2,0.665,6,2.9,2.2,0.6,,,21.8
126,Antonio Daniels,111,33.3,5.9,11.4,0.515,5.1,9.5,0.54,0.8,1.9,0.396,3.6,4.8,0.758,2.9,5.2,1.5,0.3,2.8,1.5,16.1
127,B.J. Daniels,19,,0.2,0.7,0.214,0.2,0.6,0.25,0,0.1,0,0.2,0.6,0.364,0.4,0.1,0.2,0,0.4,,0.5
128,BaeBae Daniels,128,20.3,2.9,6.1,0.481,2.2,4,0.557,0.7,2.1,0.342,1.4,2,0.709,4.3,0.9,0.5,1.4,1,2.4,8
129,Ben Daniels,36,10,0.9,2.7,0.33,0.3,0.8,0.393,0.6,1.9,0.304,0.2,0.3,0.636,1.7,0.4,0.2,0.1,0.7,1,2.6
130,Billy Daniels,36,,0.6,1.8,0.323,0,0.2,0.125,0.6,1.6,0.351,0.1,0.1,0.8,0.5,0.1,0,0,,,1.8
131,Bishop Daniels,63,25.6,3.1,8,0.394,2.7,6.4,0.415,0.5,1.6,0.306,1.7,2.3,0.707,2.9,2.3,0.9,0.4,2.6,2,8.4
132,Chaise Daniels,61,20.5,2.8,6.5,0.43,2.8,6.5,0.431,0,0,0,1.3,2,0.64,4.5,0.6,0.3,1.2,1.6,2.8,6.9
133,Chris Daniels,26,5.8,0.3,0.9,0.333,0.3,0.9,0.333,0,0,,0.1,0.2,0.333,1.4,0.2,0.2,0.1,0.6,0.5,0.7
134,Chris Daniels,119,,3.1,6,0.514,3,5.8,0.522,0.1,0.2,0.28,2.4,3.4,0.709,6.4,2.1,1.4,1,,,8.6
135,Chris Daniels,115,,4.7,8.3,0.566,4.3,7.1,0.599,0.4,1.1,0.364,2.5,3.4,0.72,5.9,0.9,0.5,1.5,2,,12.2
136,Chris Daniels,73,,3.1,4.8,0.645,3.1,4.8,0.648,0,0,0,1.1,2.3,0.479,4,0.4,0.3,0.7,,,7.3
137,Chris Daniels,43,,0.8,1.9,0.425,0.8,1.8,0.43,0,0,0,1,1.7,0.603,2.2,0.8,0.4,0.3,,,2.6
138,Cruz Daniels,121,23.6,2.4,4,0.586,2.4,4,0.586,0,0,0.5,0.9,1.3,0.648,5.6,0.5,0.3,2.5,1.4,0.8,5.6
139,Dantiel Daniels,121,24,2.9,4.9,0.605,2.9,4.9,0.605,0,0,,1.9,3.8,0.507,5.3,0.6,0.5,0.9,1.1,2.4,7.8
140,DeAndre Daniels,99,23.8,3.6,8,0.454,2.8,5.6,0.499,0.8,2.4,0.349,1.5,2,0.752,4.6,0.5,0.6,1.2,1.3,2,9.6
141,Derrick Daniels,28,,1,2.3,0.415,1,2.3,0.415,0,0,,0.4,0.8,0.545,1.4,0.2,0.3,0.1,,,2.4
142,Devon Daniels,7,23,3.6,6.3,0.568,3.4,5.3,0.649,0.1,1,0.143,2.7,3.6,0.76,5.3,2.6,0.9,0.6,1.7,2.1,10
143,Dinno Daniels,58,,3.2,8.3,0.382,2.2,5,0.433,1,3.3,0.305,2.7,3.4,0.8,2.5,4,1.1,0,,,10
144,Dinno Daniels,27,,1.6,4.3,0.383,1,2.1,0.448,0.7,2.1,0.316,2.5,3,0.84,1.3,3.3,1.4,0,,,6.4
145,Eian Daniels,2,,1.5,3,0.5,1.5,2,0.75,0,1,0,0.5,1,0.5,0,1,0,0,,,3.5
146,Erik Daniels,127,20.5,3.5,6.3,0.559,3.4,5.7,0.59,0.1,0.6,0.26,1.1,1.8,0.611,4.1,1.8,0.7,0.3,,,8.3
