ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ledell Eackles,59,31.9,8.5,17.6,0.482,6.9,13.2,0.524,1.5,4.3,0.352,4.6,5.9,0.776,4.5,1.6,0.9,0.2,2.9,1.8,23
2,Ledell Eackles,59,,2.9,7.2,0.4,1.7,3.4,0.495,1.2,3.8,0.317,2.2,3.5,0.623,3.4,5,2.5,0,,,9.2
3,Ledrick Eackles,107,19.9,2.8,7.8,0.361,1.7,4.4,0.392,1.1,3.4,0.319,2.7,3.7,0.731,3.1,1.5,1,0.1,1.7,2,9.4
4,Tony Eackles,54,11.9,1.3,3.4,0.385,1,2.6,0.383,0.3,0.8,0.39,1.6,2.5,0.664,1.1,0.5,0.4,0.1,1.4,1.1,4.5
5,Bill Eaddy,112,9.8,1.5,3.5,0.419,1.2,2.7,0.431,0.3,0.8,0.378,1.6,2.2,0.717,1.8,0.6,0.7,0,0.3,0.4,4.8
6,Ephriam Eaddy,41,,2.3,6.6,0.346,1.6,4.6,0.348,0.7,2,0.341,1.3,1.7,0.771,3.4,4.5,1.6,0.2,,,6.5
7,Haywood Eaddy,45,,4.8,11.5,0.416,3.1,6.8,0.459,1.7,4.7,0.354,3.8,4.4,0.863,2.7,5.2,1.8,0.1,,,15
8,Tahj Eaddy,7,13.7,1.6,4.7,0.333,0.3,2.4,0.118,1.3,2.3,0.563,0.6,0.6,1,1.6,1.1,0.6,0,1,0.4,5
9,Nathan Eads,70,,1.1,2.3,0.468,1,2.1,0.473,0,0.1,0.375,0.9,1.4,0.63,1.4,0.5,0.3,0.5,,,3.1
10,Kelvin Eafon,31,,0.4,1.1,0.364,0.3,0.6,0.5,0.1,0.5,0.2,0.1,0.2,0.667,0.4,0.4,0.1,0,,,1
11,Trent Eager,58,,2.7,6.1,0.441,1.7,3.4,0.497,1,2.7,0.371,2.1,2.6,0.809,3.9,0.9,0.7,0.3,,,8.6
12,Austin Eagleton,6,1.2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0.3,0,0
13,Todd Eaglin,49,9.2,0.4,1.1,0.339,0.2,0.4,0.5,0.2,0.7,0.25,0.2,0.4,0.667,0.8,0.7,0.3,0.1,0.7,1,1.2
14,Xavier Eaglin,7,1.4,0,0,,0,0,,0,0,,0,0.6,0,0.1,0.1,0.1,0.1,0.1,0.1,0
15,Gerald Eaker,78,,2.3,5.5,0.426,2.3,5.5,0.427,0,0,0,1,2,0.503,4.1,0.7,0.4,1.8,,,5.7
16,Adam Eakles,10,6.8,0.2,0.9,0.222,0.2,0.8,0.25,0,0.1,0,0,0,,0.7,0.2,0.4,0,0.3,0.5,0.4
17,Terrance Ealey,3,,0,0.3,0,0,0.3,0,0,0,,0,0,,0.3,0.3,0.7,0,,,0
18,Chris Ealim,14,,0.6,1.8,0.32,0.4,0.9,0.417,0.2,0.9,0.231,0.6,1.2,0.529,0.7,0.2,0.3,0,,,2
19,Jason Ealing,2,,0,1.5,0,0,0,,0,1.5,0,0,0,,0.5,0.5,0,0,,,0
20,Chris Eames,110,,2.9,5.1,0.567,2.9,5.1,0.567,0,0,,2,3.3,0.611,5.1,0.8,1.1,0.7,,,7.8
21,Patrick Eannotti,10,,0.5,1.2,0.417,0.5,1.1,0.455,0,0.1,0,0.2,0.2,1,2.1,0.1,0.1,0,,,1.2
22,Damian Eargle,122,28.8,4.4,9.4,0.463,4.4,9.4,0.465,0,0.1,0.143,2.2,3.9,0.549,6.4,0.6,0.8,3,1.5,2.1,10.9
23,Jim Earhardt,10,,0.1,0.5,0.2,0.1,0.3,0.333,0,0.2,0,0,0.2,0,0.5,0.1,0,0,,,0.2
24,Acie Earl,116,27.6,5.5,10.9,0.508,5,10,0.497,0,0.1,0.333,4.3,6.3,0.68,7,1.2,1,3.1,2.9,2.4,15.3
25,Brian Earl,119,,3.9,8.3,0.475,1.6,2.6,0.604,2.4,5.7,0.416,1.8,2.3,0.78,2.5,2.2,1.2,0.1,,,12
26,Dan Earl,119,,3.3,7.4,0.443,1.6,3.3,0.504,1.6,4.1,0.395,2.4,3.3,0.734,2.6,4.8,1.4,0,,,10.6
27,Derrick Earl,26,,1.5,3.3,0.437,1.5,3.3,0.437,0,0,,1.2,1.7,0.705,2.6,0.3,0.2,0.3,,,4.1
28,Lester Earl,74,,2.1,4.5,0.471,2.1,4.5,0.473,0,0,0.333,1.5,2.5,0.592,4.5,0.7,0.6,0.5,,,5.7
29,Louis Earl,53,,1.7,3.6,0.484,1.7,3.5,0.492,0,0.1,0,0.6,1.2,0.516,2.7,0.7,0.6,0.2,,,4.1
30,Michael Earl,16,,0.7,1.6,0.423,0.7,1.6,0.423,0,0,,0.9,1.4,0.636,1.7,0.1,0.3,0.4,,,2.3
31,T.O. Earl,18,,0.7,3.2,0.211,0.4,2.1,0.189,0.3,1.1,0.25,0.4,0.7,0.615,1.3,0.6,0.4,0.1,,,2.1
32,Ben Earle,51,,1.7,4.2,0.412,0.5,1.1,0.431,1.3,3.1,0.405,0.5,0.7,0.676,1.6,0.6,0.4,0.1,,,5.2
33,Colby Earles,4,,0,0.5,0,0,0.5,0,0,0,,0,0,,0.3,0,0,0,,,0
34,DeLovell Earls,92,13.1,1.2,2.8,0.412,1,2.2,0.46,0.2,0.7,0.266,0.6,1.2,0.523,2.4,1.3,0.4,0.1,1.1,1.8,3.2
35,Justin Earls,2,3,0.5,0.5,1,0.5,0.5,1,0,0,,1,2,0.5,1,0.5,0.5,0.5,0,0.5,2
36,Reno Earls,26,,2.2,6,0.359,1.2,3.3,0.365,1,2.7,0.352,0.7,0.8,0.818,2,2.2,0.8,0.1,,,6
37,Rod Earls,70,,2.8,7.3,0.38,1.1,2.9,0.39,1.6,4.4,0.373,1.4,1.6,0.858,2.9,1.8,0.8,0.1,1.7,,8.5
38,Chris Early,92,19.4,2.2,5.3,0.412,1.6,3.4,0.463,0.6,1.9,0.322,1,1.7,0.596,4.2,0.8,0.4,0.2,1.3,1.8,6
39,Cleanthony Early,75,26.2,4.9,10.5,0.47,3.4,6.2,0.555,1.5,4.3,0.348,3.7,4.6,0.819,5.7,0.7,0.8,0.8,1.7,2.4,15.1
