ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Danny Faaborg,115,,1.3,3.4,0.386,0.6,1.3,0.442,0.8,2.2,0.353,0.5,0.7,0.72,1.7,0.9,0.2,0,,,3.9
2,Krys Faber,119,18.7,1.5,3,0.491,1.4,2.9,0.49,0,0,1,0.9,1.5,0.642,3.7,0.3,0.3,0.4,0.8,2.1,3.9
3,Michael Fabiyi,17,4.1,0.5,0.9,0.533,0.5,0.8,0.615,0,0.1,0,0.4,0.5,0.667,0.7,0.2,0.2,0,0.2,0.4,1.3
4,Brian Fabrizius,9,1.1,0.1,0.2,0.5,0,0,,0.1,0.2,0.5,0,0,,0,0,0,0,0,0.2,0.3
5,Luke Fabrizius,116,12.5,1.6,4.2,0.384,0.4,0.9,0.4,1.3,3.3,0.379,0.2,0.3,0.613,1.5,0.4,0.1,0.2,0.4,1,4.7
6,Kentan Facey,98,14.1,1.3,2.4,0.549,1.3,2.3,0.546,0,0,0.75,0.5,0.8,0.676,3.8,0.3,0.2,0.6,0.6,1.9,3.2
7,Jordan Faciane,13,5.1,0.6,1.7,0.364,0.4,0.7,0.556,0.2,1,0.231,0.3,0.4,0.8,1.2,0.9,0.2,0,0.3,0.5,1.8
8,Lewis Fadipe,93,,0.9,1.9,0.486,0.9,1.9,0.489,0,0,0,0.6,1.3,0.5,2.8,0.2,0.3,0.8,,,2.5
9,Chris Fagan,55,,3.3,7.7,0.425,2.6,5.5,0.478,0.7,2.3,0.296,2.9,3.8,0.752,4.7,1.4,1.1,0.6,,,10.1
10,Joe Fagan,5,1.2,0,0,,0,0,,0,0,,0,0,,0.2,0,0,0,0.2,0,0
11,Oladapo Fagbenle,55,,0.7,1.6,0.416,0.7,1.5,0.435,0,0.1,0,0.2,0.4,0.417,2.8,0.5,0.3,1,0.7,,1.5
12,Lucas Faggiano,15,,1.9,4.4,0.424,1.3,2.8,0.452,0.6,1.6,0.375,1.7,2.2,0.788,2.4,3,1.3,0.1,2.2,,6.1
13,Dan Fahey,27,1.9,0.1,0.3,0.5,0.1,0.3,0.571,0,0,0,0.2,0.2,0.833,0.5,0.1,0,0,0.1,0,0.5
14,Vj Fails,38,,1,2.2,0.458,1,2.2,0.463,0,0,0,0.6,1.5,0.362,3.8,0.8,0.4,0.2,,,2.6
15,Kamau Faines,14,1.3,0.3,0.4,0.667,0.2,0.3,0.75,0.1,0.1,0.5,0.3,0.6,0.5,0,0,0,0,0.1,0,0.9
16,Wendell Faines,50,9.1,0.7,1.6,0.438,0.7,1.6,0.438,0,0,,0.4,0.6,0.625,1.9,0.2,0.1,0.4,0.7,1.8,1.8
17,Anthony Fair,6,,0,0.3,0,0,0.3,0,0,0,,0.2,0.3,0.5,0.5,0.2,0.2,0,,,0.2
18,Brian Fair,67,,2.9,6.7,0.44,1.5,3.3,0.446,1.5,3.4,0.434,1,1.3,0.742,1.2,1,0.4,0,,,8.3
19,C.J. Fair,143,29.7,4.4,9.6,0.462,4,8.3,0.479,0.4,1.2,0.343,2.4,3.3,0.723,5.7,0.8,1.1,0.8,1.4,1.6,11.6
20,Jordan Fair,23,,0.3,1.3,0.258,0.1,0.6,0.231,0.2,0.8,0.278,0.3,0.4,0.6,0.9,0.6,0.4,0,,,1.2
21,John Fairchild,17,,0.2,0.8,0.231,0.1,0.3,0.4,0.1,0.5,0.125,0.1,0.1,0.5,0.2,0.2,0.1,0,,,0.5
22,Zach Faircloth,21,24.8,2.3,5.9,0.395,0.9,2,0.463,1.4,4,0.361,0.2,0.6,0.417,2.4,1.5,0.7,0.1,1.3,1.6,6.3
23,Jonathan Fairell,69,21.6,2.5,4.1,0.596,2.5,4.1,0.596,0,0,,1.2,2.7,0.44,6.9,0.8,0.7,0.9,1.5,3.3,6.1
24,Doug Fairfax,6,,0.2,0.5,0.333,0.2,0.5,0.333,0,0,,0.2,0.5,0.333,1.2,0.3,0,0,,,0.5
