ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brian Haak,65,2.2,0.3,0.8,0.352,0.1,0.2,0.5,0.2,0.6,0.289,0.2,0.3,0.737,0.6,0.6,0.2,0,0.3,0,1
2,Samuel Haanpaa,54,,3.3,7.5,0.437,0.8,2,0.415,2.5,5.5,0.445,2.1,2.7,0.76,3.4,1,0.3,0.1,1.8,,11.1
3,Joe Haarman,1,,0,0,,0,0,,0,0,,0,0,,2,0,0,0,,,0
4,James Haarsma,118,26.3,3,6.2,0.487,2.7,5.2,0.512,0.3,1,0.353,2.1,3,0.706,5.3,0.7,0.7,0.2,1.4,2,8.6
5,Anders Haas,21,6.4,0.9,2.5,0.34,0.1,0.4,0.333,0.7,2.1,0.341,0.5,0.6,0.846,0.6,0.2,0,0,0.4,0.5,3
6,August Haas,10,26.5,2.3,4.6,0.5,1.6,2.5,0.64,0.7,2.1,0.333,1.1,1.8,0.611,2.8,3.5,1,0.1,2.6,1.8,6.4
7,Isaac Haas,79,15.6,3.4,5.8,0.58,3.4,5.8,0.58,0,0,,2.7,4.2,0.637,4.1,0.4,0.1,0.8,1.5,1.9,9.5
8,Jason Haas,122,,0.5,1.6,0.301,0.3,1.1,0.326,0.1,0.5,0.25,0.7,0.7,0.879,0.8,1.2,0.3,0,,,1.7
9,Jerod Haase,101,,3.9,9.1,0.428,2.3,4.5,0.52,1.5,4.6,0.338,3.2,4.4,0.728,3.8,3.4,1.7,0.1,,,12.5
10,Mansa Habeeb,58,16.1,1.4,3.2,0.446,1.3,2.6,0.514,0.1,0.7,0.184,1.6,2.3,0.691,1.7,1.1,0.6,0.1,1.6,1.8,4.6
11,Quadir Habeeb,55,,1.4,3.4,0.401,1.4,3.4,0.401,0,0,,0.4,0.9,0.423,2.8,0.4,0.4,0.2,,,3.1
12,Jerome Habel,29,,4.7,7.9,0.596,4.7,7.9,0.598,0,0,0,1.4,2.7,0.526,6.2,0.8,0.6,1.4,,,10.9
13,Kyle Haber,34,10.9,0.7,1.9,0.379,0.4,0.8,0.444,0.4,1.1,0.333,0.3,0.5,0.611,1.3,0.3,0.3,0.1,0.5,0.6,2.2
14,Brian Haberer,16,,0.3,1.3,0.2,0.2,0.6,0.333,0.1,0.7,0.091,0,0.1,0,0.6,0.1,0.1,0,,,0.6
15,Xavier Habersham,44,13.3,1.3,3,0.424,0.5,1.2,0.423,0.8,1.8,0.425,0.3,0.5,0.542,1.6,0.4,0.2,0.1,0.5,1.4,3.6
16,Mohamed Hachad,111,,3.2,6.9,0.471,2.6,4.6,0.57,0.6,2.3,0.273,1.2,2.2,0.547,3.8,1.7,1.5,0.3,,,8.3
17,Rui Hachimura,7,4.9,1,2.7,0.368,1,1.7,0.583,0,1,0,0.7,1.1,0.625,2.1,0.1,0.3,0.3,0.4,0.9,2.7
18,Kris Hackbusch,22,,0.3,1.2,0.222,0.3,0.7,0.313,0,0.5,0.091,0,0.2,0.25,0.3,0.1,0,0,,,0.6
19,Albert Hacker,27,,3.9,7.4,0.53,3.9,7.4,0.53,0,0,,1.7,2.7,0.63,5.2,0.4,0.6,1.8,,,9.6
20,Brent Hackett,122,,2.9,8.1,0.36,1.4,3.4,0.401,1.6,4.7,0.331,1.6,2.3,0.703,1.8,1.7,1,0,1.4,,9
21,Daniel Hackett,101,,2.6,5.9,0.435,1.8,3.9,0.472,0.7,2,0.366,2.8,3.6,0.775,3.6,3.6,1.1,0.1,2.8,,8.7
22,Drew Hackett,21,8.8,0.4,1.7,0.222,0.2,0.7,0.357,0.1,1,0.136,0.5,0.7,0.667,0.8,0.5,0.3,0,0.8,0.9,1.4
23,Landon Hackim,88,,4.8,11.3,0.427,2.3,5.2,0.436,2.6,6.1,0.42,2.4,3,0.805,1.6,1.6,1.2,0,,,14.6
24,Jack Hackman,4,2.8,0.3,0.5,0.5,0,0.3,0,0.3,0.3,1,0,0,,0.3,0,0,0,0.3,0.5,0.8
25,Tyler Hackstadt,49,,2.3,6.4,0.356,1,2.3,0.426,1.3,4,0.315,1.2,1.9,0.659,1.9,0.9,0.5,0.1,,,7
26,Donny Hackworth,32,,0.4,1.4,0.289,0.3,0.8,0.32,0.2,0.6,0.25,0.2,0.3,0.545,0.4,0.1,0,0,,,1.2
