ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ali Kaba,56,,1.2,2.5,0.493,1.2,2.5,0.493,0,0,,0.8,1.7,0.462,5.4,0.2,0.4,0.3,,,3.2
2,Chris Kaba,93,23.2,2.3,5.3,0.424,1.2,3,0.422,1,2.4,0.427,1.9,2.5,0.757,3.8,1,0.6,0.4,1.5,1.7,7.4
3,Daye Kaba,44,27.1,2.1,5.5,0.392,1.4,3.3,0.425,0.7,2.1,0.34,0.9,1.4,0.656,3.3,1.1,0.5,0.2,1.5,1.1,5.9
4,Jacky Kaba,98,,2,4.6,0.435,2,4.6,0.435,0,0,,1.1,2.2,0.523,5.2,0.3,0.5,0.5,,,5.1
5,Lounceny Kaba,17,,0.4,0.6,0.6,0.4,0.6,0.6,0,0,,0.1,0.7,0.167,1.8,0.2,0.1,0.9,,,0.8
6,Mahamadou Kaba-Camara,8,7.3,0.9,1.3,0.7,0.9,1.3,0.7,0,0,,0.1,0.6,0.2,1.4,0,0.1,0.4,0.1,1.1,1.9
7,Link Kabadyundi,26,5.1,0.5,0.9,0.583,0.5,0.9,0.583,0,0,,0.3,0.9,0.292,1.3,0.1,0.1,0.7,0.5,1.1,1.3
8,Abby Kabba,9,,0.8,1.9,0.412,0.8,1.8,0.438,0,0.1,0,0.9,2.1,0.421,2,0.1,0,0.1,0.6,,2.4
9,Sheiku Kabba,122,,2.5,6.1,0.41,1.3,2.6,0.491,1.2,3.5,0.35,1.4,1.8,0.762,2.3,1.9,1.2,0,,,7.6
10,Khy Kabellis,42,30.8,3,7.3,0.403,1.9,3.9,0.479,1.1,3.5,0.317,1.9,2.6,0.703,2.8,2.4,0.8,0.2,1.9,1.5,8.9
11,Christian Kabongo,44,26.5,3.2,8.5,0.378,2.7,6,0.447,0.5,2.5,0.216,3.4,4.7,0.727,3,2.7,0.9,0.1,2.9,2.1,10.3
12,Kabeya Kabongo,20,2.7,0.2,0.8,0.2,0.2,0.7,0.214,0,0.1,0,0,0.3,0,0.5,0.2,0.1,0,0.3,0.1,0.3
