ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Abdoulaye N'Diaye,62,,1.7,3,0.565,1.7,3,0.565,0,0,,0.8,1.3,0.585,3.7,0.3,0.2,1,,,4.2
2,Adama N'Diaye,82,,2.9,6.2,0.477,2.9,6.1,0.478,0,0,0,2.2,3.1,0.709,6.5,0.7,0.3,1.4,,,8
3,Alpha N'Diaye,19,20.7,2.2,4.9,0.447,2.1,4.8,0.44,0.1,0.2,0.667,1.5,2.8,0.528,6.6,0.4,0.5,1.1,0.6,2.6,6
4,Aziz N'Diaye,102,23.1,2.9,5.3,0.55,2.9,5.3,0.551,0,0,0,1.3,3.1,0.413,7.3,0.3,0.4,1.1,1.5,2.7,7.1
5,Badara N'Diaye,27,,1.1,3.6,0.323,1.1,3.6,0.323,0,0,,0.6,1.2,0.469,3.1,0.5,0.4,0.8,1.1,,2.9
6,Calix N'Diaye,49,,1,3,0.342,0.6,1.4,0.443,0.4,1.6,0.25,1.1,1.4,0.794,1.3,0.8,0.2,0.1,,,3.5
7,Cheikh N'diaye,80,6.5,0.6,0.9,0.649,0.6,0.9,0.649,0,0,,0.3,0.5,0.526,1.2,0.1,0.1,0.4,0.5,1.2,1.5
8,Hamady N'Diaye,124,28.3,2.2,4,0.539,2.2,4,0.542,0,0,0,1.5,2.5,0.592,5.5,0.4,0.4,2.9,1.5,0.7,5.8
9,Ishmael N'Diaye,80,,2.7,6.3,0.421,2.2,4.9,0.46,0.4,1.5,0.291,2.2,3.3,0.664,3.2,1.4,0.9,0.2,,,8
10,Makhtar N'Diaye,121,13.3,1.6,3.5,0.461,1.6,3.3,0.47,0,0.2,0.263,0.6,1,0.581,3.4,0.5,0.4,0.9,,,3.8
11,Mamadou N'Diaye,128,20.8,2.5,4.9,0.506,2.5,4.9,0.508,0,0,0,1.9,2.9,0.641,6.2,0.6,0.7,1.9,,,6.8
12,Mohammad N'Diaye,34,,0.8,1.6,0.482,0.8,1.6,0.482,0,0,,0.1,0.4,0.357,3.2,0.2,0.3,0.1,,,1.7
13,Ndongo N'Diaye,89,,0.9,2.2,0.431,0.9,2.2,0.435,0,0,0,0.4,0.9,0.506,2.9,0.2,0.2,1.6,,,2.3
14,Suleiman N'Diaye,8,,0,0.1,0,0,0,,0,0.1,0,0,0,,0.3,0,0,0,,,0
15,Sidy N'Dir,9,29.9,4.2,8.6,0.494,2.8,4.6,0.61,1.4,4,0.361,3.8,5,0.756,2.7,2.1,0.4,0.7,2.2,2.2,13.7
16,Abdoulaye N'doye,21,4.4,0.1,0.3,0.5,0.1,0.3,0.5,0,0,,0.1,0.4,0.375,0.8,0,0.1,0.4,0.2,1,0.4
17,J.J. N'Ganga,39,11.2,1.1,2.1,0.55,1.1,2.1,0.55,0,0,,0.6,1.1,0.571,1.8,0.2,0.1,0.2,1,1.6,2.9
18,Lucas N'Guessan,9,13,1.7,2.4,0.682,1.7,2.4,0.682,0,0,,0.9,1.9,0.471,3.7,0.2,0.4,1,1.1,3.1,4.2
19,Joseph N'Sima,63,,0.9,2.2,0.4,0.9,2.2,0.412,0,0.1,0,0.8,1.5,0.526,4.9,0.9,0.5,1.4,,,2.6
20,Emmett Naar,72,33,3.4,7.4,0.464,2.1,4.3,0.49,1.4,3.2,0.43,2.1,2.5,0.844,2.9,5.4,0.9,0.1,2.2,1.3,10.4
21,Mike Nabena,101,,1,2.3,0.435,1,2.3,0.44,0,0,0,1.2,1.8,0.646,2,0.5,0.3,0.3,,,3.2
