ID,NAME
1677, Wenyen Gabriel
1678, Devin Gage
1679, Jamal Gaines
1680, Jordan Gaines
1681, Gorjok Gak
1682, Jack Galatio
1683, Christopher Galbreath Jr.
1684, Brevin Galloway
1685, Jonathan Galloway
1686, Kyrin Galloway
1687, Matt Galloway
1688, Karl Gamble
1689, Evans Ganapamo
1690, Brendon Ganaway
1691, Jakeenan Gant
1692, Josh Gantz
1693, Kobe Gantz
1694, Zach Garber
1695, Andrew Garcia
1696, Eric Garcia
1697, Jose Garcia-Gonzalez
1698, Brock Gardner
1699, Connor Garner
1700, Shep Garner
1701, Jordan Garnett
1702, Billy Garrett Jr.
1703, Brian Garrett
1704, Jarvis Garrett
1705, Jeff Garrett
1706, Hayes Garrity
1707, Nick Garth
1708, Nate Garvey
1709, Chance Garvin
1710, Dan Garvin
1711, Najee Garvin
1712, Joe Garza
1713, Mrdjan Gasevic
1714, Randall Gaskins Jr.
1715, Mark Gasperini
1716, Isaac Gassman
1717, Anthony Gaston
1718, RaShid Gaston
1719, Will Gates Jr.
1720, Jalon Gates
1721, Kaiser Gates
1722, Shane Gatling
1723, Stephen Gavin
1724, Colen Gaynor
1725, Erten Gazi
1726, Martinas Geben
1727, Bryan Gee
1728, Reginald Gee
1729, Gordon Gehan
1730, Nate Gehring
1731, Jordan Geist
1732, Bryan Gellineau
1733, Grant Gelon
1734, Zach Gengler
1735, Cory Gensler
1736, Cole Gentry
1737, Bradley George
1738, Conner George
1739, Jack George
1740, David Georgiev
1741, Eugene German
1742, Nolan Gerrity
1743, Damarion Geter
1744, Stone Gettings
1745, C.J. Gettys
1746, Deng Geu
1747, Darryl Geyen
1748, Brandon Gfeller
1749, Aser Ghebremichael
1750, Manu Giamoukis
1751, Grant Gibb
1752, William Gibbons
1753, Jack Gibbs
1754, Shyquan Gibbs
1755, Temple Gibbs
1756, Duane Gibson
1757, JT Gibson
1758, Ty Gibson
1759, Daniel Giddens
1760, Jordan Giddings
1761, Norbertas Giga
1762, Brandon Gilbeck
1763, Ahmad Gilbert
1764, Alterique Gilbert
1765, Chris Gilbert
1766, Admon Gilder
1767, Kavin Gilder-Tilbury
1768, Adam Giles
1769, Billy Giles
1770, Harry Giles
1771, Jordan Giles
1772, Reginald Giles
1773, Garrett Gilkeson
1774, Anton Gill
1775, Christavious Gill
1776, L.G. Gill
1777, Montaque Gill-Caesar
1778, Antonio Gillespie
1779, Isaac Gilliam
1780, Brennan Gillis
1781, Austin Gillmann
1782, John Gillon
1783, Donovan Gilmore
1784, Leon Gilmore
1785, Michael Gilmore
1786, Donald Gipson
1787, Nick Girardi
1788, Asante Gist
1789, Richaud Gittens
1790, Amos Given
1791, B.J. Gladden
1792, Will Gladson
1793, Phabian Glasco
1794, B.J. Glasford
1795, RJ Glasper
1796, Tevin Glass
1797, Trevor Glassman
1798, Maricus Glenn
1799, Montae Glenn
1800, Chaz Glotta
1801, Zach Glotta
1802, Charles Glover
1803, Jamison Glover
1804, Bollo Gnahore
1805, Sarp Gobeloglu
1806, Will Goff
1807, Adam Goines
1808, Kenny Goins
1809, Erik Goldbach
1810, Grant Golden
1811, Shandon Goldman
1812, Dylan Gollihar
1813, James Gollon
1814, Gyorgy Goloman
1815, Ronnie Gombe
1816, Ryan Gomes
1817, Brandon Gonzalez
1818, Eliel Gonzalez
1819, Stefan Gonzalez
1820, Brendon Gooch
1821, Ethan Good
1822, Patrick Good
1823, Garrison Goode
1824, Quentin Goodin
1825, Dexter Gooding
1826, Devon Goodman
1827, Leo Goodman
1828, Brandon Goodwin
1829, Chevez Goodwin
1830, Montell Goodwin
1831, James Gordon IV
1832, Eron Gordon
1833, Jack Gordon
1834, Wesley Gordon
1835, Zach Gordon
1836, Justin Gorham
1837, Nick Gorski
1838, Collin Goss
1839, Elyjah Goss
1840, Micah Goss
1841, Marc Gosselin
1842, Cameron Gottfried
1843, Jessie Govan
1844, Ben Grace
1845, Denny Grace
1846, Jerami Grace
1847, Dajuan Graf
1848, Darius Graham
1849, Devonte' Graham
1850, Hayden Graham
1851, Torian Graham
1852, Austin Grandstaff
1853, Kevin Granger
1854, Vlatko Granic
1855, Adam Grant
1856, Jordan Grant
1857, Jourdan Grant
1858, Matthew Grant
1859, Donte Grantham
1860, Isiah Graves
1861, Marcus Graves
1862, Marshall Graves
1863, Ty Graves
1864, Hassani Gravett
1865, Justin Gray
1866, Juwan Gray
1867, Rob Gray
1868, Jaire Grayer
1869, Marqueese Grayson
1870, Wes Greder
1871, Nick Greely
1872, Anthony Green
1873, Antonio Green
1874, Derail Green
1875, Derrick Green
1876, Devonte Green
1877, Dominic Green
1878, Drake Green
1879, Jacoby Green
1880, Kierell Green
1881, Leland Green
1882, Mike Green
1883, Sam Green
1884, Tyrell Green
1885, Xavier Green
1886, Zach Green
1887, Brian Greene Jr.
1888, Brad Greene
1889, Matt Greene
1890, Jarren Greenwood
1891, Moses Greenwood
1892, Donovan Greer
1893, Ty Greer
1894, Denzel Gregg
1895, Cam Gregory
1896, Matt Gregory
1897, Donnell Gresham Jr.
1898, Brison Gresham
1899, Benas Griciunas
1900, Dayon Griffin
1901, Derrick Griffin
1902, Dondre Griffin
1903, Jordan Griffin
1904, LaDarien Griffin
1905, Nick Griffin
1906, Tyree Griffin
1907, Lou Griffith
1908, Immanuel Griggs
1909, Nate Grimes
1910, Joseph Gripper
1911, Ty Groce
1912, Matt Grooms
1913, Trevon Gross Jr.
1914, Jacob Gross
1915, Joey Gruden
1916, Jovan Grujic
1917, Jon Axel Gudmundsson
1918, John Guerra
1919, Ruben Guerrero
1920, Jacob Guest
1921, Abdoulaye Gueye
1922, DouDou Gueye
1923, Khadim Gueye
1924, Kyle Guice
1925, Davin Guinn
1926, Sean Gurdon
1927, Rokas Gustys
1928, Kyle Guy
