ID,NAME
1929, August Haas
1930, Isaac Haas
1931, Kyle Haber
1932, Xavier Habersham
1933, Rui Hachimura
1934, Tyler Hadden
1935, Tyler Hagedorn
1936, Mitch Hahn
1937, Benedikt Haid
1938, Daniel Hailey
1939, Dylan Haines
1940, Solomon Hainna
1941, Christian Hairston
1942, Jamarcus Hairston
1943, Corey Haith
1944, Spencer Haldeman
1945, Colin Hale
1946, Hunter Hale
1947, Shannon Hale
1948, Terrell Hales
1949, Jermaine Haley
1950, Will Halfon
1951, Charlie Hall
1952, Conner Hall
1953, Devonte Hall
1954, Devon Hall
1955, Donta Hall
1956, Evan Hall
1957, Jimmy Hall
1958, John Hall
1959, Josh Hall
1960, Tyler Hall
1961, Xavier Hallinan
1962, Ahmed Hamdy
1963, Kyre' Hamer
1964, Tommy Hamilton IV
1965, Amari Hamilton
1966, Blake Hamilton
1967, Eric Hamilton
1968, Isaac Hamilton
1969, Jared Hamilton
1970, Johnny Hamilton
1971, KenDarrius Hamilton
1972, Nick Hamilton
1973, Tanner Hamilton
1974, Tyler Hamilton
1975, Zachary Hamilton
1976, Shane Hammink
1977, Leyton Hammonds
1978, Anfernee Hampton
1979, JC Hampton
1980, Joe Hampton
1981, Joe Hanel
1982, Steven Haney
1983, Zach Haney
1984, Cedric Hankerson
1985, Kameron Hankerson
1986, Peter Hanley
1987, Dusty Hannahs
1988, Josh Hanson
1989, Zach Hanson
1990, Ethan Happ
1991, Jerrick Harding
1992, P.J. Hardy
1993, Chase Harler
1994, Khari Harley
1995, Malik Harmon
1996, Raekwon Harney
1997, Abdoulaye Harouna
1998, Daniel Harper
1999, Darius Harper
2000, Jared Harper
2001, Jared Harper
2002, Travon Harper
2003, Troy Harper
2004, Julian Harrell
2005, Kason Harrell
2006, Ronnie Harrell
2007, Nathan Harries
2008, Austin Harriott
2009, Terry Harris Jr.
2010, AJ Harris
2011, Barnett Harris
2012, Daniel Harris
2013, Danny Harris
2014, Darian Harris
2015, DeAndre Harris
2016, Devin Harris
2017, Eron Harris
2018, J.R. Harris
2019, Jalen Harris
2020, Jalen Harris
2021, Jontray Harris
2022, Jordan Harris
2023, Jordon Harris
2024, Julian Harris
2025, Kaelon Harris
2026, Kain Harris
2027, Kevon Harris
2028, Lamontray Harris
2029, Marcus Harris
2030, Matt Harris
2031, Nick Harris
2032, Omega Harris
2033, Sam Harris
2034, Scotty Harris
2035, Steve Harris
2036, Terry Harris
2037, Tre Harris
2038, Tyler Harris
2039, Christian Harrison
2040, Cole Harrison
2041, James Harrison
2042, Martez Harrison
2043, Tim Harrison
2044, Chris Harrison-Docks
2045, Alex Hart
2046, Jalin Hart
2047, Josh Hart
2048, Khallid Hart
2049, Matt Hart
2050, Tim Hart
2051, Braun Hartfield
2052, Collin Hartman
2053, Philipp Hartwich
2054, Cameron Harvey
2055, James Harvey
2056, Jay Harvey
2057, Malek Harwell
2058, Tim Hasbargen
2059, Ethan Haslam
2060, Robert Hatter
2061, Darin Haugh
2062, David Haus
2063, Matt Hauser
2064, Sam Hauser
2065, Nick Havener
2066, Cavit Havsa
2067, Byron Hawkins
2068, Deontae Hawkins
2069, Dominique Hawkins
2070, Ja'Cardo Hawkins
2071, Javontae Hawkins
2072, Nathan Hawkins
2073, Rodney Hawkins
2074, Josh Hawkinson
2075, TJ Haws
2076, Bradley Hayes
2077, Cazmon Hayes
2078, Davon Hayes
2079, Jalen Hayes
2080, Kevarrius Hayes
2081, Nigel Hayes
2082, T.K. Hayes
2083, Devin Haygood
2084, Tucker Haymond
2085, Maleke Haynes
2086, Randy Haynes
2087, Kieran Hayward
2088, DeAndre Haywood
2089, Fred Haywood
2090, Brachen Hazen
2091, Grant Hazle
2092, Max Hazzard
2093, Kai Healy
2094, Josh Hearlihy
2095, Deonte Hearns
2096, Josh Heath
2097, Toby Hegner
2098, Max Heidegger
2099, Matt Hein
2100, Matt Heldt
2101, Cody Helgeland
2102, Knox Hellums
2103, James Hemphill
2104, Kevin Hempy
2105, Jeremy Hemsley
2106, Corey Henderson Jr.
2107, Dakarai Henderson
2108, Harrison Henderson
2109, Jay Henderson
2110, Juwan Henderson
2111, Markell Henderson
2112, T.J. Henderson
2113, Terry Henderson
2114, Tyrell Henderson
2115, Mikey Henn
2116, Arell Hennings
2117, Adonys Henriquez
2118, Kelvin Henry Jr.
2119, Demetrius Henry
2120, Jalen Henry
2121, Maurice Henry
2122, Micaiah Henry
2123, Ta'Jay Henry
2124, Corey Henson
2125, Daron Henson
2126, Djimon Henson
2127, Payton Henson
2128, Schnider Herard
2129, Rodney Herenton
2130, Petr Herman
2131, Calvin Hermanson
2132, Joel Hernandez
2133, Alan Herndon
2134, Mustapha Heron
2135, James Herrick
2136, Kevin Hervey
2137, A.J. Hess
2138, Eric Hester
2139, Peter Hewitt
2140, Corey Heyward
2141, Blake Hibbitts
2142, Brent Hibbitts
