ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
152,Chris Babb,5-Jun,225lb,14,0,9.4,0.6,2.1,0.267,0.4,1.9,0.222,0.1,0.2,0.667,0.367,0,0,,0.3,0.9,1.2,0.2,0.4,0,0.2,0.9,1.6
153,Luke Babbitt,9-Jun,225lb,282,49,13.7,1.7,4.2,0.402,0.9,2.4,0.396,0.7,1.8,0.409,0.514,0.4,0.5,0.743,0.3,1.9,2.3,0.6,0.2,0.1,0.5,1.3,4.7
154,Milos Babic,Jul-00,240lb,21,0,4.1,0.6,1.5,0.375,0,0,,0.6,1.5,0.375,0.375,0.6,1,0.65,0.4,0.6,1,0.5,0.1,0,0.5,0.3,1.8
155,Johnny Bach,2-Jun,180lb,34,,,1,3.5,0.286,,,,1,3.5,0.286,0.286,1.5,2.2,0.68,,,,0.7,,,,0.7,3.5
156,Henry Bacon,3-Jun,205lb,47,,9,1.3,3.5,0.366,0,0.2,0.2,1.2,3.3,0.377,0.372,0.9,1.6,0.603,0.9,0.9,1.7,0.8,,,1.4,1.5,3.5
157,Jim Baechtold,4-Jun,205lb,321,,25.7,3.5,9,0.388,,,,3.5,9,0.388,0.388,2.8,3.5,0.783,,,3.1,2.1,,,,2.5,9.7
158,Dalibor Bagaric,1-Jul,255lb,95,0,10.2,1,2.8,0.361,0,0,0,1,2.8,0.363,0.361,0.6,1.1,0.559,0.9,1.6,2.5,0.4,0.3,0.5,0.8,1.7,2.6
159,John Bagley,Jun-00,185lb,665,401,25.7,3.5,8.1,0.437,0.2,0.7,0.241,3.4,7.4,0.456,0.448,1.5,1.9,0.779,0.6,2,2.6,6,1.1,0.1,2.3,1.6,8.7
160,Carl Bailey,Jul-00,210lb,1,0,7,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,2,2,2
161,Gus Bailey,5-Jun,185lb,147,,9.2,1.1,2.6,0.406,0.1,0.1,1,1.1,2.6,0.405,0.408,0.5,1,0.51,0.6,1,1.7,1.1,0.4,0.3,0.6,1,2.6
162,James Bailey,9-Jun,220lb,595,105,19.5,3.4,7.1,0.484,0,0,0.077,3.4,7.1,0.485,0.484,1.9,2.8,0.703,1.7,3.3,5,0.8,0.5,0.9,1.8,3.3,8.8
163,Thurl Bailey,11-Jun,215lb,928,229,26.8,5.1,10.8,0.473,0,0,0.114,5.1,10.8,0.474,0.473,2.5,3.1,0.812,1.4,3.7,5.1,1.4,0.5,1.2,1.6,2,12.8
164,Toby Bailey,6-Jun,213lb,73,12,9.6,1.3,3.1,0.407,0,0.2,0.2,1.2,2.9,0.422,0.414,0.7,1.1,0.692,0.7,1,1.7,0.6,0.3,0.1,0.5,1.1,3.3
165,Cameron Bairstow,9-Jun,250lb,36,3,4.6,0.4,1.5,0.296,0,0.1,0.2,0.4,1.4,0.306,0.306,0.3,0.4,0.846,0.3,0.7,1,0.2,0.1,0.1,0.2,0.8,1.2
166,Jimmie Baker,9-Jun,220lb,5,,8,0.6,3,0.2,0,0,,0.6,3,0.2,0.2,0,0.4,0,0.8,2,2.8,0.8,0,0.6,1.2,2.2,1.2
167,LaMark Baker,1-Jun,175lb,1,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0
168,Maurice Baker,1-Jun,175lb,5,0,3.8,0,0.2,0,0,0,,0,0.2,0,0,0,0,,0.2,0.2,0.4,0.2,0.2,0,0.2,0.6,0
169,Norm Baker,Jun-00,180lb,4,,,0,0.3,0,,,,0,0.3,0,0,0,0,,,,,0,,,,0,0
170,Ron Baker,4-Jun,220lb,6,0,7.3,1,3.3,0.3,0.5,1.8,0.273,0.5,1.5,0.333,0.375,0.3,0.7,0.5,0.2,0.3,0.5,0.5,0.5,0.2,0.3,0.2,2.8
171,Vin Baker,11-Jun,232lb,791,604,32.5,5.9,12.2,0.485,0,0.2,0.215,5.9,12,0.49,0.487,3.1,4.8,0.638,2.9,4.6,7.4,1.9,0.7,1,2.2,3.2,15
172,Wade Baldwin,4-Jun,202lb,17,1,16.5,1.5,4.6,0.316,0.1,0.9,0.125,1.4,3.7,0.365,0.329,1.1,1.4,0.792,0.4,1.4,1.8,2.6,0.7,0.3,1.5,1.6,4.2
173,Renaldo Balkman,8-Jun,208lb,221,12,13.9,1.7,3.3,0.51,0,0.3,0.172,1.6,3,0.543,0.518,0.7,1.2,0.542,1.3,2.2,3.5,0.6,0.7,0.5,0.6,1.9,4
174,Cedric Ball,8-Jun,210lb,7,0,3.7,0.4,1.1,0.375,0,0,,0.4,1.1,0.375,0.375,0.3,0.3,1,0.7,0.9,1.6,0,0,0.3,0.3,0.7,1.1
