ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1843,Marc Iavaroni,8-Jun,210lb,531,321,15.8,1.7,3.7,0.459,0,0,0,1.7,3.7,0.463,0.459,1,1.4,0.71,1.1,2.2,3.2,1,0.3,0.4,1.2,2.4,4.4
1844,Serge Ibaka,10-Jun,235lb,547,436,28.9,4.9,9.4,0.521,0.4,1.1,0.36,4.5,8.4,0.541,0.541,1.4,1.9,0.749,2.4,5,7.4,0.6,0.4,2.5,1.3,2.8,11.7
1845,Andre Iguodala,6-Jun,215lb,923,759,35.1,4.7,10.3,0.462,0.9,2.8,0.333,3.8,7.5,0.51,0.507,2.8,4,0.714,1,4.3,5.3,4.6,1.6,0.5,2.1,1.9,13.3
1846,Zydrunas Ilgauskas,3-Jul,238lb,843,724,27.2,5,10.5,0.476,0,0.1,0.31,5,10.4,0.478,0.478,3,3.8,0.78,2.9,4.4,7.3,1.1,0.5,1.6,1.8,3.3,13
1847,Mile Ilic,1-Jul,230lb,5,0,1.2,0,0.6,0,0,0,,0,0.6,0,0,0,0,,0,0.2,0.2,0,0,0,0.6,0.2,0
1848,Didier Ilunga-Mbenga,Jul-00,245lb,234,4,6.7,0.8,1.6,0.47,0,0,0,0.8,1.6,0.472,0.47,0.2,0.4,0.607,0.6,0.9,1.5,0.2,0.2,0.6,0.4,1.2,1.8
1849,Ersan Ilyasova,10-Jun,235lb,550,326,24.2,4.1,9.2,0.444,1,2.8,0.37,3,6.4,0.476,0.5,1.6,2.1,0.769,1.9,4.1,6,1.1,0.7,0.4,1,2.5,10.7
1850,Darrall Imhoff,10-Jun,220lb,801,,22.3,2.9,6.3,0.458,,,,2.9,6.3,0.458,0.458,1.4,2.4,0.594,,,7.6,1.8,,,,3.1,7.2
1851,Tom Ingelsby,3-Jun,180lb,75,,10.1,1.3,3,0.424,0,0.2,0.2,1.3,2.9,0.429,0.426,0.7,0.9,0.773,0.4,0.9,1.3,1,0.4,0.1,0.6,0.8,3.2
1852,Joe Ingles,8-Jun,226lb,184,35,18.1,1.7,4.1,0.43,1,2.6,0.383,0.8,1.5,0.511,0.551,0.3,0.4,0.741,0.2,1.8,2,1.7,0.8,0.1,1,1.4,4.8
1853,Damien Inglis,8-Jun,246lb,20,1,7.8,0.7,1.9,0.351,0.2,0.7,0.231,0.5,1.2,0.417,0.392,0.4,0.4,0.875,0.1,1.5,1.6,0.5,0.3,0.2,0.6,0.6,1.8
1854,Brandon Ingram,9-Jun,190lb,24,6,26.8,2.8,7.8,0.366,0.7,2.3,0.296,2.2,5.5,0.394,0.409,1.8,2.4,0.754,0.5,3.3,3.8,1.8,0.6,0.6,1.6,1.7,8.1
1855,McCoy Ingram,8-Jun,210lb,24,,11.1,1.1,4.3,0.262,,,,1.1,4.3,0.262,0.262,0.5,1.2,0.464,,,4.8,0.8,,,,1.8,2.8
1856,Ervin Inniger,4-Jun,190lb,109,,22.7,3.8,8.9,0.43,0.1,0.4,0.167,3.8,8.5,0.444,0.434,1.1,1.5,0.741,0.6,1.2,3.5,1.4,,,1.1,2.4,8.8
1857,Byron Irvin,5-Jun,190lb,87,8,9.8,1.9,4,0.471,0.1,0.2,0.35,1.8,3.8,0.479,0.481,1.3,1.8,0.722,0.6,0.8,1.4,0.8,0.5,0,0.7,0.9,5.2
1858,George Irvine,6-Jun,200lb,325,,19.8,3.9,7.6,0.517,0.1,0.4,0.274,3.8,7.2,0.532,0.525,1.6,1.9,0.826,1,1.9,3,1.3,0.4,0.2,1.2,2.6,9.5
1859,Kyrie Irving,3-Jun,193lb,329,329,34,7.7,16.9,0.454,1.8,4.8,0.381,5.9,12.1,0.483,0.508,3.9,4.4,0.866,0.7,2.7,3.4,5.4,1.3,0.3,2.7,2.2,21
1860,Dan Issel,9-Jun,235lb,1218,236,34.3,8.6,17.2,0.499,0,0.1,0.204,8.5,17,0.501,0.5,5.4,6.8,0.793,3,6.1,9.1,2.4,1,0.5,2.2,2.9,22.6
1861,Mike Iuzzolino,10-May,175lb,122,44,25,3.1,6.8,0.457,0.9,2.3,0.404,2.2,4.5,0.485,0.525,1.8,2.3,0.798,0.5,1.5,2,4.3,0.7,0.1,1.8,1.5,9
1862,Allen Iverson,Jun-00,165lb,914,901,41.1,9.3,21.8,0.425,1.2,3.7,0.313,8.1,18.1,0.448,0.452,7,8.9,0.78,0.8,2.9,3.7,6.2,2.2,0.2,3.6,1.9,26.7
1863,Willie Iverson,Jun-00,180lb,28,,19,1.8,5.2,0.342,0,0.1,0,1.8,5.1,0.347,0.342,1.3,2.1,0.6,0.4,1.2,1.6,2.9,,,2,1.7,4.9
1864,Royal Ivey,3-Jun,200lb,492,114,12.5,1.3,3.1,0.406,0.3,0.9,0.361,0.9,2.2,0.425,0.459,0.5,0.7,0.706,0.3,0.8,1.1,1,0.5,0.1,0.5,1.5,3.3
1865,Elvin Ivory,8-Jun,210lb,20,,9.4,1.9,4.4,0.437,0.1,0.2,0.25,1.9,4.2,0.446,0.443,0.6,0.9,0.647,1.7,1.6,3.3,0.5,,,0.7,1.9,4.4
