ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2237,Skal Labissiere,11-Jun,225lb,1,0,15,3,5,0.6,0,0,,3,5,0.6,0.6,2,3,0.667,3,0,3,0,0,0,0,0,8
2238,Reggie Lacefield,5-Jun,230lb,8,,6,1.4,2.8,0.5,0,0.1,0,1.4,2.6,0.524,0.5,0.3,0.5,0.5,0.5,0.9,1.4,0,,,0.4,1.1,3
2239,Edgar Lacey,6-Jun,190lb,46,,13.2,2.1,4.8,0.447,0,0,0,2.1,4.7,0.452,0.447,0.8,1.5,0.567,1.5,2.4,3.9,0.7,,,1.4,2,5.1
2240,Sam Lacey,10-Jun,235lb,1002,40,31.8,4.3,9.7,0.441,0,0.1,0.188,4.3,9.7,0.442,0.441,1.7,2.4,0.738,2.2,6.9,9.7,3.7,1.3,1.5,2.2,3.5,10.3
2241,Bob Lackey,5-Jun,200lb,71,,16.9,2.2,5.1,0.431,0,0.1,0.4,2.2,5,0.431,0.434,1.4,2.4,0.593,0.9,1.4,2.3,1.9,0.3,0,1.7,2.4,5.8
2242,Fred LaCour,5-Jun,210lb,144,,16.7,2.6,6.3,0.421,,,,2.6,6.3,0.421,0.421,1.2,1.6,0.774,,,3.3,1.9,,,,1.9,6.5
2243,Wendell Ladner,5-Jun,220lb,300,,26.3,5,12.9,0.386,0.4,1.5,0.252,4.6,11.5,0.403,0.4,1.2,1.7,0.712,2.7,5.6,8.3,2.1,1.6,0.1,2,3.9,11.6
2244,Christian Laettner,11-Jun,235lb,868,692,29.7,4.6,9.7,0.48,0.1,0.4,0.261,4.5,9.3,0.49,0.486,3.4,4.2,0.82,1.9,4.8,6.7,2.6,1.1,0.8,2.2,3.2,12.8
2245,Oliver Lafayette,2-Jun,190lb,1,0,22,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,0,,1,3,4,2,0,0,1,0,7
2246,Raef LaFrentz,11-Jun,240lb,563,438,25.8,4,8.5,0.466,0.8,2.3,0.363,3.1,6.2,0.505,0.516,1.3,1.9,0.711,1.8,4.3,6.1,1.1,0.5,1.6,0.9,3.3,10.1
