ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2829,Hamady N'Diaye,Jul-00,235lb,33,0,4.8,0.2,0.5,0.467,0,0,,0.2,0.5,0.467,0.467,0.2,0.4,0.462,0.2,0.5,0.8,0.1,0.1,0.3,0.2,1,0.6
2830,Makhtar N'Diaye,8-Jun,245lb,4,0,6.8,0.3,1,0.25,0,0,,0.3,1,0.25,0.25,0.8,1,0.75,0.8,0.5,1.3,0.3,0,0.3,0.3,2.3,1.3
2831,Mamadou N'Diaye,Jul-00,255lb,69,9,12.4,1.2,2.9,0.427,0,0,0,1.2,2.9,0.429,0.427,1.3,1.8,0.736,1.3,2,3.3,0.1,0.2,0.9,0.6,2.1,3.8
2832,Boniface N'Dong,Jul-00,198lb,23,1,6.6,1,2.3,0.415,0,0,0,1,2.3,0.423,0.415,0.3,0.4,0.667,0.7,1,1.6,0.3,0.1,0.2,0.3,1,2.2
2833,Bob Naber,3-Jun,185lb,4,,2.8,0,1,0,,,,0,1,0,0,0.3,0.5,0.5,,,1.3,0.3,,,,1.5,0.3
2834,Boris Nachamkin,6-Jun,210lb,6,,9.8,1,3.3,0.3,,,,1,3.3,0.3,0.3,1.3,2.2,0.615,,,3.2,0.5,,,,1,3.3
2835,Bostjan Nachbar,9-Jun,221lb,317,25,17.8,2.3,5.8,0.406,1,2.7,0.375,1.3,3.1,0.433,0.494,1.4,1.8,0.784,0.4,2.2,2.6,0.9,0.4,0.3,0.9,2.2,7.1
2836,Jerry Nagel,Jun-00,190lb,14,,,0.4,2,0.214,,,,0.4,2,0.214,0.214,0.1,0.3,0.25,,,,1.3,,,,0.8,0.9
2837,Fritz Nagy,2-Jun,185lb,50,,,1.9,5.4,0.347,,,,1.9,5.4,0.347,0.347,1.3,1.9,0.67,,,,1.4,,,,1.7,5.1
2838,Lee Nailon,9-Jun,238lb,306,96,19,3.7,7.7,0.474,0,0,0.111,3.7,7.7,0.475,0.474,1.2,1.6,0.786,1.2,1.8,3.1,1,0.4,0.2,1,1.9,8.6
2839,Eduardo Najera,8-Jun,240lb,619,85,18.1,1.9,4,0.481,0.2,0.6,0.311,1.8,3.5,0.509,0.503,0.9,1.3,0.671,1.4,2.3,3.7,0.8,0.7,0.4,0.6,2.2,4.9
2840,Larry Nance,10-Jun,205lb,920,795,33.4,6.9,12.7,0.546,0,0.1,0.145,6.9,12.6,0.548,0.546,3.2,4.2,0.755,2.5,5.5,8,2.6,0.9,2.2,1.9,2.9,17.1
2841,Larry Nance Jr.,9-Jun,230lb,84,22,20.6,2.7,5,0.542,0,0.2,0.1,2.7,4.8,0.564,0.544,0.6,0.8,0.701,1.6,3.6,5.1,0.8,0.9,0.4,0.6,2,6
2842,Shabazz Napier,1-Jun,175lb,119,10,14.2,1.4,3.9,0.362,0.7,2.1,0.343,0.7,1.8,0.383,0.453,0.7,0.9,0.743,0.2,1.3,1.5,2,0.6,0,1.1,1,4.2
2843,Paul Napolitano,2-Jun,185lb,1,,,0,0,,,,,0,0,,,0,0,,,,,0,,,,0,0
