ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4304,Edwin Ubiles,6-Jun,204lb,4,0,13,1.3,4.5,0.278,0.3,1.3,0.2,1,3.3,0.308,0.306,0.8,0.8,1,0.5,2,2.5,0.3,0.3,0.3,0.3,0.3,3.5
4305,Ekpe Udoh,10-Jun,240lb,270,52,16.9,1.5,3.5,0.429,0,0,0,1.5,3.5,0.431,0.429,0.9,1.3,0.72,1.3,1.8,3.2,0.7,0.5,1.2,0.7,2.1,4
4306,Ime Udoka,6-Jun,215lb,316,80,18.1,1.9,4.7,0.417,0.7,1.9,0.356,1.3,2.7,0.461,0.492,0.6,0.8,0.705,0.7,2.2,2.9,1,0.7,0.2,0.7,1.7,5.2
4307,Beno Udrih,3-Jun,205lb,814,272,22.1,3.3,7.2,0.462,0.6,1.6,0.349,2.8,5.6,0.496,0.502,1.2,1.5,0.831,0.4,1.7,2.1,3.4,0.7,0.1,1.4,1.6,8.4
4308,Roko Ukic,5-Jun,183lb,85,0,11.6,1.6,4.2,0.387,0.2,0.9,0.189,1.4,3.3,0.439,0.407,0.6,0.8,0.746,0.3,0.6,0.9,1.9,0.4,0,0.8,1,4
4309,Tyler Ulis,10-May,150lb,13,0,10.9,1.4,3.5,0.4,0.1,0.4,0.2,1.3,3.1,0.425,0.411,0.8,0.9,0.833,0.2,0.5,0.7,1.8,1.2,0.1,0.8,1,3.6
4310,Wes Unseld,7-Jun,245lb,984,,36.4,4.4,8.7,0.509,0,0,0.5,4.4,8.7,0.509,0.509,1.9,3,0.633,3.5,8.4,14,3.9,1.1,0.6,1.9,2.8,10.8
4311,Hal Uplinger,4-Jun,185lb,23,,11.7,1.4,4.1,0.351,,,,1.4,4.1,0.351,0.351,0.9,1,0.909,,,1.3,1.1,,,,1.8,3.7
4312,Kelvin Upshaw,2-Jun,180lb,120,1,12.7,2.2,4.9,0.453,0.1,0.5,0.237,2.1,4.4,0.477,0.465,0.8,1.1,0.795,0.3,0.9,1.2,2.1,0.7,0.1,1,1.8,5.4
4313,Ben Uzoh,3-Jun,205lb,60,8,13.5,1.6,4.1,0.395,0.1,0.2,0.333,1.6,3.9,0.397,0.401,0.7,1.3,0.587,0.8,1.3,2.1,2.2,0.5,0.2,0.7,1,4
