ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4370,Dwyane Wade,4-Jun,220lb,875,865,35.6,8.5,17.5,0.487,0.5,1.6,0.288,8.1,15.9,0.507,0.5,6,7.8,0.768,1.3,3.6,4.8,5.7,1.7,0.9,3.3,2.3,23.6
4371,Mark Wade,11-May,160lb,12,0,10.5,0.3,1.7,0.15,0,0.2,0,0.3,1.5,0.167,0.15,0.2,0.3,0.5,0.3,1,1.3,3,0.6,0.1,1.1,1.1,0.7
4372,Von Wafer,5-Jun,210lb,200,14,12.4,2,4.6,0.42,0.5,1.6,0.325,1.4,3.1,0.469,0.475,0.9,1.1,0.751,0.2,1,1.2,0.7,0.4,0.1,0.6,0.8,5.3
4373,Clint Wager,6-Jun,210lb,63,,,0.9,3.2,0.281,,,,0.9,3.2,0.281,0.281,0.5,0.7,0.617,,,,1.4,,,,2.8,2.3
4374,Dajuan Wagner,2-Jun,200lb,103,28,21.4,3.4,9.4,0.366,0.9,2.8,0.321,2.5,6.6,0.385,0.414,1.6,2.1,0.77,0.3,1.1,1.4,1.9,0.7,0.1,1.3,2.1,9.4
4375,Danny Wagner,Jun-00,170lb,11,,,1.7,4.9,0.352,,,,1.7,4.9,0.352,0.352,2.8,3.2,0.886,,,,1.6,,,,2,6.3
4376,Milt Wagner,5-Jun,185lb,53,5,9.4,1.6,3.8,0.422,0.2,0.5,0.296,1.5,3.3,0.441,0.441,0.7,0.8,0.875,0.1,0.6,0.7,1.4,0.2,0.1,0.6,1.1,4.1
4377,Phillip Wagner,2-Jun,190lb,12,,15,0.9,3.4,0.268,0.1,0.3,0.25,0.8,3.1,0.27,0.28,1.1,1.4,0.765,0.7,1.3,1.9,1.2,,,1.5,2.3,3
4378,Dion Waiters,4-Jun,225lb,305,126,28.5,5,12.1,0.41,1.1,3.3,0.335,3.9,8.8,0.437,0.455,1.9,2.7,0.704,0.5,2.1,2.6,2.5,1,0.3,1.8,2,12.9
4379,Granville Waiters,11-Jun,225lb,249,39,10.2,1.1,2.4,0.458,0,0,0,1.1,2.3,0.462,0.458,0.3,0.5,0.559,0.7,1.4,2.2,0.5,0.2,0.7,0.6,1.6,2.4
4380,Andre Wakefield,3-Jun,175lb,81,,7.8,0.8,2.4,0.354,0,0,,0.8,2.4,0.354,0.354,0.6,0.9,0.708,0.3,0.7,1,0.9,0.2,0,1,1,2.3
4381,Neal Walk,10-Jun,220lb,568,,24.4,5.2,11.2,0.459,,,,5.2,11.2,0.459,0.459,2.3,3,0.758,1.8,4.8,7.7,2.1,0.6,0.4,,3.1,12.6
4382,Andy Walker,4-Jun,190lb,40,,11,1.8,3.9,0.462,,,,1.8,3.9,0.462,0.462,0.9,1.2,0.766,0.6,1.3,1.9,0.8,0.5,0.2,,1.5,4.5
4383,Antoine Walker,8-Jun,224lb,893,707,35.3,6.8,16.5,0.414,1.6,4.8,0.325,5.3,11.7,0.45,0.461,2.3,3.7,0.633,2.1,5.6,7.7,3.5,1.2,0.5,2.8,2.8,17.5
4384,Brady Walker,6-Jun,205lb,228,,20,3,7.8,0.38,,,,3,7.8,0.38,0.38,1.1,1.8,0.633,,,5.4,1.4,,,,1.4,7
4385,Chet Walker,6-Jun,212lb,1032,,32.4,6.7,14.2,0.47,,,,6.7,14.2,0.47,0.47,4.9,6.2,0.796,1.6,3.8,7.1,2.1,0.7,0.1,,2.6,18.2
4386,Darrell Walker,4-Jun,180lb,720,356,25.8,3.4,7.9,0.435,0,0.1,0.059,3.4,7.8,0.441,0.435,2,2.8,0.713,1.5,2.9,4.4,4.6,1.5,0.3,2,2.5,8.9
4387,Foots Walker,Jun-00,184lb,658,64,22.9,2.3,5.4,0.435,0,0.1,0.227,2.3,5.3,0.437,0.436,1.7,2.2,0.762,0.7,1.9,2.6,4.7,1.5,0.1,1.8,2.1,6.4
4388,Henry Walker,6-Jun,220lb,181,35,16.7,2.1,4.8,0.446,1,2.8,0.369,1.1,1.9,0.56,0.556,0.6,0.9,0.76,0.3,1.9,2.2,0.8,0.5,0.1,0.8,2.1,6
4389,Horace Walker,3-Jun,210lb,65,,20.5,2.3,6.8,0.339,,,,2.3,6.8,0.339,0.339,2.2,3,0.725,,,7.2,1.1,,,,3,6.7
4390,Jimmy Walker,3-Jun,195lb,698,,33.8,6.6,14.4,0.461,,,,6.6,14.4,0.461,0.461,3.4,4.2,0.829,0.6,2.1,2.7,3.5,1.1,0.2,,2.5,16.7
4391,Kemba Walker,1-Jun,172lb,387,342,33.7,6.2,15.2,0.407,1.6,4.7,0.34,4.6,10.5,0.437,0.46,3.7,4.5,0.82,0.6,3.3,3.8,5.3,1.4,0.4,2.1,1.5,17.7
4392,Kenny Walker,8-Jun,210lb,448,160,20.2,2.8,5.7,0.485,0,0.1,0.206,2.8,5.6,0.489,0.487,1.4,1.9,0.749,1.7,2.3,4,0.7,0.5,0.7,0.8,2.6,7
4393,Phil Walker,3-Jun,180lb,40,,9.6,1.4,4,0.354,,,,1.4,4,0.354,0.354,1.6,2.4,0.667,0.5,0.8,1.3,1.4,0.4,0.1,1.6,1,4.5
4394,Samaki Walker,9-Jun,240lb,445,143,17.1,2.1,4.6,0.462,0,0,0.111,2.1,4.5,0.464,0.462,1.1,1.8,0.63,1.4,3.3,4.7,0.6,0.3,0.7,0.9,2,5.3
4395,Wally Walker,7-Jun,190lb,565,147,18,3,6.5,0.467,0,0,0.2,3,6.5,0.468,0.467,0.9,1.4,0.643,1.1,2,3.1,1.5,0.4,0.2,1.2,2,7
