ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4724,Max Zaslofsky,2-Jun,170lb,540,,28.3,5.3,15.4,0.343,,,,5.3,15.4,0.343,0.343,4.2,5.5,0.769,,,2.8,2,,,,2.4,14.8
4725,Zeke Zawoluk,7-Jun,215lb,179,,19.7,2.2,5.9,0.372,,,,2.2,5.9,0.372,0.372,2.3,3,0.767,,,4.1,1.2,,,,2.5,6.8
4726,Cody Zeller,Jul-00,240lb,237,126,21.8,2.8,5.7,0.485,0,0.1,0.167,2.8,5.6,0.488,0.486,2.1,2.8,0.738,1.6,3.8,5.4,1.2,0.6,0.7,1,2.5,7.6
4727,Dave Zeller,1-Jun,175lb,61,,4.6,0.6,1.7,0.353,,,,0.6,1.7,0.353,0.353,0.3,0.4,0.75,,,0.4,1,,,,0.6,1.5
4728,Gary Zeller,3-Jun,205lb,90,,8.7,1.4,4.2,0.332,0,0.1,0,1.4,4.1,0.332,0.332,0.5,0.8,0.594,0.4,0.4,1.1,0.4,,,0.8,1.3,3.2
4729,Harry Zeller,4-Jun,210lb,48,,,2.5,8,0.314,,,,2.5,8,0.314,0.314,2.5,3.7,0.689,,,,0.6,,,,3.7,7.5
4730,Luke Zeller,11-Jun,245lb,16,0,3.6,0.6,1.6,0.346,0.1,0.3,0.2,0.5,1.3,0.381,0.365,0,0,,0.1,0.6,0.6,0.2,0,0,0,0.3,1.2
4731,Tyler Zeller,Jul-00,253lb,311,131,18.7,3,5.9,0.499,0,0,0,3,5.9,0.5,0.499,1.5,1.9,0.776,1.6,3,4.6,1,0.3,0.6,0.9,2.3,7.4
4732,Tony Zeno,8-Jun,210lb,8,,7.4,0.8,2.6,0.286,0,0,,0.8,2.6,0.286,0.286,0.3,0.3,1,0.4,1.4,1.8,0.1,0.5,0.4,1.1,1.6,1.8
4733,Phil Zevenbergen,10-Jun,230lb,8,0,7.3,1.9,3.4,0.556,0,0,,1.9,3.4,0.556,0.556,0,0.3,0,0.5,1.1,1.6,0.4,0.4,0.1,0.5,1.5,3.8
4734,Wang Zhizhi,Jul-00,255lb,137,1,9.2,1.6,3.7,0.417,0.5,1.3,0.385,1,2.4,0.435,0.485,0.8,1.1,0.735,0.4,1.3,1.7,0.3,0.2,0.3,0.5,1.1,4.4
4735,George Zidek,Jul-00,250lb,135,23,9.8,1.2,2.9,0.408,0,0,0.25,1.2,2.9,0.409,0.409,1,1.2,0.783,0.8,1.3,2.1,0.2,0.1,0.1,0.5,1.8,3.4
4736,Derrick Zimmerman,3-Jun,195lb,2,0,16,1,1.5,0.667,0,0,,1,1.5,0.667,0.667,0,0,,0.5,1.5,2,3.5,0,0,2,2,2
4737,Stephen Zimmerman,Jul-00,240lb,2,0,5.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0.5,0,1,1,2,0.5,0,0,0,0,1
4738,Paul Zipser,8-Jun,215lb,6,0,5,0,1,0,0,0.3,0,0,0.7,0,0,0,0,,0.2,1,1.2,0.5,0.2,0,0.2,0.5,0
4739,Jim Zoet,1-Jul,240lb,7,0,4.3,0.1,0.7,0.2,0,0,,0.1,0.7,0.2,0.2,0,0,,0.4,0.7,1.1,0.1,0.1,0.4,0.6,1.3,0.3
4740,Bill Zopf,1-Jun,170lb,53,,7.5,0.9,2.5,0.363,,,,0.9,2.5,0.363,0.363,0.4,0.7,0.556,,,0.9,1.4,,,,0.6,2.2
4741,Ivica Zubac,1-Jul,265lb,4,1,8,0.8,2,0.375,0,0,,0.8,2,0.375,0.375,0.8,1,0.75,0.5,1,1.5,0,0.3,0,0.3,1.5,2.3
4742,Matt Zunic,3-Jun,195lb,56,,,1.8,5.8,0.303,,,,1.8,5.8,0.303,0.303,1.4,1.9,0.706,,,,0.9,,,,3.3,4.9
