ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1301,Bill Gabor,11-May,170lb,307,,19.4,3.5,10.2,0.344,,,,3.5,10.2,0.344,0.344,2.7,3.7,0.737,,,1.8,2,,,,3.4,9.8
1302,Dan Gadzuric,11-Jun,240lb,527,164,14.8,2,4,0.5,0,0,0,2,4,0.501,0.5,0.7,1.4,0.498,1.7,2.7,4.4,0.4,0.5,0.9,0.7,2.4,4.7
1303,Deng Gai,9-Jun,250lb,2,0,2.5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
1304,Elmer Gainer,6-Jun,195lb,20,,,0.5,2.2,0.227,,,,0.5,2.2,0.227,0.227,0.5,0.7,0.643,,,,0.5,,,,1.8,1.5
1305,Bill Gaines,4-Jun,185lb,1,,5,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,0,1,0,,,1,0,2
1306,Corey Gaines,3-Jun,195lb,80,10,12.5,1.2,2.7,0.424,0.1,0.6,0.229,1,2.1,0.479,0.449,0.7,0.9,0.736,0.2,0.7,0.9,3.1,0.5,0.1,0.9,1.2,3.1
1307,David Gaines,1-Jun,170lb,3,,12,1.3,5.3,0.25,0.3,0.3,1,1,5,0.2,0.281,0.3,0.7,0.5,,,3.3,0,,,0,1.3,3.3
1308,Reece Gaines,6-Jun,205lb,71,1,8.5,0.7,2.1,0.324,0.1,0.4,0.269,0.6,1.7,0.336,0.348,0.3,0.5,0.606,0.1,0.6,0.7,0.7,0.2,0,0.4,0.6,1.7
1309,Sundiata Gaines,1-Jun,185lb,113,12,11.6,1.6,4.1,0.397,0.4,1.3,0.301,1.2,2.8,0.442,0.445,0.9,1.6,0.562,0.4,1.1,1.5,1.8,0.7,0,0.8,0.9,4.5
1310,Mike Gale,4-Jun,185lb,842,70,24.5,3.1,6.7,0.464,0,0.1,0.187,3.1,6.6,0.469,0.466,1.1,1.5,0.781,0.8,2.1,2.9,3.7,1.8,0.5,1.7,2.3,7.4
1311,Chad Gallagher,10-Jun,255lb,2,0,1.5,1.5,1.5,1,0,0,,1.5,1.5,1,1,0,0,,0,0,0,0,0,0,0,1,3
1312,Harry Gallatin,6-Jun,210lb,682,,31.9,4.1,10.3,0.398,,,,4.1,10.3,0.398,0.398,4.7,6.1,0.773,,,11.9,1.8,,,,3.1,13
1313,Danilo Gallinari,10-Jun,225lb,417,347,30.9,4.5,10.9,0.414,1.8,4.9,0.366,2.7,6,0.454,0.496,4.2,4.9,0.855,0.8,3.8,4.6,1.9,0.8,0.5,1.3,1.9,14.9
1314,Langston Galloway,2-Jun,200lb,150,48,26.5,3.4,8.7,0.395,1.2,3.4,0.354,2.2,5.3,0.421,0.464,1.1,1.4,0.774,0.6,3,3.6,2.6,1,0.2,0.9,2.3,9.2
1315,Dave Gambee,6-Jun,215lb,750,,19.6,3.8,8.9,0.42,,,,3.8,8.9,0.42,0.42,3.1,3.7,0.822,,,5.2,1,,,,2.9,10.6
1316,Kevin Gamble,5-Jun,210lb,649,270,22.4,3.9,7.9,0.502,0.4,1,0.36,3.6,6.9,0.522,0.524,1.2,1.5,0.81,0.6,1.7,2.2,2,0.7,0.3,0.9,1.9,9.5
1317,Bob Gantt,4-Jun,205lb,23,,,1.3,3.9,0.326,,,,1.3,3.9,0.326,0.326,0.6,1.2,0.464,,,,0.2,,,,2,3.1
1318,Jorge Garbajosa,9-Jun,245lb,74,60,26.8,3.1,7.5,0.415,1,2.8,0.344,2.1,4.7,0.458,0.48,0.8,1.1,0.731,0.7,4,4.7,1.7,1.1,0.2,0.9,1.2,8
1319,Ruben Garces,9-Jun,245lb,13,0,5.6,0.5,1.7,0.318,0,0,,0.5,1.7,0.318,0.318,0.2,0.6,0.25,1.2,1,2.2,0.4,0.2,0.2,0.4,1.1,1.2
1320,Alex Garcia,3-Jun,220lb,10,3,15.9,1.9,5.9,0.322,0.5,1.8,0.278,1.4,4.1,0.341,0.364,0.4,0.6,0.667,0.7,0.8,1.5,1.8,0.6,0.1,0.9,1.5,4.7
1321,Francisco Garcia,7-Jun,195lb,549,137,21.6,2.8,6.7,0.427,1.1,3,0.357,1.8,3.7,0.484,0.507,1.1,1.4,0.799,0.5,2,2.6,1.4,0.8,0.7,1,2.2,7.9
1322,Chuck Gardner,8-Jun,205lb,42,,11.6,1.7,4.2,0.406,0,0.1,0,1.7,4.1,0.415,0.406,1.3,1.9,0.696,,,3.2,0.3,,,1.2,1.8,4.7
1323,Earl Gardner,3-Jun,195lb,50,,,0.8,2,0.376,,,,0.8,2,0.376,0.376,0.3,0.6,0.464,,,,0.4,,,,1,1.8
1324,Kenneth Gardner,5-Jun,205lb,9,,5.7,0.7,2,0.333,0,0,,0.7,2,0.333,0.333,0.2,0.2,1,0.9,0.6,1.4,0.3,0.2,0.1,0.1,1,1.6
1325,Thomas Gardner,5-Jun,225lb,20,0,7.2,0.9,3,0.305,0.4,1.8,0.2,0.6,1.2,0.458,0.364,0.1,0.3,0.333,0.2,0.4,0.6,0.2,0.2,0.1,0.4,0.4,2.3
1326,Vern Gardner,5-Jun,200lb,151,,18.8,3.4,9.9,0.344,,,,3.4,9.9,0.344,0.344,2.1,2.8,0.748,,,4,1.6,,,,2.9,8.9
1327,Jack Garfinkel,Jun-00,190lb,92,,,2.3,8.2,0.275,,,,2.3,8.2,0.275,0.275,0.7,1,0.705,,,,1.5,,,,1.7,5.2
1328,Gary Garland,4-Jun,180lb,78,,14.2,2,4.6,0.435,0.1,0.2,0.316,1.9,4.3,0.442,0.444,0.2,0.3,0.692,0.6,1.1,1.8,1.9,0.7,0.1,0.9,1,4.3
1329,Winston Garland,2-Jun,170lb,511,315,26.2,3.7,8.7,0.43,0.1,0.5,0.281,3.6,8.2,0.44,0.438,1.8,2.1,0.83,0.8,2,2.8,4.7,1.3,0.2,1.9,2.4,9.4
1330,Dick Garmaker,3-Jun,200lb,421,,28.9,4.8,11.9,0.403,,,,4.8,11.9,0.403,0.403,3.7,4.7,0.787,,,4.2,2.6,,,,2.8,13.3
1331,Bill Garner,10-Jun,220lb,53,,9.7,0.5,1.9,0.272,0,0,0,0.5,1.9,0.275,0.272,0.5,0.9,0.5,,,2.2,0.5,,,0.9,1.9,1.5
1332,Chris Garner,10-May,156lb,46,0,9.6,0.7,2.3,0.28,0.1,0.5,0.19,0.6,1.9,0.302,0.299,0.2,0.3,0.615,0.2,0.6,0.8,1.4,0.6,0.1,0.7,1.5,1.6
1333,Bill Garnett,9-Jun,225lb,300,62,17.5,1.9,3.9,0.49,0,0,0,1.9,3.9,0.494,0.49,1.6,2.3,0.72,1.6,2.8,4.3,1.3,0.5,0.6,1.1,2.8,5.5
1334,Kevin Garnett,11-Jun,240lb,1462,1425,34.5,7.2,14.5,0.497,0.1,0.4,0.275,7.1,14,0.504,0.501,3.3,4.2,0.789,2.2,7.8,10,3.7,1.3,1.4,2.2,2.4,17.8
1335,Marlon Garnett,2-Jun,186lb,24,0,8.5,0.6,2.1,0.294,0.3,1,0.261,0.4,1.2,0.321,0.353,0.6,0.8,0.75,0.1,0.8,0.9,0.8,0.2,0,0.5,0.8,2.1
1336,Calvin Garrett,7-Jun,190lb,166,22,18.1,2.3,4.9,0.457,0,0.1,0.3,2.2,4.8,0.461,0.461,0.6,0.8,0.767,0.8,1.8,2.6,1.5,0.6,0.1,1,2,5.2
1337,Dean Garrett,10-Jun,225lb,359,210,19.4,2,4.2,0.48,0,0,,2,4.2,0.48,0.48,0.8,1.2,0.677,1.7,3.4,5,0.6,0.5,1,0.6,1.9,4.8
1338,Diante Garrett,4-Jun,190lb,90,0,13.3,1.3,3.5,0.373,0.4,1.2,0.351,0.9,2.3,0.384,0.435,0.2,0.2,0.682,0.2,1.1,1.2,1.7,0.6,0.1,1,0.9,3.2
1339,Dick Garrett,3-Jun,185lb,339,,25.7,4.2,10,0.423,,,,4.2,10,0.423,0.423,1.8,2.1,0.863,0.4,0.6,3,2.5,0.3,0,,3,10.3
1340,Rowland Garrett,6-Jun,210lb,263,,11,2.1,4.8,0.441,,,,2.1,4.8,0.441,0.441,0.8,1,0.772,0.8,1.5,2.3,0.4,0.3,0.2,,1.3,5.1
1341,Tom Garrick,2-Jun,185lb,251,47,18.8,2.2,4.6,0.469,0,0.2,0.083,2.1,4.4,0.49,0.471,1.1,1.4,0.775,0.5,1.5,2,3.4,1.1,0.1,1.4,1.8,5.4
1342,John Garris,8-Jun,205lb,33,1,8.1,1.6,3.1,0.51,0,0,,1.6,3.1,0.51,0.51,0.8,1,0.794,1.1,1.3,2.3,0.3,0.2,0.2,0.3,1.2,4
1343,Kiwane Garris,2-Jun,183lb,31,0,8,0.8,2.4,0.32,0.2,0.5,0.333,0.6,1.9,0.317,0.353,0.6,0.8,0.76,0.1,0.5,0.6,1,0.2,0,0.5,0.7,2.3
1344,Pat Garrity,9-Jun,238lb,552,107,20,2.7,6.4,0.417,1.1,2.9,0.398,1.5,3.5,0.434,0.506,0.8,1,0.806,0.6,2,2.6,0.8,0.4,0.2,0.8,2.3,7.3
1345,Jim Garvin,7-Jun,200lb,6,,1.8,0.2,0.7,0.25,,,,0.2,0.7,0.25,0.25,0,0,,0.2,0.7,0.8,0,0,0,,0.2,0.3
1346,Marc Gasol,1-Jul,255lb,592,585,33.7,5.5,10.9,0.501,0.1,0.3,0.327,5.4,10.7,0.505,0.505,3.5,4.6,0.765,1.9,5.8,7.7,3.1,0.9,1.5,2,3,14.5
1347,Pau Gasol,Jul-00,250lb,1077,1064,35.1,6.9,13.6,0.51,0.1,0.3,0.313,6.8,13.3,0.514,0.513,4.1,5.5,0.754,2.7,6.8,9.5,3.3,0.5,1.7,2.3,2.2,18.1
1348,Frank Gates,Jun-00,160lb,64,,,1.8,6.3,0.281,,,,1.8,6.3,0.281,0.281,1,1.5,0.622,,,,1.4,,,,2.3,4.5
