ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,A.J. English,3-Jun,175lb,151,18,20.6,4.1,9.4,0.435,0.1,0.4,0.138,4,9,0.449,0.438,1.7,2.2,0.778,0.9,1.2,2.1,2.1,0.4,0.2,1.3,1.9,9.9
2,A.J. Guyton,1-Jun,180lb,80,14,15.6,2.1,5.5,0.377,0.9,2.4,0.378,1.2,3.1,0.377,0.46,0.5,0.6,0.822,0.3,0.7,1,1.8,0.3,0.2,0.8,0.7,5.5
3,A.J. Hammons,Jul-00,260lb,9,0,4.1,0.4,1.2,0.364,0.1,0.1,1,0.3,1.1,0.3,0.409,0.2,0.7,0.333,0.4,1.1,1.6,0.2,0,0.4,0,0.2,1.2
4,Aaron Gordon,9-Jun,220lb,148,60,22,3.1,6.8,0.453,0.5,1.7,0.29,2.6,5.1,0.508,0.49,1.3,2,0.661,1.5,3.7,5.3,1.4,0.7,0.6,0.9,1.9,8
5,Aaron Harrison,6-Jun,210lb,25,0,4.3,0.2,0.9,0.217,0.1,0.5,0.25,0.1,0.4,0.182,0.283,0.2,0.6,0.429,0.2,0.5,0.7,0.2,0.2,0,0.2,0.5,0.8
6,Aaron McKie,5-Jun,209lb,793,287,24.2,2.9,6.5,0.438,0.5,1.4,0.35,2.4,5.1,0.461,0.475,1.2,1.5,0.779,0.6,2.7,3.3,2.7,1.2,0.2,1.3,2,7.4
7,Aaron Williams,9-Jun,220lb,715,78,16.8,2.2,4.5,0.493,0,0,0.063,2.2,4.4,0.495,0.493,1.4,1.8,0.74,1.4,2.5,3.9,0.7,0.4,0.8,0.9,2.4,5.8
8,Aaron Williams,9-Jun,220lb,715,78,16.8,2.2,4.5,0.493,0,0,0.063,2.2,4.4,0.495,0.493,1.4,1.8,0.74,1.4,2.5,3.9,0.7,0.4,0.8,0.9,2.4,5.8
9,Aaron Williams,9-Jun,220lb,715,78,16.8,2.2,4.5,0.493,0,0,0.063,2.2,4.4,0.495,0.493,1.4,1.8,0.74,1.4,2.5,3.9,0.7,0.4,0.8,0.9,2.4,5.8
10,Acie Earl,10-Jun,240lb,193,18,13,1.9,4.6,0.403,0,0,0,1.9,4.6,0.407,0.403,1.3,2,0.667,1,1.7,2.7,0.3,0.3,0.7,0.9,1.8,5.1
11,Adam Keefe,9-Jun,230lb,617,98,16.7,1.8,3.6,0.502,0,0,0.071,1.8,3.6,0.505,0.502,1.4,2,0.714,1.6,2.5,4.1,0.7,0.5,0.3,0.9,1.8,5
12,Adonal Foyle,10-Jun,250lb,733,269,17.8,1.8,3.8,0.477,0,0,0,1.8,3.8,0.477,0.477,0.5,1,0.499,1.8,2.9,4.7,0.5,0.4,1.6,0.8,2.1,4.1
13,Adonis Jordan,11-May,170lb,10,0,9.7,0.8,2.7,0.296,0.3,1.2,0.25,0.5,1.5,0.333,0.352,0.2,0.4,0.5,0.3,0.3,0.6,2.2,0.3,0.1,0.8,0.6,2.1
14,Adonis Thomas,7-Jun,200lb,6,1,6.2,1,2.3,0.429,0.2,0.8,0.2,0.8,1.5,0.556,0.464,0.2,0.2,1,0,0.5,0.5,0.5,0,0,0.2,1,2.3
15,Adreian Payne,10-Jun,237lb,92,24,14.2,1.7,4.3,0.401,0.1,0.5,0.24,1.6,3.8,0.424,0.416,0.6,0.9,0.682,0.8,2.3,3.1,0.7,0.4,0.3,0.9,2,4.2
16,Adrian Griffin,5-Jun,217lb,477,179,16.8,1.6,3.8,0.438,0.1,0.4,0.278,1.5,3.4,0.455,0.452,0.6,0.8,0.763,1.1,2.1,3.2,1.4,0.9,0.1,0.7,1.8,4
17,Al-Farouq Aminu,9-Jun,220lb,470,264,23.4,2.6,6.2,0.427,0.5,1.6,0.315,2.1,4.5,0.468,0.469,1.2,1.7,0.722,1.4,4.1,5.5,1.2,1,0.6,1.3,1.9,7
