ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alaa Abdelnaby,10-Jun,240lb,256,53,12.5,2.4,4.8,0.502,0,0,0,2.4,4.8,0.503,0.502,0.9,1.3,0.701,1.1,2.2,3.3,0.3,0.3,0.3,1,1.9,5.7
2,Zaid Abdul-Aziz,9-Jun,235lb,505,,21.8,3.5,8.2,0.428,,,,3.5,8.2,0.428,0.428,2,2.8,0.728,2.4,5.4,8,1.2,0.6,1,0.9,2.2,9
3,Kareem Abdul-Jabbar,2-Jul,225lb,1560,625,36.8,10.2,18.1,0.559,0,0,0.056,10.2,18.1,0.56,0.559,4.3,6,0.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3,24.6
4,Mahmoud Abdul-Rauf,1-Jun,162lb,586,336,26.7,6,13.6,0.442,0.8,2.3,0.354,5.2,11.3,0.46,0.472,1.8,2,0.905,0.4,1.5,1.9,3.5,0.8,0.1,1.6,1.9,14.6
5,Tariq Abdul-Wahad,6-Jun,223lb,236,145,20.4,3.1,7.3,0.417,0.1,0.3,0.237,3,7,0.425,0.422,1.6,2.2,0.703,1.2,2.1,3.3,1.1,0.8,0.4,1.3,2.1,7.8
6,Shareef Abdur-Rahim,9-Jun,225lb,830,704,34.8,6.5,13.9,0.472,0.2,0.6,0.297,6.4,13.2,0.48,0.479,4.8,6,0.81,2.3,5.3,7.5,2.5,1,0.8,2.6,2.8,18.1
7,Tom Abernethy,7-Jun,220lb,319,,17,2.3,4.6,0.492,0,0,0,2.3,4.6,0.493,0.492,1,1.4,0.747,1.2,2,3.2,1.2,0.6,0.2,0.5,1.6,5.6
8,Forest Able,3-Jun,180lb,1,,1,0,2,0,,,,0,2,0,0,0,0,,,,1,1,,,,1,0
9,John Abramovic,3-Jun,195lb,56,,,3.6,15.3,0.237,,,,3.6,15.3,0.237,0.237,2.3,3.3,0.686,,,,0.7,,,,3.1,9.5
10,Alex Abrines,6-Jun,190lb,16,0,12.6,1.4,4.1,0.354,0.8,2.8,0.273,0.7,1.3,0.524,0.446,0.6,0.7,0.909,0.1,0.8,0.9,0.4,0.3,0.1,0.8,0.9,4.3
