ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
841,Mike D'Antoni,3-Jun,185lb,180,,14.8,1.5,3.5,0.414,0,0.1,0,1.5,3.5,0.416,0.414,0.5,0.6,0.735,0.3,1.1,1.5,2,1.2,0.2,0.9,2.1,3.4
842,Mike Dabich,Jul-00,242lb,10,,4.9,0.8,1.2,0.667,0,0,,0.8,1.2,0.667,0.667,0.4,0.9,0.444,,,1.3,0.2,,,0.5,1.2,2
843,Ed Dahler,5-Jun,190lb,14,,8,1,2.7,0.368,,,,1,2.7,0.368,0.368,0.5,0.5,1,,,1.6,0.4,,,,1.1,2.5
844,Quintin Dailey,3-Jun,180lb,528,140,23,5.6,12.2,0.454,0,0.3,0.158,5.5,12,0.461,0.456,3,3.8,0.779,0.8,1.7,2.5,2.3,0.9,0.1,1.9,2.3,14.1
845,Samuel Dalembert,11-Jun,255lb,886,694,24.4,3.2,6.1,0.521,0,0,0.083,3.2,6.1,0.522,0.521,1.3,1.9,0.706,2.6,5.3,7.8,0.5,0.5,1.7,1.4,2.9,7.7
846,Howie Dallmar,4-Jun,200lb,146,,,3.6,12.6,0.283,,,,3.6,12.6,0.283,0.283,2.5,3.6,0.698,,,,2.3,,,,2.6,9.6
847,Erick Dampier,11-Jun,265lb,987,771,24.3,2.8,5.7,0.498,0,0,0.125,2.8,5.7,0.499,0.498,1.8,2.8,0.626,2.8,4.3,7.1,0.8,0.3,1.4,1.5,2.9,7.4
848,Louie Dampier,Jun-00,170lb,960,,33.5,6.2,14,0.444,1.1,3,0.358,5.4,11.7,0.461,0.474,2.6,3.2,0.82,0.6,1.9,2.6,4.9,0.8,0.3,2.3,1.9,15.9
849,Bob Dandridge,6-Jun,195lb,839,0,35.2,7.7,15.9,0.484,0,0.2,0.167,7.7,15.9,0.484,0.484,3.1,4,0.78,1.7,4.4,6.8,3.4,1.3,0.6,2.7,3.5,18.5
850,Antonio Daniels,4-Jun,195lb,872,220,22.6,2.6,5.9,0.444,0.4,1.3,0.311,2.2,4.5,0.483,0.479,2,2.5,0.793,0.3,1.6,1.8,3.4,0.6,0.1,1.1,1.1,7.6
851,Erik Daniels,8-Jun,214lb,21,0,3.4,0.3,0.9,0.333,0,0.1,0.5,0.2,0.8,0.313,0.361,0,0,,0.3,0.5,0.9,0.2,0.1,0,0.3,0.3,0.6
852,Lloyd Daniels,7-Jun,205lb,200,29,17.7,2.8,6.9,0.403,0.8,2.4,0.316,2,4.5,0.45,0.458,0.8,1,0.743,0.9,1.3,2.2,1.6,0.5,0.3,1.1,1.5,7.1
853,Marquis Daniels,6-Jun,200lb,548,146,21.4,3.2,7.2,0.451,0.2,0.8,0.235,3,6.4,0.478,0.464,1.2,1.7,0.721,1,1.9,2.8,1.8,0.9,0.3,1.2,1.6,7.9
854,Mel Daniels,9-Jun,220lb,639,,35.2,7.3,15.6,0.468,0,0.1,0.088,7.3,15.6,0.469,0.468,3.8,5.8,0.657,4.5,10.4,14.9,1.8,0.6,1.5,3,3.6,18.4
855,Troy Daniels,4-Jun,205lb,108,3,11.3,1.9,4.6,0.417,1.3,3.1,0.416,0.6,1.5,0.419,0.556,0.3,0.4,0.763,0.2,0.9,1,0.6,0.2,0.1,0.5,0.9,5.4
856,Sasha Danilovic,5-Jun,200lb,75,60,31.1,4.4,10.1,0.439,1.6,4.2,0.379,2.8,5.9,0.482,0.518,2.3,3,0.789,0.5,1.9,2.4,2,0.9,0.2,2,2.8,12.8
