ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1065,Ledell Eackles,5-Jun,220lb,441,88,20.2,4.1,9.2,0.445,0.3,0.9,0.336,3.8,8.3,0.457,0.461,2.3,3,0.767,0.8,1.4,2.2,1.7,0.6,0.1,1.4,1.8,10.8
1066,Jim Eakins,11-Jun,215lb,767,,24.8,3.8,7.5,0.504,0,0,0,3.8,7.5,0.504,0.504,3.2,4.1,0.788,2.5,4.8,7.3,1.8,0.5,1,2,3,10.8
1067,Acie Earl,10-Jun,240lb,193,18,13,1.9,4.6,0.403,0,0,0,1.9,4.6,0.407,0.403,1.3,2,0.667,1,1.7,2.7,0.3,0.3,0.7,0.9,1.8,5.1
1068,Ed Earle,3-Jun,190lb,2,,6,0.5,1,0.5,,,,0.5,1,0.5,0.5,1,2,0.5,,,1,0,,,,0,2
1069,Cleanthony Early,8-Jun,210lb,56,9,14.3,1.6,4.5,0.346,0.5,1.8,0.263,1.1,2.8,0.4,0.398,0.7,0.9,0.75,0.5,1.7,2.2,0.8,0.5,0.3,0.9,1.3,4.3
1070,Penny Early,3-May,114lb,1,,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,,,,0,0
1071,Mark Eaton,4-Jul,275lb,875,815,28.8,2.4,5.2,0.458,0,0,0,2.4,5.2,0.458,0.458,1.2,1.9,0.649,2.1,5.8,7.9,1,0.4,3.5,1.5,3.4,6
1072,Jerry Eaves,4-Jun,180lb,168,8,16,2.5,5.3,0.472,0,0.1,0.071,2.5,5.2,0.478,0.472,1.8,2.3,0.773,0.4,0.9,1.2,2.5,0.5,0,1.5,1.3,6.7
1073,Devin Ebanks,9-Jun,215lb,63,15,11.3,1.3,3.4,0.385,0.1,0.6,0.222,1.2,2.8,0.418,0.404,0.8,1.1,0.722,0.8,1.1,1.9,0.4,0.3,0.2,0.6,0.9,3.6
1074,Bill Ebben,4-Jun,190lb,8,,6.3,0.8,3.5,0.214,,,,0.8,3.5,0.214,0.214,0.4,0.5,0.75,,,1,0.5,,,,0.6,1.9
1075,Al Eberhard,6-Jun,225lb,220,,18.8,2.6,5.9,0.433,,,,2.6,5.9,0.433,0.433,1.6,2,0.797,1.2,2.2,3.5,0.8,0.7,0.2,0.6,2.5,6.8
1076,Ndudi Ebi,9-Jun,200lb,19,0,4.5,0.9,1.8,0.486,0,0.1,0,0.9,1.8,0.5,0.486,0.3,0.7,0.462,0.4,0.6,1,0.2,0.1,0.3,0.3,0.7,2.1
1077,Roy Ebron,9-Jun,220lb,40,,13.2,2.6,5.3,0.488,0,0,0,2.6,5.3,0.49,0.488,1.1,2.1,0.512,2,2.4,4.4,0.5,0.4,0.8,0.9,1.7,6.2
1078,Jarell Eddie,7-Jun,218lb,26,0,5.7,0.8,2.5,0.308,0.6,1.8,0.319,0.2,0.7,0.278,0.423,0.3,0.3,1,0.1,0.8,0.9,0.2,0.2,0,0,0.2,2.4
1079,Patrick Eddie,11-Jun,240lb,4,0,3.3,0.5,2.3,0.222,0,0,,0.5,2.3,0.222,0.222,0,0,,0,0.3,0.3,0,0,0,0,0.8,1
1080,Dike Eddleman,3-Jun,189lb,267,,25.7,4.6,13.2,0.352,,,,4.6,13.2,0.352,0.352,2.8,4.4,0.63,,,4.5,2.1,,,,3.6,12.1
1081,Kenton Edelin,8-Jun,205lb,10,1,14.3,0.4,1.3,0.308,0,0,,0.4,1.3,0.308,0.308,0.3,0.8,0.375,0.8,1.8,2.6,1,0.5,0.4,0.3,3.9,1.1
1082,Charles Edge,6-Jun,210lb,155,,19.9,3.3,6.5,0.502,0,0,0,3.3,6.5,0.504,0.502,1.2,1.9,0.632,2.7,3.7,6.3,0.7,0.8,0.7,1.4,1.5,7.7
1083,Bobby Edmonds,6-Jun,220lb,75,,18,2.9,6.6,0.434,0,0.1,0.167,2.8,6.5,0.437,0.435,2,3.1,0.651,0.7,0.7,5,0.4,,,1.6,2.5,7.7
1084,Keith Edmonson,5-Jun,195lb,87,2,10.7,2.4,5.3,0.448,0,0,0,2.4,5.3,0.45,0.448,1.3,1.8,0.719,0.8,0.7,1.5,0.6,0.4,0.1,0.9,1.4,6
1085,Tyus Edney,10-May,152lb,226,87,21,2.6,6.4,0.405,0.3,0.9,0.322,2.3,5.5,0.419,0.428,2.2,2.7,0.806,0.5,1.2,1.7,4,1,0,1.7,1.7,7.6
1086,Bill Edwards,8-Jun,215lb,3,0,14.7,0.7,6,0.111,0,1.7,0,0.7,4.3,0.154,0.111,0.7,1.7,0.4,1.7,3,4.7,1.3,1,0.3,1.3,2,2
1087,Blue Edwards,4-Jun,200lb,704,452,26.1,4.3,9,0.475,0.4,1.3,0.335,3.9,7.7,0.498,0.499,1.8,2.3,0.779,1,2.4,3.4,2,1,0.4,1.7,2.7,10.8
1088,Corsley Edwards,9-Jun,275lb,10,0,11,1,3.1,0.323,0,0,,1,3.1,0.323,0.323,0.7,1.2,0.583,1.2,1.3,2.5,0.3,0.3,0.4,0.2,1.9,2.7
1089,Doug Edwards,7-Jun,220lb,85,0,9.9,0.8,2.2,0.378,0,0.1,0,0.8,2.1,0.39,0.378,0.7,1,0.709,0.7,1.1,1.8,0.7,0.2,0.3,0.7,1.1,2.4
1090,Franklin Edwards,1-Jun,170lb,296,36,15,2.5,5.6,0.449,0,0.1,0.03,2.5,5.4,0.457,0.449,1.1,1.4,0.795,0.3,0.8,1,2.6,0.8,0.1,1.3,1.2,6.1
1091,James Edwards,Jul-00,225lb,1168,467,24.3,5,10,0.495,0,0,0.048,5,10,0.496,0.495,2.8,4,0.698,1.5,3.6,5.1,1.3,0.4,0.7,1.7,3.5,12.7
