ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1164,Joe Fabel,1-Jun,190lb,30,,,0.8,3.2,0.26,,,,0.8,3.2,0.26,0.26,0.4,0.9,0.5,,,,0.1,,,,2.1,2.1
1165,John Fairchild,8-Jun,205lb,165,,13.8,2.5,6.2,0.404,0.1,0.3,0.368,2.4,6,0.405,0.41,1.5,2.2,0.681,0.8,1.2,3.2,0.7,,,1.4,1.8,6.6
1166,Phil Farbman,1-Jun,185lb,48,,,1,3.4,0.307,,,,1,3.4,0.307,0.307,1.1,1.7,0.679,,,,0.8,,,,1.8,3.2
1167,Kenneth Faried,8-Jun,228lb,370,345,26.3,4.9,9,0.541,0,0,0.125,4.9,8.9,0.543,0.542,2.3,3.6,0.651,3.2,5.4,8.7,1.1,0.8,0.9,1.5,2.6,12.1
1168,Dick Farley,4-Jun,190lb,211,,18.1,2.3,5.9,0.384,,,,2.3,5.9,0.384,0.384,2,2.8,0.7,,,2.5,1.8,,,,2,6.5
1169,Jordan Farmar,2-Jun,180lb,504,40,19.5,2.9,6.8,0.423,1.2,3.1,0.374,1.7,3.8,0.463,0.507,0.8,1,0.739,0.3,1.6,1.9,2.9,0.8,0.1,1.4,1.4,7.7
1170,Desmon Farmer,5-Jun,220lb,11,0,7.8,0.8,2.6,0.31,0.5,1.8,0.25,0.4,0.8,0.444,0.397,0.3,0.3,1,0,0.6,0.6,1,0.1,0,0.5,0.7,2.4
1171,Jim Farmer,4-Jun,190lb,136,1,10.7,2,4.7,0.428,0.2,0.6,0.282,1.9,4.2,0.448,0.445,1.1,1.4,0.73,0.6,0.8,1.4,0.8,0.3,0,0.9,1.2,5.3
1172,Mike Farmer,7-Jun,210lb,423,,20.8,2.8,7,0.393,,,,2.8,7,0.393,0.393,1.1,1.4,0.814,,,4.6,1.3,,,,2,6.7
1173,Tony Farmer,9-Jun,244lb,101,11,13.5,1.4,3.6,0.395,0.1,0.5,0.189,1.3,3.1,0.429,0.408,2.3,3,0.77,1.3,1.9,3.2,0.8,0.8,0.2,0.9,1.9,5.3
1174,Bob Faught,5-Jun,185lb,51,,,2.8,9.4,0.295,,,,2.8,9.4,0.295,0.295,1.2,2.1,0.575,,,,0.6,,,,1.9,6.7
1175,Vitor Faverani,11-Jun,260lb,37,8,13.2,1.7,4,0.435,0.3,1.1,0.3,1.4,2.9,0.486,0.476,0.6,1,0.649,1.1,2.3,3.5,0.4,0.4,0.7,1.1,2,4.4
1176,Derrick Favors,10-Jun,265lb,440,259,26,4.7,9.1,0.511,0,0,0.111,4.6,9.1,0.513,0.512,2.3,3.5,0.667,2.5,4.8,7.3,1,0.8,1.4,1.5,2.9,11.6
