id,name
1,"Alaa Abdelnaby"
3,"Kareem Abdul-Jabbar"
4,"Mahmoud Abdul-Rauf"
5,"Tariq Abdul-Wahad"
6,"Shareef Abdur-Rahim"
10,"Alex Abrines"
11,"Alex Acker"
13,"Mark Acres"
15,"Quincy Acy"
16,"Alvan Adams"
19,"Hassan Adams"
20,"Jordan Adams"
21,"Michael Adams"
22,"Steven Adams"
23,"Rafael Addison"
25,"Jeff Adrien"
26,"Arron Afflalo"
27,"Maurice Ager"
28,"Mark Aguirre"
29,"Blake Ahearn"
30,"Danny Ainge"
32,"Alexis Ajinca"
36,"Mark Alarie"
38,"Furkan Aldemir"
40,"LaMarcus Aldridge"
41,"Chuck Aleksinas"
43,"Cory Alexander"
44,"Courtney Alexander"
46,"Joe Alexander"
47,"Victor Alexander"
48,"Steve Alford"
51,"Jerome Allen"
52,"Lavoy Allen"
54,"Malik Allen"
55,"Randy Allen"
56,"Ray Allen"
57,"Tony Allen"
62,"Morris Almond"
63,"Derrick Alston"
64,"Rafer Alston"
66,"John Amaechi"
67,"Ashraf Amaya"
68,"Al-Farouq Aminu"
69,"Lou Amundson"
71,"Chris Andersen"
72,"David Andersen"
73,"Alan Anderson"
79,"Derek Anderson"
81,"Eric Anderson"
82,"Greg Anderson"
83,"J.J. Anderson"
84,"James Anderson"
86,"Justin Anderson"
87,"Kenny Anderson"
89,"Kyle Anderson"
90,"Michael Anderson"
91,"Nick Anderson"
92,"Richard Anderson"
93,"Ron Anderson"
94,"Ryan Anderson"
95,"Shandon Anderson"
96,"Willie Anderson"
101,"Chris Anstey"
102,"Giannis Antetokounmpo"
104,"Carmelo Anthony"
105,"Greg Anthony"
107,"Pero Antic"
108,"Keith Appling"
109,"Rafael Araujo"
112,"Tiny Archibald"
114,"Gilbert Arenas"
115,"Trevor Ariza"
118,"B.J. Armstrong"
120,"Brandon Armstrong"
122,"Darrell Armstrong"
123,"Hilton Armstrong"
128,"Carlos Arroyo"
129,"Darrell Arthur"
131,"Omer Asik"
132,"Vincent Askew"
133,"Keith Askins"
136,"Chucky Atkins"
139,"Stacey Augmon"
140,"D.J. Augustin"
142,"Isaac Austin"
145,"Anthony Avent"
147,"William Avery"
149,"Gustavo Ayon"
150,"Jeff Ayres"
151,"Kelenna Azubuike"
153,"Luke Babbitt"
158,"Dalibor Bagaric"
159,"John Bagley"
162,"James Bailey"
163,"Thurl Bailey"
164,"Toby Bailey"
165,"Cameron Bairstow"
170,"Ron Baker"
171,"Vin Baker"
172,"Wade Baldwin"
173,"Renaldo Balkman"
175,"Greg Ballard"
177,"Gene Banks"
178,"Marcus Banks"
180,"Ken Bannister"
181,"Mike Bantom"
183,"Leandro Barbosa"
184,"Steve Bardo"
185,"J.J. Barea"
186,"Andrea Bargnani"
189,"Charles Barkley"
190,"Erick Barkley"
192,"Harrison Barnes"
196,"Matt Barnes"
206,"Andre Barrett"
209,"Earl Barron"
210,"Dana Barros"
211,"Brent Barry"
212,"Drew Barry"
213,"Jon Barry"
217,"Will Barton"
218,"Eddie Basden"
220,"Brandon Bass"
222,"Maceo Baston"
223,"Mengke Bateer"
224,"Billy Ray Bates"
225,"Esteban Batista"
226,"Mike Batiste"
227,"Tony Battie"
228,"Shane Battier"
229,"John Battle"
230,"Kenny Battle"
231,"Dave Batton"
233,"Nicolas Batum"
236,"Lonny Baxter"
237,"Jerryd Bayless"
240,"Aron Baynes"
241,"Sergei Bazarevich"
242,"Kent Bazemore"
244,"Bradley Beal"
251,"Malik Beasley"
252,"Michael Beasley"
254,"Rodrigue Beaubois"
256,"Corey Beck"
261,"William Bedford"
265,"Marco Belinelli"
266,"Charlie Bell"
268,"Raja Bell"
269,"Troy Bell"
272,"DeAndre' Bembry"
275,"Dragan Bender"
276,"Jonathan Bender"
278,"Benoit Benjamin"
279,"Corey Benjamin"
280,"Anthony Bennett"
281,"Elmer Bennett"
282,"Mario Bennett"
283,"Mel Bennett"
285,"Tony Bennett"
286,"Winston Bennett"
287,"David Benoit"
289,"Kent Benson"
293,"Ricky Berry"
294,"Walter Berry"
295,"Davis Bertans"
297,"Travis Best"
298,"Patrick Beverley"
304,"Mike Bibby"
306,"Andris Biedrins"
310,"Chauncey Billups"
314,"Larry Bird"
315,"Otis Birdsong"
317,"Bismack Biyombo"
318,"Nemanja Bjelica"
322,"Tarik Black"
324,"Rolando Blackman"
325,"Alex Blackwell"
326,"Cory Blackwell"
328,"Nate Blackwell"
329,"DeJuan Blair"
330,"Steve Blake"
331,"Will Blalock"
333,"Lance Blanks"
335,"Andray Blatche"
336,"Mookie Blaylock"
337,"Eric Bledsoe"
341,"Corie Blount"
342,"Mark Blount"
343,"Vander Blue"
344,"Ray Blume"
349,"Keith Bogans"
350,"Bojan Bogdanovic"
351,"Muggsy Bogues"
352,"Andrew Bogut"
354,"Manute Bol"
356,"Joel Bolomboy"
360,"Walter Bond"
361,"Dexter Boney"
363,"Anthony Bonner"
364,"Matt Bonner"
366,"Devin Booker"
367,"Melvin Booker"
368,"Trevor Booker"
371,"Calvin Booth"
372,"Keith Booth"
374,"Carlos Boozer"
375,"Curtis Borchardt"
377,"Lazaro Borrell"
380,"Chris Bosh"
383,"Tom Boswell"
386,"Cal Bowdler"
387,"Bruce Bowen"
388,"Ryan Bowen"
390,"Anthony Bowie"
391,"Sam Bowie"
393,"Ira Bowman"
395,"Donnie Boyce"
399,"Earl Boykins"
402,"Cedric Bozeman"
404,"Craig Brackins"
406,"Alex Bradley"
408,"Avery Bradley"
411,"Charles Bradley"
412,"Dudley Bradley"
415,"Michael Bradley"
416,"Shawn Bradley"
421,"Adrian Branch"
422,"Elton Brand"
423,"Terrell Brandon"
425,"Brad Branson"
428,"Mike Bratz"
430,"Tim Breaux"
431,"J.R. Bremer"
434,"Randy Breuer"
435,"Corey Brewer"
436,"Jamison Brewer"
437,"Jim Brewer"
438,"Ron Brewer"
439,"Ronnie Brewer"
440,"Primoz Brezec"
442,"Frank Brickowski"
443,"Junior Bridgeman"
448,"Allan Bristow"
453,"Jon Brockman"
454,"Jim Brogan"
455,"Malcolm Brogdon"
459,"Aaron Brooks"
460,"Kevin Brooks"
461,"MarShon Brooks"
462,"Michael Brooks"
463,"Scott Brooks"
464,"Andre Brown"
465,"Anthony Brown"
467,"Bobby Brown"
468,"Chucky Brown"
469,"Damone Brown"
471,"Dee Brown"
472,"Dee Brown"
473,"Derrick Brown"
474,"Devin Brown"
476,"Fred Brown"
478,"Gerald Brown"
480,"Jabari Brown"
481,"Jaylen Brown"
483,"Kedrick Brown"
484,"Kwame Brown"
488,"Lorenzo Brown"
489,"Marcus Brown"
490,"Markel Brown"
491,"Mike Brown"
493,"P.J. Brown"
494,"Randy Brown"
496,"Rickey Brown"
499,"Shannon Brown"
501,"Tierre Brown"
502,"Tony Brown"
507,"Rick Brunson"
508,"Nicolas Brussino"
510,"Joe Bryant"
511,"Kobe Bryant"
512,"Mark Bryant"
517,"Steve Bucknall"
519,"Greg Buckner"
520,"Quinn Buckner"
522,"Chase Budinger"
524,"Jud Buechler"
525,"Rodney Buford"
526,"Matt Bullard"
527,"Reggie Bullock"
534,"Pat Burke"
535,"Trey Burke"
536,"Roger Burkman"
537,"Alec Burks"
538,"Antonio Burks"
539,"Kevin Burleson"
545,"Scott Burrell"
550,"Willie Burton"
551,"Steve Burtt"
552,"Don Buse"
556,"Caron Butler"
557,"Greg Butler"
559,"Jimmy Butler"
561,"Mitchell Butler"
562,"Rasual Butler"
563,"Dwight Buycks"
564,"Derrick Byars"
565,"Andrew Bynum"
566,"Will Bynum"
568,"Marty Byrnes"
571,"Zarko Cabarkapa"
574,"Jason Caffey"
575,"Michael Cage"
577,"Nick Calathes"
578,"Jose Calderon"
579,"Adrian Caldwell"
582,"Kentavious Caldwell-Pope"
585,"Demetrius Calip"
587,"Rick Calloway"
590,"Dexter Cambridge"
591,"Marcus Camby"
592,"Elden Campbell"
593,"Tony Campbell"
594,"Isaiah Canaan"
596,"Clint Capela"
599,"Brian Cardinal"
603,"Rick Carlisle"
608,"Rodney Carney"
610,"Antoine Carr"
612,"Chris Carr"
613,"Cory Carr"
614,"Kenny Carr"
615,"M.L. Carr"
618,"DeMarre Carroll"
619,"Joe Barry Carroll"
620,"Matt Carroll"
622,"Anthony Carter"
623,"Butch Carter"
626,"Howard Carter"
628,"Maurice Carter"
629,"Reggie Carter"
631,"Vince Carter"
632,"Michael Carter-Williams"
633,"Bill Cartwright"
637,"Sam Cassell"
638,"Omri Casspi"
639,"Harvey Catchings"
640,"Terry Catledge"
642,"Kelvin Cato"
643,"Bobby Cattage"
644,"Willie Cauley-Stein"
645,"Duane Causwell"
647,"Cedric Ceballos"
648,"John Celestand"
650,"Lionel Chalmers"
651,"Mario Chalmers"
655,"Tom Chambers"
657,"Tyson Chandler"
658,"Wilson Chandler"
659,"Don Chaney"
661,"Rex Chapman"
666,"Calbert Cheaney"
667,"Maurice Cheeks"
669,"Will Cherry"
670,"Derrick Chievous"
671,"Pete Chilcutt"
672,"Josh Childress"
673,"Randolph Childress"
674,"Chris Childs"
676,"Jim Chones"
677,"Marquese Chriss"
681,"Doug Christie"
682,"Dionte Christmas"
684,"Semaj Christon"
689,"Carlos Clark"
690,"Earl Clark"
691,"Ian Clark"
692,"Keon Clark"
695,"Jordan Clarkson"
696,"Victor Claver"
699,"Speedy Claxton"
701,"Mateen Cleaves"
705,"Keith Closs"
709,"Richard Coffey"
710,"Fred Cofield"
712,"Norris Cole"
713,"Ben Coleman"
714,"Derrick Coleman"
717,"Norris Coleman"
718,"Bimbo Coles"
719,"Jason Collier"
721,"Don Collins"
723,"James Collins"
724,"Jarron Collins"
725,"Jason Collins"
727,"Mardy Collins"
728,"Sherron Collins"
729,"Darren Collison"
730,"Nick Collison"
732,"Sean Colson"
733,"Steve Colter"
735,"Leroy Combs"
737,"Dallas Comegys"
742,"Mike Conley"
744,"Marty Conlon"
745,"Pat Connaughton"
747,"Lester Conner"
749,"Will Conroy"
750,"Anthony Cook"
753,"Brian Cook"
754,"Daequan Cook"
755,"Darwin Cook"
756,"Jeff Cook"
758,"Omar Cook"
763,"Duane Cooper"
765,"Michael Cooper"
766,"Wayne Cooper"
768,"Chris Copeland"
769,"Hollis Copeland"
770,"Lanard Copeland"
771,"Tyrone Corbin"
772,"Chris Corchiani"
775,"Dave Corzine"
777,"Bryce Cotton"
779,"James Cotton"
783,"Joe Courtney"
785,"DeMarcus Cousins"
787,"Robert Covington"
788,"Dave Cowens"
789,"Chubby Cox"
792,"Allen Crabbe"
793,"Chris Crawford"
795,"Jamal Crawford"
796,"Joe Crawford"
797,"Jordan Crawford"
801,"Joe Crispin"
802,"Charlie Criss"
805,"Javaris Crittenton"
810,"Austin Croshere"
815,"John Crotty"
818,"Corey Crowder"
819,"Jae Crowder"
821,"Pat Cummings"
822,"Terry Cummings"
823,"Vonteego Cummings"
825,"Dante Cunningham"
827,"Jared Cunningham"
831,"Earl Cureton"
832,"Bill Curley"
834,"Dell Curry"
835,"Eddy Curry"
837,"Michael Curry"
838,"Seth Curry"
839,"Stephen Curry"
840,"Rastko Cvetkovic"
844,"Quintin Dailey"
845,"Samuel Dalembert"
847,"Erick Dampier"
849,"Bob Dandridge"
850,"Antonio Daniels"
852,"Lloyd Daniels"
853,"Marquis Daniels"
855,"Troy Daniels"
856,"Sasha Danilovic"
857,"Adrian Dantley"
865,"Gigi Datome"
866,"Brad Daugherty"
868,"Kornel David"
871,"Brandon Davies"
872,"Anthony Davis"
873,"Antonio Davis"
875,"Baron Davis"
879,"Brad Davis"
880,"Brian Davis"
881,"Charles Davis"
883,"Dale Davis"
886,"Ed Davis"
887,"Emanual Davis"
888,"Glen Davis"
890,"Hubert Davis"
892,"Johnny Davis"
893,"Josh Davis"
895,"Mark Davis"
896,"Mark Davis"
902,"Paul Davis"
905,"Ricky Davis"
906,"Ron Davis"
907,"Terry Davis"
909,"Walter Davis"
913,"Darryl Dawkins"
914,"Johnny Dawkins"
919,"Tony Dawson"
920,"Todd Day"
921,"Austin Daye"
922,"Darren Daye"
923,"Nando De Colo"
927,"Andrew DeClercq"
928,"Dewayne Dedmon"
931,"Terry Dehere"
933,"Bryce Dejean-Jones"
934,"Sam Dekker"
935,"Vinny Del Negro"
936,"Malcolm Delaney"
937,"Bison Dele"
938,"Carlos Delfino"
939,"Tony Delk"
940,"Matthew Dellavedova"
942,"Fennis Dembo"
943,"Larry Demic"
944,"Dell Demps"
946,"Luol Deng"
947,"Kenny Dennard"
949,"Justin Dentmon"
