ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2924,Charles O'Bannon,5-Jun,209lb,48,1,8.3,1,2.6,0.4,0,0.1,0,1,2.5,0.413,0.4,0.4,0.5,0.87,0.7,0.7,1.4,0.6,0.2,0.1,0.4,0.8,2.5
2925,Ed O'Bannon,8-Jun,222lb,128,34,16.1,1.9,5.3,0.367,0.2,1,0.222,1.7,4.3,0.4,0.387,0.8,1.1,0.755,0.9,1.6,2.5,0.8,0.6,0.2,0.6,1.5,5
2926,John O'Boyle,2-Jun,185lb,5,,19.4,1.6,5.2,0.308,,,,1.6,5.2,0.308,0.308,1,1.4,0.714,,,2,1,,,,4,4.2
2927,Bob O'Brien,4-Jun,190lb,46,,,0.6,2.8,0.206,,,,0.6,2.8,0.206,0.206,0.6,1.3,0.466,,,,0.2,,,,1.6,1.8
2928,J.J. O'Brien,7-Jun,228lb,2,0,3,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0.5,0.5,0,0.5,0,0,0.5,0
2929,Jim O'Brien,7-Jun,200lb,58,,11.5,1.8,4.1,0.429,0.1,0.5,0.2,1.7,3.6,0.462,0.442,1,1.3,0.747,1,1.4,2.4,1.5,0.7,0.4,1.4,1.1,4.6
2930,Jimmy O'Brien,1-Jun,170lb,303,,20.3,2.4,5.9,0.402,0.1,0.3,0.176,2.3,5.6,0.416,0.407,1.1,1.3,0.83,0.6,1.4,2,4.1,1,0,1.8,1.7,5.9
2931,Ralph O'Brien,9-May,160lb,119,,19.6,2.7,7.6,0.36,,,,2.7,7.6,0.36,0.36,1.7,2,0.83,,,1.6,1.5,,,,1.6,7.1
2932,Johnny O'Bryant,9-Jun,257lb,100,19,12.3,1.3,3.3,0.395,0,0,1,1.3,3.3,0.393,0.397,0.4,0.7,0.582,0.9,1.5,2.4,0.5,0.2,0.1,0.6,1.4,3
2933,Patrick O'Bryant,Jul-00,260lb,90,3,5.8,0.9,1.8,0.494,0,0,0,0.9,1.7,0.503,0.494,0.3,0.5,0.583,0.4,1.1,1.4,0.3,0.2,0.4,0.5,1.4,2.1
2934,Dermie O'Connell,Jun-00,174lb,82,,,2.4,9,0.268,,,,2.4,9,0.268,0.268,0.9,1.8,0.531,,,,1.9,,,,1.6,5.8
2935,Andy O'Donnell,1-Jun,180lb,25,,,1.5,4.3,0.352,,,,1.5,4.3,0.352,0.352,0.6,0.7,0.778,,,,0.7,,,,1.3,3.6
2936,Buddy O'Grady,11-May,160lb,146,,,1.4,5.3,0.265,,,,1.4,5.3,0.265,0.265,0.8,1.2,0.691,,,,0.7,,,,1.2,3.7
2937,Francis O'Hanlon,1-Jun,175lb,14,,7.2,0.6,1.6,0.364,0,0.1,0,0.6,1.5,0.381,0.364,0.4,0.6,0.667,0.1,0.1,0.3,0.9,,,1.6,1.3,1.6
2938,Dick O'Keefe,2-Jun,185lb,172,,,1.8,6.8,0.272,,,,1.8,6.8,0.272,0.272,1.5,2.3,0.64,,,2.2,0.9,,,,2.9,5.2
2939,Tommy O'Keefe,2-Jun,185lb,6,,,1.7,4.7,0.357,,,,1.7,4.7,0.357,0.357,0.5,0.7,0.75,,,1.2,1.7,,,,0.8,3.8
2940,Mike O'Koren,7-Jun,207lb,407,111,21.6,3.6,7.3,0.49,0.1,0.3,0.271,3.5,7,0.499,0.495,1,1.6,0.651,1.2,2.2,3.4,2.1,0.8,0.2,1.3,2.2,8.2
2941,Grady O'Malley,5-Jun,205lb,24,,4.7,0.9,2.5,0.35,,,,0.9,2.5,0.35,0.35,0.3,0.8,0.421,,,1.1,0.4,,,,0.5,2.1
2942,Jermaine O'Neal,11-Jun,226lb,1011,697,27.1,5.1,10.9,0.467,0,0.1,0.147,5.1,10.8,0.469,0.467,3,4.2,0.715,2,5.2,7.2,1.4,0.5,1.8,1.9,2.9,13.2
2943,Shaquille O'Neal,1-Jul,325lb,1207,1197,34.7,9.4,16.1,0.582,0,0,0.045,9.4,16.1,0.583,0.582,4.9,9.3,0.527,3.5,7.4,10.9,2.5,0.6,2.3,2.7,3.4,23.7
2944,Mike O'Neill,3-Jun,210lb,4,,12.5,1,4.3,0.235,,,,1,4.3,0.235,0.235,1,1,1,,,2.3,0.8,,,,2.5,3
2945,Kyle O'Quinn,10-Jun,250lb,265,46,14.2,2.2,4.5,0.502,0.1,0.3,0.236,2.2,4.2,0.519,0.509,0.7,1,0.721,1.3,3,4.3,1.1,0.4,0.9,1,2,5.3
2946,Kevin O'Shea,2-Jun,175lb,174,,21.3,1.8,5.3,0.337,,,,1.8,5.3,0.337,0.337,1.7,2.4,0.68,,,2.3,2.1,,,,2,5.2
2947,Garland O'Shields,1-Jun,195lb,9,,,0.2,1.2,0.182,,,,0.2,1.2,0.182,0.182,0,0.2,0,,,,0.1,,,,0.9,0.4
2948,Dan O'Sullivan,10-Jun,250lb,45,2,6.6,0.6,1.5,0.397,0,0,0,0.6,1.5,0.403,0.397,0.6,0.8,0.743,0.5,1,1.4,0.2,0.1,0.1,0.3,1,1.8
2949,Charles Oakley,8-Jun,225lb,1282,1159,31.4,3.8,8,0.471,0.1,0.2,0.253,3.7,7.8,0.477,0.474,2.1,2.7,0.761,3.1,6.5,9.5,2.5,1.1,0.3,2.2,3.4,9.7
2950,Fabricio Oberto,10-Jun,245lb,336,128,14.5,1.4,2.5,0.576,0,0,0,1.4,2.5,0.579,0.576,0.4,0.6,0.617,1.3,2.2,3.5,0.9,0.3,0.2,0.7,2.2,3.2
2951,Daniel Ochefu,11-Jun,245lb,3,0,2.7,0.3,1,0.333,0,0,,0.3,1,0.333,0.333,0,0,,0,1,1,0,0,0,0.3,0.7,0.7
2952,Greg Oden,Jul-00,250lb,105,66,19.3,3,5.3,0.574,0,0,,3,5.3,0.574,0.574,2,3,0.658,2.4,3.8,6.2,0.5,0.4,1.2,1.3,3.6,8
2953,Lamar Odom,10-Jun,220lb,961,684,33.4,5,10.8,0.463,0.7,2.2,0.312,4.3,8.6,0.502,0.495,2.6,3.7,0.693,1.9,6.5,8.4,3.7,0.9,0.9,2.3,3,13.3
2954,Bud Ogden,6-Jun,215lb,74,,6.6,1.4,3.2,0.445,,,,1.4,3.2,0.445,0.445,0.6,0.9,0.692,,,1.4,0.6,,,,1.1,3.5
2955,Ralph Ogden,5-Jun,205lb,32,,5.1,0.5,2.2,0.239,,,,0.5,2.2,0.239,0.239,0.3,0.4,0.667,,,1,0.3,,,,0.5,1.3
2956,Alan Ogg,2-Jul,240lb,80,1,8.2,0.9,1.9,0.493,0,0,0,0.9,1.9,0.5,0.493,0.3,0.6,0.568,0.6,1.1,1.7,0.2,0.2,0.7,0.4,1.7,2.2
2957,Don Ohl,3-Jun,190lb,727,,30.8,6.4,14.9,0.434,,,,6.4,14.9,0.434,0.434,3,4.1,0.732,,,3,3.1,,,,2.8,15.9
2958,Tim Ohlbrecht,11-Jun,255lb,3,0,4,0.3,1,0.333,0,0,,0.3,1,0.333,0.333,0.3,0.3,1,0,0.3,0.3,0.3,0.3,0,1.3,0.3,1
2959,Emeka Okafor,10-Jun,252lb,590,584,31.7,5,9.8,0.512,0,0,0,5,9.8,0.512,0.512,2.3,3.9,0.584,3.2,6.7,9.9,0.9,0.7,1.7,1.6,2.8,12.3
2960,Jahlil Okafor,11-Jun,275lb,72,54,27.9,6.8,13.4,0.51,0,0.1,0.167,6.8,13.3,0.513,0.511,2.2,3.3,0.656,2.1,4.3,6.3,1.2,0.4,1.2,2.1,2.6,15.8
