ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4132,Zan Tabak,Jul-00,245lb,247,70,14.6,2.2,4.3,0.506,0,0,0,2.2,4.3,0.507,0.506,0.6,1.2,0.525,1.3,2.3,3.6,0.7,0.3,0.5,1.1,2.3,5
4133,Yuta Tabuse,9-May,165lb,4,0,4.3,0.3,1.5,0.167,0.3,0.3,1,0,1.3,0,0.25,1,1,1,0.5,0.5,1,0.8,0,0,0.3,0.3,1.8
4134,Chris Taft,10-Jun,260lb,17,0,8.5,1.4,2.2,0.605,0,0,,1.4,2.2,0.605,0.605,0.1,0.4,0.167,1.1,1,2.1,0.1,0.1,0.4,0.1,1.5,2.8
4135,Sid Tanenbaum,Jun-00,160lb,70,,,3.4,12.3,0.274,,,,3.4,12.3,0.274,0.274,2.3,2.8,0.83,,,,2.3,,,,1.5,9
4136,Dragan Tarlac,10-Jun,260lb,43,12,13.9,0.9,2.3,0.394,0,0,,0.9,2.3,0.394,0.394,0.6,0.8,0.758,0.9,2,2.8,0.7,0.2,0.4,0.9,2.2,2.4
4137,Roy Tarpley,11-Jun,230lb,280,57,26.7,5.2,10.8,0.483,0,0.1,0.176,5.2,10.6,0.487,0.484,2.2,2.9,0.744,3.4,6.6,10,1,1.1,1.2,2,3.4,12.6
4138,Levern Tart,2-Jun,195lb,274,,33.8,7.4,16.6,0.445,0.1,0.3,0.253,7.3,16.2,0.449,0.447,4.6,5.8,0.784,2.3,2.6,5,3,,,3.1,2.9,19.4
4139,Earl Tatum,5-Jun,185lb,262,,20,4.2,9.2,0.459,0.1,0.2,0.333,4.2,9.2,0.46,0.46,1.1,1.5,0.746,0.8,1.8,2.6,1.9,1.2,0.4,1.5,2.4,9.6
4140,Walter Tavares,3-Jul,260lb,12,0,6.4,1,1.7,0.6,0,0,,1,1.7,0.6,0.6,0.3,0.8,0.3,0.6,1.3,1.8,0.3,0.1,0.5,0.4,0.7,2.3
4141,Anthony Taylor,4-Jun,175lb,21,7,17.5,2.9,7.2,0.397,0,0.1,0,2.9,7.1,0.403,0.397,1.1,1.5,0.75,0.5,1.1,1.6,2,1,0.2,1,1.8,6.9
4142,Brian Taylor,2-Jun,185lb,601,40,31.9,5.3,10.8,0.493,0.4,1.3,0.356,5,9.8,0.507,0.51,2.1,2.7,0.78,1,1.7,2.7,4.1,2.1,0.3,2,2.8,13.1
4143,Donell Taylor,6-Jun,180lb,98,2,8.5,1.1,2.8,0.395,0.1,0.3,0.206,1,2.5,0.421,0.408,0.4,0.7,0.641,0.3,0.8,1.1,0.9,0.5,0.1,0.6,0.8,2.7
4144,Fatty Taylor,Jun-00,175lb,640,,27.7,3.1,7,0.438,0.1,0.3,0.206,3,6.8,0.446,0.441,1.8,2.6,0.676,1.6,2.4,3.9,4,2.4,0.2,2.7,3.1,8
4145,Fred Taylor,5-Jun,180lb,88,,9.5,1.7,4.6,0.364,,,,1.7,4.6,0.364,0.364,1.1,1.8,0.592,,,1.6,0.8,,,,1.7,4.4
4146,Jay Taylor,3-Jun,190lb,17,0,6.7,1.2,3.1,0.404,0.2,0.8,0.231,1.1,2.3,0.462,0.433,0.4,0.5,0.667,0.3,0.4,0.6,0.3,0.3,0.2,0.6,0.5,3
4147,Jeff Taylor,4-Jun,175lb,56,5,14.6,1.3,3,0.412,0,0,0,1.3,3,0.414,0.412,0.7,1,0.696,0.5,1,1.5,2,0.8,0.3,1.2,1.5,3.2
4148,Jeff Taylor,7-Jun,225lb,132,50,19.4,2.3,5.5,0.409,0.6,1.9,0.319,1.6,3.6,0.458,0.465,1,1.4,0.665,0.6,1.4,2,0.8,0.5,0.2,0.7,1.8,6.1
4149,Jermaine Taylor,4-Jun,210lb,65,12,12.1,2.1,4.8,0.441,0.3,1,0.284,1.8,3.8,0.484,0.471,0.8,1.1,0.73,0.7,0.9,1.7,0.7,0.4,0.1,1,0.8,5.4
4150,Johnny Taylor,9-Jun,220lb,54,9,16,1.9,4.6,0.402,0.5,1.3,0.394,1.3,3.3,0.404,0.458,0.5,0.7,0.718,0.7,1.6,2.2,0.5,0.6,0.4,0.8,2.3,4.7
4151,Leonard Taylor,8-Jun,220lb,10,0,3.7,0,0.6,0,0,0.1,0,0,0.5,0,0,1.1,1.6,0.688,0.4,0.8,1.2,0.1,0,0,0.5,0.4,1.1
