ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4314,Stephen Vacendak,1-Jun,185lb,83,,22.1,3.8,9.8,0.39,0,0.1,0.2,3.8,9.6,0.393,0.391,2.3,3,0.754,1.3,1.7,2.9,2.3,,,1.9,2.3,9.9
4315,Jonas Valanciunas,Jul-00,265lb,304,298,26.3,4.4,8,0.554,0,0,0,4.4,8,0.554,0.554,2.5,3.3,0.778,2.7,5.6,8.3,0.7,0.4,1.1,1.5,2.9,11.4
4316,Darnell Valentine,1-Jun,183lb,620,345,23.2,3.2,7.4,0.437,0.1,0.3,0.261,3.1,7.1,0.443,0.442,2.2,2.8,0.787,0.6,1.6,2.1,5,1.5,0.1,2,2.2,8.7
4317,Denzel Valentine,6-Jun,212lb,16,0,10.8,0.8,2.9,0.277,0.6,2.1,0.273,0.3,0.9,0.286,0.372,0.1,0.1,0.5,0.1,1.4,1.5,0.4,0.3,0.1,0.3,1.2,2.3
4318,Ronnie Valentine,7-Jun,210lb,24,,5.1,1.5,4.1,0.378,0,0.1,0.5,1.5,4,0.375,0.383,0.4,0.8,0.474,0.4,0.8,1.3,0.3,0.3,0.2,0.7,1,3.5
4319,John Vallely,3-Jun,185lb,100,,8,1.4,3.8,0.379,,,,1.4,3.8,0.379,0.379,0.8,1,0.721,,,0.7,0.8,,,,1,3.6
4320,Dick Van Arsdale,5-Jun,210lb,921,,34.5,5.9,12.7,0.464,,,,5.9,12.7,0.464,0.464,4.6,5.8,0.79,0.7,1.7,4.1,3.3,0.9,0.2,,2.8,16.4
4321,Tom Van Arsdale,5-Jun,202lb,929,,30.9,5.9,13.7,0.431,,,,5.9,13.7,0.431,0.431,3.5,4.5,0.762,0.8,2.5,4.2,2.2,0.7,0.1,,3.1,15.3
4322,Butch Van Breda Kolff,3-Jun,185lb,175,,,1.4,4.5,0.305,,,,1.4,4.5,0.305,0.305,2,2.9,0.669,,,,1.5,,,,2,4.7
4323,Jan Van Breda Kolff,7-Jun,195lb,598,0,23,2.2,4.9,0.444,0,0.1,0.282,2.2,4.9,0.446,0.445,1.8,2.2,0.821,1.3,3,4.3,2,0.8,0.8,1.5,2.6,6.2
4324,Nick Van Exel,1-Jun,170lb,880,670,32.9,5.3,13,0.405,1.7,4.9,0.357,3.5,8.2,0.433,0.471,2.1,2.7,0.794,0.4,2.5,2.9,6.6,0.8,0.1,2.1,1.6,14.4
4325,Keith Van Horn,10-Jun,220lb,575,463,31.6,5.9,13.3,0.443,1,2.9,0.361,4.9,10.4,0.466,0.482,3.2,3.8,0.835,2,4.8,6.8,1.6,0.8,0.5,2.2,3,16
4326,Norm Van Lier,1-Jun,173lb,746,,35.1,4.4,10.7,0.414,,,,4.4,10.7,0.414,0.414,2.9,3.7,0.78,1.3,3,4.8,7,1.8,0.2,2.1,3.6,11.8
4327,Dennis Van Zant,9-Jun,210lb,1,,2,0,0,,0,0,,0,0,,,2,2,1,0,1,1,0,0,0,0,1,2
4328,Gene Vance,3-Jun,195lb,175,,16.9,3.1,9.9,0.315,,,,3.1,9.9,0.315,0.315,2,2.9,0.687,,,3,2.3,,,,3.8,8.3
4329,Logan Vander Velden,8-Jun,215lb,15,0,2.1,0.2,0.9,0.214,0,0.3,0,0.2,0.6,0.333,0.214,0.2,0.3,0.75,0.1,0.3,0.4,0.1,0,0,0,0.3,0.6
4330,Ernie Vandeweghe,3-Jun,195lb,224,,26.1,3.7,8.7,0.421,,,,3.7,8.7,0.421,0.421,2.2,3,0.74,,,4.6,2.4,,,,3.4,9.5
4331,Kiki Vandeweghe,8-Jun,220lb,810,548,30.3,7.6,14.4,0.525,0.3,0.7,0.368,7.3,13.7,0.533,0.534,4.3,4.9,0.872,1.1,2.3,3.4,2.1,0.6,0.3,1.6,1.9,19.7
4332,Nick Vanos,1-Jul,255lb,68,14,12.4,1.3,3.4,0.383,0,0,0,1.3,3.4,0.386,0.383,0.7,1.2,0.561,1.3,2.2,3.5,0.9,0.3,0.4,1,1.9,3.3
4333,David Vanterpool,5-Jun,200lb,22,0,18.7,2.1,5,0.418,0,0.3,0,2.1,4.7,0.442,0.418,1.4,2.3,0.6,0.7,1,1.7,3,1,0.1,1.7,2,5.5
4334,Fred VanVleet,Jun-00,195lb,5,0,2.6,0.6,1,0.6,0.2,0.4,0.5,0.4,0.6,0.667,0.7,0,0,,0,0.2,0.2,0.4,0.4,0,0.2,0.2,1.4
4335,Ratko Varda,1-Jul,260lb,1,0,6,2,3,0.667,0,0,,2,3,0.667,0.667,1,1,1,0,1,1,0,0,0,1,3,5
4336,Anderson Varejao,10-Jun,273lb,619,208,24.2,2.9,5.7,0.511,0,0.1,0.024,2.9,5.6,0.517,0.511,1.5,2.4,0.631,2.4,4.8,7.3,1.2,0.9,0.7,0.9,2.6,7.4
4337,Jarvis Varnado,9-Jun,230lb,37,0,10.7,1.1,1.8,0.582,0,0,,1.1,1.8,0.582,0.582,0.8,1.5,0.518,0.6,1.4,1.9,0.4,0.3,0.8,0.4,1.9,2.9
4338,Greivis Vasquez,6-Jun,217lb,401,157,23.7,3.4,8.2,0.418,1,2.9,0.349,2.4,5.3,0.456,0.48,1.1,1.3,0.817,0.3,2.2,2.5,4.8,0.6,0.1,1.9,1.9,9
4339,Chico Vaughn,2-Jun,190lb,491,,25.7,4.4,11.1,0.392,1.9,6.2,0.301,3.7,9,0.412,0.42,2.5,3.4,0.738,0.7,1.5,2.5,2.1,,,2.1,2.3,11.9
4340,David Vaughn,11-Jun,220lb,93,,27.9,4.7,11.1,0.421,0,0,0,4.7,11.1,0.422,0.421,1.4,2.5,0.549,3.1,6.8,9.8,1.5,0.8,1.4,2.2,3.1,10.7
4341,David Vaughn,9-Jun,240lb,118,8,9.8,1.2,2.7,0.423,0,0,0,1.2,2.7,0.425,0.423,0.6,0.9,0.638,1.1,1.9,3.1,0.3,0.3,0.4,0.8,1.8,2.9
4342,Jacque Vaughn,1-Jun,190lb,776,123,16.3,1.7,3.9,0.429,0.1,0.3,0.352,1.6,3.6,0.437,0.445,1,1.3,0.779,0.2,1.1,1.3,2.5,0.5,0,1,1.6,4.5
4343,Rashad Vaughn,6-Jun,202lb,81,6,14.1,1.3,4,0.319,0.7,2.2,0.304,0.6,1.7,0.338,0.405,0.1,0.2,0.8,0.1,1.1,1.2,0.5,0.4,0.2,0.4,1,3.3
4344,Virgil Vaughn,4-Jun,205lb,17,,,0.9,4.6,0.192,,,,0.9,4.6,0.192,0.192,0.9,1.6,0.536,,,,0.6,,,,1.1,2.6
4345,Loy Vaught,9-Jun,230lb,689,354,24.7,4.4,8.8,0.504,0,0.1,0.244,4.4,8.7,0.508,0.506,1.2,1.7,0.718,2.2,4.9,7.1,0.9,0.7,0.3,1.2,2.4,10.1
4346,Bob Verga,1-Jun,190lb,342,,31.4,7.6,17.4,0.438,0.4,1.3,0.296,7.3,16.2,0.449,0.449,4.6,6.1,0.749,1.9,2,3.9,2.9,0.6,0,3.1,2.9,20.2
4347,Pete Verhoeven,9-Jun,215lb,282,27,11.4,1.5,3,0.505,0,0,0.25,1.5,3,0.506,0.505,0.5,0.7,0.689,1,1.3,2.3,0.5,0.5,0.2,0.6,2.2,3.5
4348,Jan Vesely,11-Jun,240lb,162,25,15.2,1.6,3.1,0.521,0,0,0,1.6,3.1,0.523,0.521,0.4,1,0.408,1.4,2.1,3.5,0.6,0.7,0.5,0.8,2.4,3.6
4349,Gundars Vetra,6-Jun,195lb,13,0,6.8,1.5,3.1,0.475,0.2,0.2,1,1.2,2.8,0.432,0.513,0.3,0.5,0.667,0.3,0.3,0.6,0.5,0.2,0,0.2,0.9,3.5
4350,Joao Vianna,9-Jun,215lb,1,0,9,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,2,0,0,1,3,2
4351,Charlie Villanueva,11-Jun,232lb,656,163,20.7,4,9.3,0.435,1.1,3.2,0.341,3,6.1,0.484,0.494,1.2,1.6,0.772,1.2,3.4,4.6,0.8,0.5,0.5,1,2.2,10.4
4352,Jay Vincent,7-Jun,220lb,576,225,27,6.1,12.8,0.474,0,0,0.148,6.1,12.7,0.475,0.474,3,3.9,0.784,1.7,3.8,5.5,2,0.7,0.3,1.9,2.8,15.2
