ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4707,Vincent Yarbrough,7-Jun,210lb,59,39,23.4,2.8,7.3,0.393,0.4,1.3,0.269,2.5,5.9,0.42,0.417,0.8,1.1,0.79,0.6,2.1,2.7,2.2,1,0.6,1.4,2.5,6.9
4708,George Yardley,5-Jun,190lb,472,,33.4,6.8,16,0.422,,,,6.8,16,0.422,0.422,5.7,7.3,0.78,,,8.9,1.7,,,,3,19.2
4709,Barry Yates,7-Jun,215lb,24,,6,1.3,3.5,0.373,,,,1.3,3.5,0.373,0.373,0.3,0.5,0.636,,,1.7,0.3,,,,0.6,2.9
4710,Wayne Yates,8-Jun,235lb,37,,7.1,0.8,2.8,0.295,,,,0.8,2.8,0.295,0.295,0.3,0.6,0.455,,,2.5,0.4,,,,1.9,1.9
4711,Charlie Yelverton,2-Jun,190lb,69,,17.8,3,7.7,0.389,,,,3,7.7,0.389,0.389,1.9,2.7,0.707,,,2.9,1.2,,,,2.1,7.9
4712,Rich Yonakor,9-Jun,220lb,10,0,7,1.4,2.6,0.538,0,0,,1.4,2.6,0.538,0.538,0.5,0.7,0.714,1.3,1.4,2.7,0.3,0.1,0.2,0.2,0.7,3.3
4713,Danny Young,3-Jun,175lb,574,73,16.6,1.7,3.9,0.437,0.3,1,0.327,1.4,2.9,0.476,0.48,0.8,1,0.835,0.3,0.9,1.2,2.9,0.9,0.1,0.8,0.9,4.6
4714,James Young,6-Jun,215lb,71,0,8.4,0.7,2.1,0.349,0.4,1.4,0.253,0.4,0.7,0.528,0.431,0.2,0.5,0.515,0.2,0.9,1.1,0.4,0.2,0,0.2,0.6,2.1
4715,Joe Young,2-Jun,180lb,56,0,8.6,1.4,3.9,0.37,0.2,1.1,0.217,1.2,2.8,0.428,0.4,0.5,0.6,0.778,0.1,1,1.1,1.3,0.3,0,0.6,0.6,3.6
4716,Korleone Young,7-Jun,213lb,3,0,5,1.7,3.3,0.5,0.3,1.3,0.25,1.3,2,0.667,0.55,0.7,0.7,1,0.7,0.7,1.3,0.3,0,0,0.3,1,4.3
4717,Michael Young,7-Jun,220lb,49,2,9.6,1.9,4.1,0.465,0.2,0.6,0.296,1.8,3.6,0.491,0.485,0.6,0.8,0.711,0.8,1,1.8,0.5,0.5,0.1,0.3,1,4.6
4718,Nick Young,7-Jun,210lb,594,151,23.4,4.2,10,0.419,1.3,3.6,0.372,2.9,6.5,0.444,0.485,2.1,2.6,0.836,0.4,1.7,2,1,0.5,0.2,1.1,1.9,11.9
4719,Perry Young,5-Jun,210lb,9,0,8,0.7,2.3,0.286,0,0,,0.7,2.3,0.286,0.286,0.1,0.2,0.5,0.3,0.6,0.9,0.8,0.6,0.1,0.4,1.6,1.4
4720,Sam Young,6-Jun,220lb,249,52,15.9,2.2,5.1,0.442,0.2,0.7,0.28,2.1,4.4,0.468,0.462,1.1,1.4,0.742,0.7,1.6,2.3,0.7,0.5,0.2,0.8,1.2,5.8
4721,Thaddeus Young,8-Jun,221lb,688,458,30.6,5.9,11.9,0.498,0.4,1.2,0.325,5.5,10.7,0.518,0.515,1.6,2.3,0.685,2,3.9,5.9,1.5,1.4,0.4,1.5,2.2,13.8
4722,Tim Young,Jul-00,220lb,25,0,5.5,0.5,1.6,0.333,0,0,,0.5,1.6,0.333,0.333,1.1,1.4,0.778,0.5,0.9,1.4,0.2,0.1,0,0.4,0.7,2.2
4723,Sun Yue,9-Jun,205lb,10,0,2.8,0.3,1.1,0.273,0,0.6,0,0.3,0.5,0.6,0.273,0,0,,0,0,0,0.2,0.1,0.1,0.3,1,0.6
