ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mike La Tulip,54,7.3,0.6,1.6,0.398,0.1,0.3,0.294,0.6,1.3,0.423,0.7,0.8,0.878,0.9,0.3,0.3,0,0.1,0.6,2.5
2,Choul Laam,5,,0,0,,0,0,,0,0,,0.4,0.4,1,0.2,0,0,0,,,0.4
3,Justin Labagh,17,,0.1,0.4,0.333,0.1,0.4,0.333,0,0,,0,0,,0.2,0.1,0.1,0.1,,,0.2
4,Darryl Labarrie,99,,2.4,5.5,0.431,1.9,3.8,0.486,0.5,1.6,0.302,1,1.5,0.676,1.9,1.3,0.6,0,,,6.2
5,Artur Labinowicz,11,19.3,1.5,3.9,0.372,0.5,1.5,0.294,1,2.4,0.423,1.1,1.6,0.667,3.8,1.1,0.6,0.1,1.7,1,5
6,Skal Labissiere,36,15.8,2.7,5.3,0.516,2.7,5.2,0.521,0,0.1,0,1.1,1.7,0.661,3.1,0.3,0.3,1.6,0.9,3,6.6
7,Jael Laborn,8,,0,0.6,0,0,0,,0,0.6,0,0,0,,0.3,0.5,0,0.1,,,0
8,Matt LaBove,107,11.9,1.1,2.7,0.391,1.1,2.7,0.391,0,0,,0.7,1.1,0.637,2.6,0.3,0.1,0.3,0.7,1.6,2.8
9,Etienne Labrecque,7,,0.3,0.9,0.333,0.3,0.9,0.333,0,0,,1,1.6,0.636,1,0.1,0.3,0,,,1.6
10,Ed Lacayo,20,,1.3,2.7,0.463,1.3,2.7,0.463,0,0,,0.4,0.9,0.444,2.5,0,0.3,0.1,,,2.9
11,Edil Lacayo,80,,2.2,4.6,0.47,2,4.3,0.472,0.1,0.3,0.435,1.9,2.5,0.746,3.5,0.6,0.7,0.1,,,6.3
12,Everson Lacerda,7,2,0.1,1.3,0.111,0.1,1.3,0.111,0,0,,0.1,0.3,0.5,0.6,0,0.1,0,0.1,0.4,0.4
13,Adam Lacey,16,1.4,0.1,0.2,0.333,0.1,0.2,0.333,0,0,,0,0,,0.3,0,0.1,0,0.2,0.3,0.1
14,Dominique Lacey,93,16.9,2.5,5.8,0.439,2.1,4.3,0.476,0.5,1.5,0.331,1.3,2.1,0.633,3.9,0.7,0.5,0.4,2.1,0.8,6.9
15,John Lacey,8,,1.4,2.5,0.55,1.4,2.5,0.55,0,0,,0.6,1.8,0.357,2.1,0.3,0.5,0.1,,,3.4
16,Kavon Lacey,117,25.5,1.8,4.1,0.432,1.6,3.6,0.447,0.1,0.4,0.292,1,1.4,0.669,2.2,2.4,0.6,0,1.6,1.3,4.6
17,Ken Lacey,80,,4,7.1,0.561,3.9,6.9,0.568,0,0.2,0.25,3.5,4.5,0.769,6.3,0.9,0.6,1,,,11.4
18,Michael Lacey,58,16.3,1.3,3.1,0.43,1.2,2.6,0.48,0.1,0.5,0.194,1,1.4,0.667,2.4,0.6,0.5,0.1,0.9,1.5,3.7
19,Sam Lacey,89,,6.7,14.7,0.454,,,,,,,2.9,4.4,0.66,14.2,,,,,,16.3
20,Tom Lacey,59,16.6,1.4,2.7,0.519,1.4,2.7,0.519,0,0,,1.5,2.6,0.588,4.1,0.8,0.5,0.2,1.3,2.2,4.3
21,Trevor Lacey,104,30.8,3.9,9.3,0.416,2.2,4.8,0.463,1.6,4.5,0.365,2.1,2.8,0.744,3.8,2.8,1.1,0.2,1.9,1.6,11.5
22,Riley LaChance,78,29.4,3.3,8,0.418,1.6,3.8,0.432,1.7,4.2,0.405,1.3,1.6,0.844,2.9,2.9,0.7,0,1.3,1.6,9.7
23,Josh Lacheur,27,,2,4.1,0.491,2,4,0.495,0,0,0,1.1,1.9,0.608,2.7,0.6,0.4,0.6,,,5.1
24,John Lackaff,25,,0.6,2.1,0.308,0.2,0.5,0.417,0.4,1.6,0.275,0.2,0.3,0.571,0.8,0.4,0.2,0,,,1.9
25,Anthony Lackey,110,,4.3,9.1,0.471,2.7,5.1,0.521,1.6,4,0.405,1.7,2.3,0.722,5.4,1.6,1.1,0.4,,,11.9
26,Jamin Lackey,18,9.4,0.9,1.7,0.548,0.9,1.7,0.548,0,0,,0,0.2,0,2.2,0.4,0,0.2,0.8,1.6,1.9
27,Javier Lacunza,74,9.4,0.8,2.1,0.369,0.4,0.9,0.46,0.4,1.3,0.309,0.4,0.5,0.769,1.4,0.1,0.1,0,0.4,1.2,2.4
28,DaVonte Lacy,116,30.3,4,9.8,0.409,1.9,3.9,0.487,2.1,6,0.359,3.1,4.1,0.767,2.9,1.9,0.9,0.1,1.7,2.1,13.3
29,Johnnie Lacy,22,8.1,0.6,2.3,0.275,0.5,1.3,0.414,0.1,1,0.091,0.5,0.6,0.786,0.6,0.6,0.3,0,0.4,0.8,1.9
30,Patrick Lacy,6,,0.2,0.3,0.5,0.2,0.3,0.5,0,0,,0,0.5,0,0.3,0,0,0,,,0.3
31,Patrick Lacy,29,,1.8,3.8,0.477,1.8,3.8,0.477,0,0,,1.1,2.2,0.524,3.1,0.3,0.1,0.1,,,4.7
32,Mychal Ladd,118,27.5,3.2,7.5,0.429,2.1,4.3,0.481,1.2,3.2,0.361,1.4,2.2,0.654,4,1.5,0.7,0.2,1.2,1.4,9
33,Mogga Lado,9,16.2,1.6,2.4,0.636,1.6,2.4,0.636,0,0,,1,2,0.5,5,0.6,0.6,0.4,1.3,2.4,4.1
34,Christian Laettner,148,27.4,5.6,9.8,0.574,5.1,8.7,0.586,0.5,1.1,0.485,4.8,6,0.806,7.8,1.8,1.6,1,2.7,2.9,16.6
35,Bryan Lafave,25,,0.6,0.9,0.636,0.6,0.9,0.636,0,0,,0.2,0.3,0.75,1.8,0.3,0.4,0.1,,,1.4
36,Oliver Lafayette,64,,4.9,13.6,0.359,2.4,5.8,0.409,2.5,7.8,0.322,2.7,3.8,0.725,5.1,2.5,2.9,0.2,,,15
37,Jason Lafollette,4,,0,0.3,0,0,0.3,0,0,0,,0,0,,1,0,0,0,,,0
38,Colin LaForme,54,,0.9,1.9,0.486,0.9,1.9,0.5,0,0.1,0,0.6,1.4,0.461,2.2,0.4,0.4,0.4,,,2.5
39,Raef LaFrentz,131,26.6,6.3,11.3,0.555,6.2,11.1,0.56,0.1,0.3,0.371,3.1,4.3,0.712,9.1,0.7,0.7,1.1,1.8,1.9,15.8
40,Garen Lafser,18,1.4,0.2,0.7,0.308,0.2,0.3,0.8,0,0.4,0,0.2,0.2,1,0.3,0.1,0,0,0.1,0.1,0.7
41,Tom LaGarde,102,,3.6,6.2,0.583,,,,,,,2.7,3.5,0.763,5.3,,,,,,9.9
42,Marcos Lagemann,4,,2.3,6,0.375,2.3,5.3,0.429,0,0.8,0,2.5,4.5,0.556,3.8,0.5,0.8,0,,,7
43,Stuart Lagerson,67,8.8,0.4,0.9,0.45,0.4,0.9,0.458,0,0,0,0.2,0.4,0.5,1.6,0.1,0.1,0.6,0.4,1.2,1
44,Willie Lago,114,11.1,0.8,2.7,0.316,0.5,1.4,0.385,0.3,1.3,0.238,0.4,0.8,0.538,0.9,1.2,0.2,0,0.9,0.2,2.4
45,Matt LaGrone,59,,0.6,0.9,0.655,0.6,0.9,0.655,0,0,,0.3,0.5,0.5,2.6,0.4,0.2,0,1.2,,1.5
46,Nick Lahners,5,,0,0.8,0,0,0.6,0,0,0.2,0,0.2,0.4,0.5,0.4,0.6,0.4,0,,,0.2
47,Brian Laibow,55,,0.5,1.5,0.294,0.1,0.3,0.444,0.3,1.2,0.254,0.6,0.8,0.773,0.9,0.5,0.3,0,,,1.8
48,Jeff Laidig,124,5.6,0.1,0.7,0.214,0,0.2,0.227,0.1,0.5,0.21,0.2,0.2,0.852,0.8,0.3,0.1,0,0.2,0.7,0.6
49,Jacob Lail,18,4.2,0.2,0.7,0.25,0.2,0.7,0.25,0,0,,0.2,0.3,0.5,0.8,0.1,0.1,0.2,0.5,0.7,0.5
50,Bill Laimbeer,98,21.6,3.1,5.7,0.543,,,,,,,1.4,2,0.695,6.4,1,,,,,7.6
51,Brian Laing,114,,4.4,9.8,0.445,3.7,8,0.467,0.6,1.8,0.349,2.1,2.8,0.763,4.9,1.6,1.2,0.4,2.4,,11.5
52,Michael Laing,3,,0,0.3,0,0,0.3,0,0,0,,0,0,,0,0,0,0,0,,0
53,Nathan Laing,16,6.7,0,0.6,0,0,0.2,0,0,0.4,0,0.1,0.2,0.667,0.7,0.5,0.1,0,0.6,0.4,0.1
54,Shawn Laio,11,,0,0.5,0,0,0.4,0,0,0.1,0,0,0,,0,0,0,0.1,,,0
55,Daniel Laird,2,,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0,0,,1,0.5,0,0,,,1.5
56,Preston Laird,38,2.1,0.2,0.6,0.286,0.1,0.3,0.25,0.1,0.2,0.333,0.3,0.4,0.625,0.2,0.1,0,0,0.1,0.1,0.7
57,Adam Laitsas,3,,0,0.7,0,0,0.3,0,0,0.3,0,0,0,,0.3,0,0,0,,,0
58,Brian Lake,18,,2.2,4.9,0.438,1.9,4.2,0.467,0.2,0.8,0.286,0.8,1.2,0.682,3.3,0.4,0.8,0.2,,,5.4
59,Deane Lake,4,,0.5,0.8,0.667,0.3,0.3,1,0.3,0.5,0.5,0,0.3,0,0.8,0,0,0,,,1.3
60,Jarrel Lake,4,,1.3,1.8,0.714,1.3,1.8,0.714,0,0,,0.8,1.5,0.5,1.8,0,0,0,,,3.3
61,Jeremy Lake,58,,3.7,8,0.461,1.3,2.9,0.45,2.4,5.1,0.468,2.3,2.8,0.832,2.4,2.8,1,0.1,,,12.1
