ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Imad Qahwash,29,22.9,3.8,9.1,0.419,2.7,5.8,0.462,1.1,3.3,0.344,3.8,5.5,0.686,2.8,1.7,1.1,0,2.9,1.7,12.6
2,Zaheem Qasim,6,,0,0.5,0,0,0,,0,0.5,0,0.3,0.3,1,0,0,0,0,,,0.3
3,Jeff Quackenbush,58,,3.5,8.4,0.416,2.8,5.7,0.488,0.7,2.7,0.26,2,2.8,0.704,5.8,0.9,0.7,0.3,,,9.6
4,Rasheed Quadri,100,,1.7,4.3,0.385,1.1,2.6,0.42,0.6,1.7,0.329,0.5,0.9,0.554,2.6,1.1,0.7,0.1,,,4.4
5,Haminn Quaintance,119,,4.4,8.1,0.545,4.3,7.7,0.559,0.1,0.4,0.277,2.5,4,0.614,7.6,2.5,1.8,2.2,2.2,,11.4
6,Robert Quaintance,31,,2.3,5.4,0.423,0.7,1.3,0.564,1.6,4.2,0.38,0.8,1,0.781,2.7,5.6,2.5,0.2,,,7
7,Donald Qualls,102,31,3.4,9.3,0.368,1.4,3.6,0.395,2,5.6,0.35,2,2.6,0.794,2,1.8,1,0,1.9,1.1,10.8
8,Doug Qualls,88,,0.9,1.9,0.479,0.9,1.9,0.485,0,0,0,0.7,1.2,0.546,2.2,0.3,0.3,0.5,,,2.5
9,Jeremy Qualls,27,,0.1,0.4,0.273,0,0.1,0,0.1,0.3,0.375,0.1,0.1,0.5,0.2,0.1,0,0,,,0.4
10,Michael Qualls,100,23.8,3.6,8.5,0.428,2.6,5.4,0.484,1,3.1,0.33,2.7,3.7,0.723,4.5,1.5,0.9,0.6,1.3,1.4,11
11,Erik Qualman,12,,0.2,0.3,0.667,0.2,0.3,0.667,0,0,,0.2,0.3,0.5,0.2,0,0,0,,,0.5
12,Andre Quarles,113,,3.3,8.3,0.391,2.3,5.4,0.434,0.9,3,0.313,1.5,2.2,0.661,2.2,2.7,1.1,0,,,8.9
13,Daryus Quarles,117,15.8,1.4,4.1,0.345,0.9,2.4,0.39,0.5,1.6,0.28,0.5,0.7,0.609,1.9,0.6,0.2,0.2,0.6,1.2,3.7
14,Domnique Quarles,4,,1.3,2.3,0.556,1,1.8,0.571,0.3,0.5,0.5,0,0,,0.8,0.3,0.5,0,0,,2.8
15,Sheldon Quarles,80,,1.2,3.1,0.392,1.2,3,0.399,0,0.1,0.143,0.5,1,0.532,2.8,0.1,0.4,0.5,,,2.9
16,Tracey Quarles,8,,0.4,0.8,0.5,0.4,0.6,0.6,0,0.1,0,0.1,0.3,0.5,0.6,0.6,0.1,0.1,0.4,,0.9
17,Art Quarterman,36,,3,6.4,0.47,3,6.4,0.47,0,0,,1.1,2.2,0.526,4.2,0.6,0.5,0.6,,,7.2
18,Tim Quarterman,99,24.9,2.7,6.9,0.397,1.7,3.7,0.471,1,3.2,0.31,1.9,2.9,0.66,3.9,3.1,1,0.4,1.7,2.2,8.4
19,Jared Quayle,70,31.8,4.2,9.6,0.438,2.4,5.1,0.466,1.8,4.5,0.405,2.5,3.1,0.822,6.1,3.9,1.3,0.1,1.7,0.9,12.7
20,Jaleel Queary,50,19.6,1.4,3.4,0.421,1.4,3.3,0.428,0,0.1,0.2,0.7,1.7,0.435,2.4,1.3,0.5,0.2,1.5,2.5,3.6
21,Andrew Queen,53,,0.8,1.9,0.436,0.7,1.5,0.475,0.1,0.4,0.286,0.8,1.2,0.689,1.8,0.4,0.4,0.1,,,2.6
22,Avery Queen,57,,1.8,5.1,0.356,1.1,2.4,0.441,0.8,2.7,0.281,0.4,0.9,0.49,2.2,3.7,0.8,0,,,4.8
23,Brandon Queen,29,,0.9,1.9,0.491,0.9,1.7,0.52,0,0.2,0.2,0.4,0.8,0.542,2.2,0.3,0.2,0,,,2.3
24,Paul Queen,27,,5.2,14.5,0.36,3.4,8.3,0.409,1.8,6.2,0.293,2.3,3.1,0.747,2.6,3.1,1.5,0,,,14.6
25,Tyson Queen,31,4,0.3,0.7,0.364,0.2,0.5,0.412,0,0.2,0.2,0.3,0.5,0.533,0.7,0,0.1,0,0.2,0.9,0.8
26,Mike Queenan,104,,1.4,3.4,0.402,1.2,2.6,0.446,0.2,0.8,0.262,0.5,1,0.539,3.2,0.8,0.4,0.1,,,3.5
27,Dario Quesada,80,,2.7,6.3,0.428,2.4,5.3,0.456,0.3,1.1,0.286,1.3,1.7,0.739,4.9,1.5,0.9,0.2,,,7
28,Matt Quest,10,,0,0.2,0,0,0.2,0,0,0,,0.1,0.6,0.167,1,0,0,0.1,,,0.1
29,Manny Quezada,111,,3.5,8.2,0.426,2.4,5.1,0.469,1.1,3.1,0.356,2.4,3,0.802,2.7,2.9,1,0.1,3.3,,10.5
30,Imad Quhwash,79,24.7,1,2.4,0.399,0.9,2.1,0.448,0.1,0.4,0.133,1.8,2.7,0.662,2.6,1.5,0.6,0,2.9,0.7,3.8
31,Adam Quick,114,,2.6,6.5,0.4,1.2,2.6,0.483,1.4,4,0.346,1.5,1.9,0.826,2.7,4.6,1,0,,,8.1
32,Austin Quick,119,17.4,1.3,3.7,0.359,0.7,1.5,0.439,0.7,2.2,0.304,0.7,1,0.686,1.8,1.7,0.8,0.1,1.4,1.5,4
33,Gregory Quick,27,,0.8,1.3,0.629,0.8,1.3,0.629,0,0,,0.7,1.4,0.486,1.6,0.1,0.1,0.3,,,2.3
34,Landon Quick,122,,1.9,4.1,0.451,1.7,3.5,0.482,0.2,0.7,0.284,1.6,2.4,0.663,2.4,3.1,1.1,0,,,5.5
35,Nick Quick,23,,0.3,1,0.318,0.1,0.3,0.286,0.2,0.7,0.333,0.1,0.1,0.667,0.2,0.1,0.1,0,0.2,,0.9
36,Daniel Quigley,109,,3.3,6.9,0.478,2.8,5.4,0.519,0.5,1.5,0.329,1.2,1.9,0.649,6.6,0.7,0.4,0.5,,,8.3
37,Joey Quigley,57,8.6,0.6,1.8,0.327,0.5,1.4,0.341,0.1,0.3,0.263,0.4,0.7,0.571,1.6,0.3,0.3,0.4,0.4,0.7,1.7
38,Ryan Quigtar,21,1.6,0.1,0.4,0.333,0.1,0.3,0.333,0,0.1,0.333,0.1,0.3,0.5,0.1,0.2,0,0,0.1,0.1,0.5
39,Drouzon Quillen,3,,0,0,,0,0,,0,0,,0,0,,1.3,0,0,0,,,0
40,Brad Quinet,55,,4.1,10.9,0.375,2.7,6.1,0.44,1.4,4.8,0.293,2.9,3.8,0.763,2.6,2,0.9,0,,,12.5
41,Derek Quinet,22,,1,2,0.523,1,2,0.535,0,0,0,0.3,0.5,0.583,1.8,0.2,0.1,0,,,2.4
42,Donte Quinine,71,,0.7,1.9,0.368,0.5,1.3,0.416,0.2,0.7,0.277,0.5,0.9,0.554,1.1,0.5,0.2,0.3,,,2.1
43,Aqeel Quinn,120,19,2.1,5.7,0.366,1.1,2.8,0.387,1,2.9,0.345,1.3,1.7,0.759,2,1.4,0.7,0.1,1.2,1.6,6.4
44,Chris Quinn,112,,2,3.8,0.53,2,3.7,0.536,0,0.1,0.273,2,3,0.654,3.3,0.9,0.4,0.1,,,6
45,Chris Quinn,123,31,4,8.9,0.446,2,4.3,0.478,1.9,4.7,0.417,1.9,2.3,0.825,2.7,3.5,1.3,0.1,,,11.8
46,Dakota Quinn,27,7.6,1.2,2.1,0.552,1.2,2.1,0.571,0,0.1,0,0.3,0.6,0.467,1.8,0.1,0.2,0.6,0.5,1.5,2.6
47,Dan Quinn,26,,0.5,0.8,0.6,0.4,0.7,0.579,0,0,1,0.2,0.3,0.714,0.6,0.1,0.1,0,,,1.2
48,Danny Quinn,26,7.3,0.4,1.1,0.345,0.3,0.7,0.421,0.1,0.4,0.2,0.1,0.2,0.4,1.4,0.3,0,0.1,0.2,0.8,0.9
49,Diago Quinn,46,9.8,0.9,1.8,0.494,0.9,1.8,0.5,0,0,0,0.9,1.1,0.82,2.3,0.1,0.2,0.3,0.6,2.6,2.7
50,Joe Quinn,73,,0.7,1.9,0.352,0.3,1,0.357,0.3,1,0.347,0.5,0.8,0.69,0.6,0.5,0.4,0,,,2.3
51,Marcus Quinn,59,,3.5,6.3,0.554,3.3,5.8,0.573,0.1,0.4,0.308,1.9,3,0.636,5.1,0.3,0.4,0.9,,,9
