ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Candido Sa,10,18.3,1.8,4.5,0.4,1.6,3.6,0.444,0.2,0.9,0.222,1.2,2.2,0.545,4,0.2,0.4,1.5,1,2,5
2,Anthony Saadey,2,,0,0,,0,0,,0,0,,0,0,,1,0,0,0,,,0
3,Amu Saaka,121,32,3.3,7.2,0.453,2.5,5,0.498,0.8,2.3,0.355,2.2,3,0.745,4.7,1.1,0.5,0.3,1.5,1.5,9.6
4,Kaipo Sabas,32,21.3,1.4,3,0.479,0.6,1,0.545,0.9,2,0.444,0.6,0.8,0.8,2.2,1,0.5,0,1.1,1.4,4.4
5,Tony Sabato,98,10.9,0.9,2.1,0.406,0.9,2.1,0.408,0,0,0,0.3,0.6,0.517,1.6,0.5,0.1,0.2,0.7,1.8,2
6,Xerxes Sabb,24,,0.3,1.5,0.167,0.2,0.8,0.263,0,0.7,0.059,0.1,0.3,0.5,1.1,0.2,0.1,0.1,,,0.7
7,Scott Saber,29,,1.6,2.8,0.556,1.6,2.8,0.556,0,0,,0.6,1.1,0.515,1.9,0.3,0.4,0.3,,,3.7
8,Hunter Sabety,10,8.7,1.1,1.7,0.647,1.1,1.7,0.647,0,0,,0.9,1.3,0.692,4.3,0.1,0.2,1,0.5,1.6,3.1
9,Morgan Sabia,125,34.6,4,9.8,0.407,2.1,4.4,0.467,1.9,5.4,0.358,1.3,1.8,0.709,5.1,0.9,0.7,0.7,1.8,1.3,11.2
10,Mirza Sabic,52,9.4,0.9,2.2,0.391,0.4,0.8,0.432,0.5,1.4,0.366,0.4,0.6,0.625,1,0.2,0.1,0,0.7,0.8,2.6
11,Will Sabo,4,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,,,0
12,Domantas Sabonis,74,26.6,5.2,8.2,0.632,5.1,8,0.638,0.1,0.2,0.357,3.1,4.2,0.729,9.4,1.3,0.5,0.6,2,3,13.5
13,Jordan Sabourin,105,,1,2,0.521,1,2,0.524,0,0,0,0.4,1.2,0.333,3.2,0.3,0.3,0.6,,,2.5
14,Haneef Sabree,8,,0.1,0.6,0.2,0,0.4,0,0.1,0.3,0.5,0.4,0.6,0.6,0.9,0,0,0,,,0.8
15,Hijr Sabree,25,,3,7.8,0.381,2.7,6.3,0.433,0.2,1.5,0.162,1.8,3.3,0.537,5,1,0.8,0.9,,,7.9
16,Sebastian Sachse,98,,1.4,3.3,0.412,0.7,1.3,0.542,0.6,2,0.323,0.3,0.7,0.5,2.2,0.8,0.2,0.2,,,3.7
