ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Drake U'u,94,19.8,1.5,4.3,0.358,1.2,2.6,0.442,0.4,1.6,0.219,1.2,1.9,0.602,2.9,1.4,0.6,0.1,1.1,1.5,4.6
2,Parker U'u,40,6,0.4,1.4,0.263,0.1,0.4,0.333,0.3,1.1,0.238,0.2,0.2,0.778,1,0.3,0.3,0,0.6,0.6,1.2
3,Rashaad Ubah,5,3,0,0.2,0,0,0.2,0,0,0,,0,0,,0.2,0,0,0.2,0,0,0
4,Ayinde Ubaka,110,,3.6,9,0.395,2.1,4.7,0.447,1.5,4.3,0.338,2.3,2.9,0.779,2.6,3.8,0.7,0,,,10.9
5,Kem Ubaru,13,18.6,2.8,6.5,0.435,2.5,5.9,0.429,0.3,0.6,0.5,2.2,3.4,0.659,4.7,0.6,0.8,0,2.6,2.3,8.2
6,Brandon Ubel,125,24.2,2.5,5.2,0.483,2.3,4.4,0.516,0.2,0.8,0.296,1.9,2.4,0.803,4.4,0.9,0.4,0.4,1.3,2.4,7.1
7,Edwin Ubiles,131,30.9,6,12.1,0.497,5.2,9.8,0.53,0.8,2.2,0.353,2,3,0.672,4.3,2.1,1.2,0.7,2.1,0.3,14.8
8,Manny Ubilla,58,,5.1,12,0.424,2.4,5.5,0.436,2.7,6.5,0.415,3.3,4.2,0.785,4.6,3.8,1.6,0.3,3.8,,16.2
9,Joseph Uchebo,63,17.1,3.1,5.6,0.561,3.1,5.6,0.561,0,0,,1.2,2.1,0.56,6.8,0.5,0.6,0.4,0.8,1.3,7.4
10,Johnathan Uchendu,27,,0.6,1.2,0.485,0.6,1.2,0.5,0,0,0,0.6,1,0.654,1,0.1,0.1,0.3,,,1.8
11,Ike Udanoh,25,,0.7,1.7,0.395,0.7,1.7,0.395,0,0,,0,0.2,0.167,1.9,0.1,0.3,0.4,0.6,,1.4
12,Amadi Udenyi,81,24,1.8,5.2,0.334,0.9,2.6,0.343,0.9,2.6,0.325,1.2,2,0.623,2,4.1,1,0,1.7,1.8,5.6
13,Chinedu Udeogalanya,11,,0.4,0.5,0.667,0.4,0.5,0.667,0,0,,0,0.2,0,0.5,0.1,0,0,,,0.7
14,Joe Udeoji,22,,0.3,0.6,0.462,0.2,0.5,0.417,0,0,1,0,0.4,0.111,0.9,0.1,0.1,0,0.5,,0.6
15,Ugo Udezue,117,,2.6,6,0.439,2.6,5.9,0.441,0,0.1,0.25,2.2,4,0.56,4.4,0.7,0.5,0.3,,,7.5
16,Ndueso Udiowod,16,,0.6,1.6,0.385,0.4,0.8,0.5,0.3,0.9,0.286,0.4,0.6,0.667,0.8,0.7,0.3,0,,,1.9
17,Chris Udofia,124,29.5,4.4,8.7,0.513,3.9,6.8,0.572,0.5,1.8,0.289,2.7,4.2,0.649,4.9,2.8,1.1,2.1,1.8,3.2,12.1
18,Mfon Udofia,128,25.4,2.6,6.8,0.376,1.7,4,0.417,0.9,2.9,0.319,1.6,2.5,0.627,2.7,2.2,0.8,0,1.9,2.2,7.6
19,Ekpe Udoh,103,35.1,3.3,7,0.472,3.2,6.6,0.485,0.1,0.4,0.289,1.6,2.5,0.649,6.3,1.5,0.8,2.8,1.8,0.8,8.4
20,Ndueso Udoiwod,4,,0,0.5,0,0,0.3,0,0,0.3,0,0,0,,0,0.3,0,0,,,0
21,Udoiwod Udoiwod,5,,0.2,0.6,0.333,0.2,0.6,0.333,0,0,,0,0.2,0,0.4,0,0,0,,,0.4
22,Ndueso Udoiwood,22,,0.3,0.6,0.5,0.3,0.5,0.6,0,0.2,0.25,0.5,0.5,0.909,0.3,0.3,0,0,,,1.1
23,Ime Udoka,45,29.3,2.7,7.2,0.377,2.2,5.2,0.415,0.6,2,0.283,2.4,3.4,0.717,4.8,2,1,0.3,,,8.5
24,Averyl Ugba,9,31.6,4.9,8.1,0.603,4.9,8,0.611,0,0.1,0,2.2,3.9,0.571,10.8,0.8,1.4,1.2,1.6,2,12
25,Jiday Ugbaja,41,8.3,0.9,2.1,0.425,0.7,1.5,0.484,0.2,0.6,0.28,0.6,0.9,0.714,0.9,0.7,0.4,0,0.7,1.4,2.6
26,Daddy Ugbede,44,9.1,1.2,2.1,0.553,1.2,2.1,0.553,0,0,,1,1.4,0.683,2,0.1,0.2,0,0.6,1.6,3.3
27,Stephen Ugochukwu,58,11.2,1.4,3.5,0.401,1.3,3.1,0.425,0.1,0.4,0.217,0.9,1.6,0.582,2.8,0.3,0.3,0.6,0.6,1.5,3.8
28,Ty Ugolyn,6,,0.7,1,0.667,0.5,0.8,0.6,0.2,0.2,1,0.7,0.7,1,0.8,0,0.3,0,,,2.2
29,Aher Uguak,7,8,0.4,1.1,0.375,0.3,0.9,0.333,0.1,0.3,0.5,0.3,0.6,0.5,0.4,0.3,0.6,0,0.1,0.6,1.3
30,Henry Uhegwu,29,,4,8.4,0.473,2.1,4,0.522,1.9,4.4,0.43,3.7,4.9,0.746,3.2,1.5,1,0.2,,,13.5
31,Dom Uhl,76,14.4,1.5,3.7,0.394,1,2.3,0.423,0.5,1.4,0.346,0.8,1.3,0.598,2.9,0.7,0.3,0.3,0.8,1,4.2
32,Ken Uhlar,2,1,0,0,,0,0,,0,0,,0,0,,0.5,0,0,0,0,0,0
33,Reece Uhlenhopp,62,9.6,0.6,1.7,0.375,0.3,0.8,0.36,0.3,0.9,0.389,0.3,0.3,0.842,1.6,0.2,0.3,0.1,0.3,1.3,1.9
34,Jay Uhrin,5,,0.8,1.2,0.667,0.6,1,0.6,0.2,0.2,1,0,0,,0.2,0.4,0.2,0,0,,1.8
35,Jeffrey Uju,2,14,2,3,0.667,1.5,2.5,0.6,0.5,0.5,1,0,0,,5,0,0,0.5,1,1,4.5
36,Jermaine Ukaegbu,21,6.7,0.7,1.2,0.538,0.7,1.2,0.56,0,0,0,0.2,0.5,0.364,1.6,0.2,0.2,0.3,0.3,1.1,1.5
37,Okey Ukah,27,2.6,0.2,0.5,0.462,0.2,0.5,0.462,0,0,,0,0.1,0.25,0.6,0,0.1,0.1,0.1,0.3,0.5
38,Quincy Ukaigwe,59,6.8,0.4,0.8,0.478,0.4,0.8,0.489,0,0,0,0.1,0.3,0.211,1.5,0.1,0.3,0.1,0.5,1.9,0.8
39,Ike Ukawuba,41,,0.2,0.6,0.32,0.2,0.6,0.333,0,0,0,0,0.1,0.2,0.2,0.1,0,0,,,0.4
40,Rob Ukawuba,82,20,2.5,5.2,0.481,1.9,3.5,0.535,0.6,1.7,0.371,1.5,2.4,0.651,3.2,1.4,0.6,0.2,1.1,2.1,7.2
41,Ezenwa Ukeagu,47,,1.9,3.7,0.517,1.9,3.7,0.517,0,0,,1.9,2.6,0.715,4,0.3,0.2,0.2,,,5.7
42,David Ulak,16,1.8,0,0.3,0,0,0.1,0,0,0.3,0,0.1,0.3,0.25,0.4,0.1,0.1,0.1,0.1,0.1,0.1
43,Scott Ulaneo,9,17.6,1.4,3.6,0.406,1.3,2.4,0.545,0.1,1.1,0.1,0.3,0.9,0.375,4.6,1,0.6,0.2,1.3,2.4,3.3
44,Tyler Ulis,72,30.1,3.6,8.4,0.427,2.4,5.1,0.462,1.2,3.3,0.371,2.9,3.4,0.846,2.4,5.3,1.2,0.1,1.5,1.7,11.3
45,Carl Ulmer,100,,0.6,1.4,0.42,0.6,1.4,0.423,0,0,0,0.9,1.4,0.613,2.1,0.5,0.2,0,,,2
46,Lamonte Ulmer,136,30.6,3.1,6.1,0.504,3,5.7,0.524,0.1,0.4,0.228,1.7,2.4,0.711,5.2,0.9,0.9,0.8,1.1,0.4,8
47,Lowell Ulmer,100,11.4,1,2.4,0.406,0.8,1.8,0.459,0.1,0.6,0.241,0.6,1.1,0.514,1.9,0.5,0.5,0.2,0.7,1.9,2.6
48,James Ulrich,118,,3.2,6.8,0.463,2.9,5.8,0.502,0.3,1.1,0.254,2.1,3.5,0.596,5.2,1.3,0.5,0.4,1.9,,8.7
49,Rokas Ulvydas,9,2.6,0,0.2,0,0,0.2,0,0,0,,0.2,0.4,0.5,0.2,0,0,0.7,0.3,0.7,0.2
50,Kyle Umberger,112,,4.8,9.3,0.515,4.8,9.2,0.518,0,0.1,0.25,2.7,3.8,0.72,5.5,1.5,0.9,0.2,,,12.3
51,Michael Umeh,111,,2.6,6.1,0.431,1.4,2.9,0.498,1.2,3.2,0.371,1.1,1.5,0.713,2.3,1.4,0.6,0.1,,,7.5
52,Ifeanyi Umezurike,16,7.9,1.1,2.2,0.486,1.1,2.2,0.486,0,0,,0.5,1.1,0.471,2.7,0,0.1,0.2,0.9,2.6,2.6
53,Isiah Umipig,125,30.3,4.7,11.3,0.412,1.9,4.2,0.447,2.8,7.1,0.392,2.3,2.8,0.826,2.5,2.5,1,0,2.2,2.2,14.4
54,Ify Umodu,6,1.8,0.2,0.2,1,0.2,0.2,1,0,0,,0.2,0.3,0.5,0.5,0.3,0.2,0,0.2,0.2,0.5
55,Sidney Umude,49,14.2,2,4.6,0.446,2,4.5,0.45,0,0,0,1.3,2.2,0.6,2.6,0.6,0.5,0.3,1.1,2.2,5.4
56,Cory Underwood,44,,1.3,2.9,0.441,1.2,2.7,0.453,0.1,0.2,0.3,0.5,0.8,0.571,2,0.4,0.3,0.5,,,3.1
57,Derrick Underwood,3,,0.3,0.7,0.5,0.3,0.7,0.5,0,0,,0.7,0.7,1,0.3,0,0,0,,,1.3
58,Doug Underwood,85,,4.4,11.1,0.396,2.8,6.7,0.417,1.6,4.4,0.364,2.1,2.6,0.797,3.1,1,0.7,0.2,,,12.4
59,Jason Underwood,23,,2,3.9,0.522,2,3.9,0.528,0,0,0,0.7,1.3,0.552,2.2,0.3,0.2,0.3,,,4.8
60,Jeremy Underwood,130,21.2,1.6,4.9,0.326,0.7,2.2,0.322,0.9,2.7,0.33,1.9,2.7,0.693,1.9,2,0.7,0,2.4,2.5,5.9
