ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Derek Wabbington,53,,2.6,5.3,0.493,2.6,5.2,0.504,0,0.2,0.125,1.2,2.3,0.492,4.2,0.8,0.6,0.4,,,6.4
2,Kenneth Wachira,19,2.4,0.1,0.2,0.333,0.1,0.1,0.5,0,0.1,0,0,0,,0.2,0,0,0,0.3,0.6,0.1
3,Jason Wachob,93,,1.1,2.5,0.451,1,2,0.516,0.1,0.5,0.191,0.8,1.1,0.66,2.1,0.7,0.3,0.3,,,3.1
4,Kiril Wachsmann,120,,2.6,5.2,0.503,2.6,5.1,0.504,0,0,0,1.5,2.2,0.679,5.6,0.9,0.5,0.7,,,6.7
5,Andy Wachter,5,,0.2,0.4,0.5,0.2,0.4,0.5,0,0,,0,0,,0,0,0,0,,,0.4
6,David Wacker,44,10.1,0.9,1.8,0.5,0.9,1.8,0.506,0,0,0,0.8,1.3,0.655,2.1,0.3,0.1,0.2,0.5,1.3,2.6
7,Bret Wackerly,31,,0.5,1.9,0.288,0.4,0.8,0.44,0.2,1.1,0.176,0.3,0.5,0.714,1.1,0.9,0.4,0,,,1.6
8,Adam Waddell,124,23.9,2.5,4.9,0.507,2.5,4.8,0.509,0,0,0.2,2.1,3.5,0.59,3.9,0.5,0.5,0.8,1.1,1.7,7
9,Chad Waddell,11,1.1,0.1,0.3,0.333,0.1,0.2,0.5,0,0.1,0,0,0,,0.1,0.1,0,0,0.3,0,0.2
10,Devin Waddell,57,6.6,0.1,0.6,0.25,0.1,0.3,0.353,0,0.3,0.133,0.1,0.1,0.5,0.7,0.1,0.1,0.1,0.2,1.1,0.4
11,Matt Waddell,66,,3.5,8.1,0.436,2.3,5.2,0.448,1.2,2.9,0.413,2.1,2.5,0.831,3.1,4.2,1.1,0.1,,,10.3
12,Qavotstaraj Waddell,54,,1.7,3.1,0.545,1.7,3,0.552,0,0,0,0.5,1.2,0.406,4.2,0.6,0.4,1.2,0.5,,3.8
13,Ray Waddell,15,,0.2,0.3,0.6,0.1,0.2,0.333,0.1,0.1,1,0.3,0.4,0.667,0.5,0.3,0.1,0,,,0.8
14,Cody Waddey,33,,0.2,0.5,0.375,0.2,0.3,0.5,0,0.2,0.167,0.3,0.5,0.5,0.3,0.2,0.3,0,,,0.7
15,Austin Waddoups,16,8.3,0.6,1.7,0.37,0.2,0.7,0.273,0.4,1,0.438,0.1,0.3,0.4,0.9,0.7,0,0.1,0.4,1.1,1.8
16,Daniel Waddy,99,,1.4,3.9,0.351,1,2.6,0.386,0.4,1.3,0.282,1.3,2,0.635,2.2,1.5,0.9,0.3,3.6,,4.4
17,Aaron Wade,116,,2.2,5.1,0.436,1.4,2.8,0.486,0.9,2.3,0.375,1.2,1.8,0.665,3,0.6,0.4,0.3,,,6.5
