ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Marvin Zaandam,15,,0.1,0.4,0.167,0,0.1,0,0.1,0.3,0.2,0.1,0.1,0.5,0.3,0.1,0,0.1,,,0.3
2,Kevin Zabo,25,13.4,1.2,3.2,0.358,0.6,1.9,0.333,0.5,1.3,0.394,0.8,1.2,0.7,1.1,1.2,0.4,0,0.8,1.5,3.7
3,Michael Zachary,17,,0.2,0.6,0.364,0.2,0.5,0.333,0.1,0.1,0.5,0,0,,0.4,0.2,0,0.1,,,0.5
4,Randy Zachary,115,,2.4,5.9,0.412,1,2.5,0.403,1.4,3.3,0.418,1.5,2,0.749,1.7,3,0.8,0,,,7.8
5,Nick Zachery,83,,4.6,11.1,0.418,1.8,4.1,0.433,2.8,6.9,0.41,1.8,2.3,0.772,2.7,2.6,1.4,0.1,,,13.9
6,Scott Zack,11,,0.4,0.8,0.444,0.4,0.8,0.444,0,0,,0.3,0.4,0.75,1.3,0.3,0,0.5,,,1
7,Steve Zack,123,23.4,2.5,5.3,0.47,2.5,5.2,0.474,0,0.1,0.125,1.3,2,0.679,6.9,1.1,0.4,1.4,1.4,2.4,6.3
8,Petrolsav Zafirov,27,,0.5,1.8,0.271,0.3,0.5,0.538,0.2,1.3,0.171,0,0.2,0.2,0.6,0.2,0.1,0,,,1.2
9,Todd Zafirovski,20,2.1,0.1,0.4,0.286,0.1,0.4,0.286,0,0,,0.1,0.2,0.25,0.3,0.1,0.1,0.1,0.1,0.3,0.3
10,Kyle Zaharias,81,,1.2,2.6,0.448,1.2,2.6,0.448,0,0,,0.6,1.2,0.511,3.2,0.2,0.3,0.6,,,2.9
11,Adam Zahn,101,,1,2.2,0.444,1,2.1,0.449,0,0.1,0.333,0.5,0.9,0.575,2,0.2,0.2,0.1,,,2.5
12,Andrew Zahn,16,,0.4,0.6,0.667,0.3,0.4,0.714,0.1,0.1,0.5,0.1,0.3,0.5,0.9,0.1,0,0.1,,,0.9
13,Andrew Zahora,3,,0,1,0,0,1,0,0,0,,0,0,,0.3,0,0,0,0,,0
14,Ed Zajac,43,,1.2,2.5,0.463,1.2,2.5,0.463,0,0,,0.7,1.2,0.588,3.5,0.1,0.3,0.4,0.8,,3
15,Jon Zajac,117,,2.6,5.7,0.454,2.5,5.3,0.472,0.1,0.4,0.213,0.9,1.8,0.537,4.7,1,0.7,0.3,,,6.2
16,Mike Zak,27,,1.9,5.4,0.34,1,2.7,0.389,0.8,2.8,0.293,1.1,1.8,0.633,1.4,0.8,0.3,0,,,5.7
17,Joe Zaletel,48,,1.5,3.4,0.447,1.5,3.2,0.461,0,0.1,0.143,0.9,1.5,0.569,2.6,0.6,0.4,0.2,,,3.9
18,Paulius Zalys,38,22.8,2.8,6.1,0.457,1.8,3.4,0.534,0.9,2.6,0.354,1.1,1.7,0.656,3.7,1.2,0.4,0.3,2,2.4,7.6
19,Davide Zambon,27,,1,3,0.338,0.8,1.8,0.449,0.2,1.1,0.161,0.6,0.9,0.625,2.2,0.3,0.1,0.1,,,2.7
20,Rod Zamor,55,,2.9,6.1,0.474,2.7,5.2,0.525,0.2,0.9,0.184,1.5,2.3,0.645,2.7,1.7,1.3,0.3,,,7.4
21,Adrian Zamora,60,,1.1,2.6,0.424,1.1,2.4,0.434,0.1,0.2,0.308,0.6,1.1,0.576,3.2,0.7,0.5,1,0.6,,2.9
22,JoJo Zamora,7,24.1,3.6,8.3,0.431,2.1,4.4,0.484,1.4,3.9,0.37,2.9,3.4,0.833,1.9,1.9,0.9,0.4,1.1,1.7,11.4
23,Paolo Zamorano,14,,0.2,0.6,0.333,0,0.1,0,0.2,0.6,0.375,0,0,,0,0.1,0.1,0,0,,0.6
24,Brian Zamore,103,,0.4,1.1,0.333,0.4,1.1,0.336,0,0,0,0.5,1,0.505,2,0.2,0.3,0.2,,,1.2
25,Alex Zampier,108,30.9,3.4,8.6,0.397,2.1,4.6,0.462,1.3,3.9,0.32,2.5,3.1,0.816,2.3,1.8,1.5,0.2,2.4,0.5,10.6
26,Dan Zanderson,3,,0,0,,0,0,,0,0,,0,0,,0.3,0.7,0,0,,,0
27,Matt Zaney,8,,0.1,0.3,0.5,0.1,0.3,0.5,0,0,,0.1,0.5,0.25,0.6,0,0.1,0,0.4,,0.4
28,Michael Zangari,123,16.6,1.7,3.8,0.454,1.6,3.2,0.497,0.1,0.6,0.211,1.2,1.7,0.675,3.4,0.4,0.2,0.3,0.8,2.1,4.7
29,George Zaninovich,17,,0.6,1.8,0.355,0.3,0.7,0.417,0.4,1.1,0.316,0.2,0.4,0.5,0.6,0.4,0.1,0,,,1.8
30,Nura Zanna,70,22.3,2.7,5.4,0.499,2.7,5.3,0.501,0,0,0,1.9,3.7,0.527,6.1,0.4,0.6,0.4,2.1,3.5,7.3
31,Talib Zanna,135,21.7,3,5.5,0.553,3,5.5,0.555,0,0,0,2.2,3.4,0.65,6,0.4,0.5,0.5,1,2.1,8.3
