ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER
864,A'Torey Everett,6,5.8,0.5,1.2,0.429,0.3,1,0.333,0.2,0.2,1,0.3,0.3,1,0.8,0.2,0,0,0.7,0.3,1.5,0.687
1254,A'Torri Shine,58,31.9,4.5,11.1,0.406,3.2,6.9,0.458,1.3,4.2,0.32,3,4,0.748,3.8,1,0.8,0.2,2.2,2.1,13.3,5.597
96,A'uston Calhoun,99,28.8,5.3,11.8,0.454,4.9,10.4,0.474,0.4,1.3,0.293,2.4,3.3,0.741,6.1,0.6,0.5,0.6,1.9,2.3,13.5,8.263
514,A.C. Reid,71,20.3,1.9,5.8,0.327,0.5,1.3,0.382,1.4,4.6,0.312,0.4,0.6,0.714,2.2,1.3,0.5,0.1,1.3,2,5.6,3.171
1498,A.J. Astroth,44,15.7,1.3,3.3,0.397,1,2.2,0.479,0.3,1.1,0.24,0.9,1.5,0.597,3.2,0.4,0.5,0.1,0.6,1.6,3.8,3.851
1521,A.J. Atkinson,44,2.3,0.2,0.4,0.438,0.1,0.2,0.625,0,0.2,0.25,0.1,0.1,0.6,0.4,0,0,0,0.1,0.2,0.4,0.217
1647,A.J. Avery,111,13.3,1.2,2.7,0.457,1.2,2.6,0.459,0,0.1,0.4,1,1.5,0.658,3.1,0.3,0.3,0.5,0.6,1.9,3.5,3.991
2635,A.J. Bramlett,127,21.2,3.4,6.5,0.525,3.4,6.5,0.527,0,0,0,1.8,3.3,0.548,6.4,0.9,0.7,0.8,1.2,1.9,8.6,9.18
1723,A.J. Cockrell,32,13.2,1.3,2.8,0.467,1.3,2.8,0.472,0,0,0,0.7,1.3,0.575,2.2,0.3,0.3,0.3,0.6,2.3,3.3,2.855
303,A.J. Davis,57,21.5,2.2,5.7,0.383,1.7,4.1,0.416,0.5,1.6,0.301,2.2,3,0.757,4.1,1.7,0.6,0.4,1.7,1.9,7.1,5.831
304,A.J. Davis,119,26,3.5,7.8,0.452,2.5,4.5,0.55,1.1,3.3,0.322,2.3,3.2,0.72,3.4,1,1.3,0.2,1.8,1.5,10.4,6.473
167,A.J. Edwards,23,3.5,0.2,0.8,0.278,0.1,0.1,1,0.1,0.7,0.188,0.2,0.3,0.667,0.3,0.3,0,0,0.2,0.2,0.7,0.242
581,A.J. English,112,34.4,5.5,12.9,0.423,2.7,5.5,0.489,2.8,7.5,0.374,4.2,5.3,0.792,4.3,4.6,1.3,0.5,2.9,2.3,17.9,11.93
2170,A.J. Guyton,128,34,5.8,12.8,0.455,3.6,7.5,0.484,2.2,5.3,0.414,2.5,3.2,0.79,3.4,3.1,1,0.4,2.3,0.9,16.4,9.743
396,A.J. Hammons,132,24.3,4.6,8.6,0.539,4.6,8.4,0.544,0,0.2,0.261,2.7,4,0.69,7,0.8,0.4,2.6,2.1,2.5,12.1,11.532
577,A.J. Hardeman,137,22.3,2.2,4.2,0.515,2.2,4.2,0.517,0,0,0,1,2.1,0.493,3.9,0.4,0.5,0.7,1.1,2.1,5.4,5.285
782,A.J. Harris,35,13.7,0.9,2.8,0.323,0.5,1.4,0.32,0.5,1.4,0.327,0.5,0.8,0.679,1,1.7,0.3,0,1,1.1,2.8,2.254
1903,A.J. Hess,107,24.3,2.8,7,0.406,1.2,2.6,0.455,1.7,4.4,0.377,1.7,1.9,0.859,3.2,1,0.5,0.3,1.1,2.2,9,6.219
