ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER,ID,NAME
864,"A'Torey Everett",6,5.8,0.5,1.2,0.429,0.3,1,0.333,0.2,0.2,1,0.3,0.3,1,0.8,0.2,0,0,0.7,0.3,1.5,0.687,1477,"A'Torey Everett"
514,"A.C. Reid",71,20.3,1.9,5.8,0.327,0.5,1.3,0.382,1.4,4.6,0.312,0.4,0.6,0.714,2.2,1.3,0.5,0.1,1.3,2,5.6,3.171,3993,"A.C. Reid"
1498,"A.J. Astroth",44,15.7,1.3,3.3,0.397,1,2.2,0.479,0.3,1.1,0.24,0.9,1.5,0.597,3.2,0.4,0.5,0.1,0.6,1.6,3.8,3.851,196,"A.J. Astroth"
1723,"A.J. Cockrell",32,13.2,1.3,2.8,0.467,1.3,2.8,0.472,0,0,0,0.7,1.3,0.575,2.2,0.3,0.3,0.3,0.6,2.3,3.3,2.855,934,"A.J. Cockrell"
303,"A.J. Davis",57,21.5,2.2,5.7,0.383,1.7,4.1,0.416,0.5,1.6,0.301,2.2,3,0.757,4.1,1.7,0.6,0.4,1.7,1.9,7.1,5.831,1136,"A.J. Davis"
304,"A.J. Davis",119,26,3.5,7.8,0.452,2.5,4.5,0.55,1.1,3.3,0.322,2.3,3.2,0.72,3.4,1,1.3,0.2,1.8,1.5,10.4,6.473,1136,"A.J. Davis"
1903,"A.J. Hess",107,24.3,2.8,7,0.406,1.2,2.6,0.455,1.7,4.4,0.377,1.7,1.9,0.859,3.2,1,0.5,0.3,1.1,2.2,9,6.219,2137,"A.J. Hess"
381,"A.J. Jacobson",70,33,3.8,8.8,0.436,2.1,4.3,0.483,1.8,4.5,0.39,2.6,3.2,0.789,4.2,1.6,0.6,0.4,1.4,2.7,12,8.515,2374,"A.J. Jacobson"
454,"A.J. Lawson",9,18.9,3.4,8.1,0.425,2.7,5.8,0.462,0.8,2.3,0.333,1.3,2.3,0.571,3.4,1,0.8,0.3,1.6,2.1,9,5.223,2805,"A.J. Lawson"
2361,"A.J. Merriweather",95,24.4,3.2,6.7,0.481,2.7,5.5,0.497,0.5,1.1,0.404,2,2.9,0.708,5.3,1.2,1.2,0.2,1.8,2.4,8.9,8.066,3266,"A.J. Merriweather"
3699,"A.J. Mosby",8,25.4,2.3,8.1,0.277,1.5,4.3,0.353,0.8,3.9,0.194,0.8,1.1,0.667,3.9,1.8,1.9,0,1,1.8,6,5.584,3428,"A.J. Mosby"
1676,"A.J. Turner",36,28.1,2.3,6.2,0.375,1.3,2.7,0.464,1.1,3.5,0.307,0.9,1.4,0.673,3.8,2.2,0.8,0.4,0.9,1.3,6.7,7.225,4900,"A.J. Turner"
2518,"A.J. Wilson",21,4.2,0.7,1,0.75,0.7,0.9,0.737,0,0,1,0.2,0.4,0.5,1.3,0,0,0.4,0.4,0.4,1.7,1.965,5287,"A.J. Wilson"
140,"Aaren Edmead",62,15.9,1.4,4.1,0.343,0.6,1.7,0.343,0.8,2.4,0.342,1,1.4,0.718,0.9,1.3,0.5,0,1.2,1.5,4.6,1.899,1379,"Aaren Edmead"
1354,"Aaric Armstead",100,28.1,3.3,8.5,0.386,2.4,5.7,0.426,0.9,2.8,0.306,2.6,3.8,0.692,5,0.8,1.1,0.5,1.8,2,10.1,6.603,181,"Aaric Armstead"
945,"Aaron Anderson",92,31,3.5,6.7,0.528,3.5,6.5,0.537,0,0.2,0.188,1.2,2.7,0.455,8.1,0.9,0.7,0.5,1.2,2.5,8.3,10.402,135,"Aaron Anderson"
946,"Aaron Anderson",133,28.4,3.1,7.1,0.44,2,4.4,0.458,1.1,2.7,0.412,3.4,4.2,0.813,2.6,2.7,1.1,0.1,1.6,1.4,10.8,7.302,135,"Aaron Anderson"
947,"Aaron Anderson",62,19.4,1,2.5,0.414,0.7,1.6,0.44,0.3,0.8,0.365,0.9,1.3,0.691,2.4,1.9,0.6,0,1.5,2,3.2,3.883,135,"Aaron Anderson"
1340,"Aaron Ariri",59,8.8,0.6,1.5,0.437,0.6,1.4,0.447,0,0,0,0.4,0.8,0.457,2.4,0.1,0.1,0.2,0.5,1.2,1.6,2.33,179,"Aaron Ariri"
1563,"Aaron Augustin",7,20.4,1.1,3.3,0.348,1,2.6,0.389,0.1,0.7,0.2,0.7,1.1,0.625,1.9,2.9,0.6,0,1.7,2,3.1,3.447,205,"Aaron Augustin"
1976,"Aaron Bodager",77,16.4,1.5,3.6,0.425,0.3,0.5,0.611,1.3,3.2,0.398,0.3,0.4,0.765,2,0.8,0.4,0,0.7,1.3,4.7,3.977,463,"Aaron Bodager"
2773,"Aaron Brennan",69,19.1,2.2,4.8,0.459,2.1,4.4,0.474,0.1,0.4,0.296,1,1.3,0.772,3.3,0.9,0.5,0.3,1.2,2.4,5.5,4.819,550,"Aaron Brennan"
112,"Aaron Calixte",62,29.4,3.3,8,0.416,2.4,5.2,0.466,0.9,2.8,0.322,1.5,1.8,0.864,2.4,3,0.6,0.1,2.8,2.2,9.1,4.878,734,"Aaron Calixte"
739,"Aaron Carver",14,10.5,0.5,2,0.25,0.3,1.3,0.222,0.2,0.7,0.3,0.2,0.3,0.75,1.9,0.9,0.4,0.6,0.6,1.5,1.4,2.842,809,"Aaron Carver"
2225,"Aaron Cook",9,10.6,0.6,1.7,0.333,0.4,1.2,0.364,0.1,0.4,0.25,1.3,1.7,0.8,1.2,1.2,0.4,0.1,0.7,1.1,2.6,2.259,983,"Aaron Cook"
631,"Aaron Epps",50,9.8,1.6,3.1,0.529,1.3,2.3,0.574,0.3,0.8,0.395,0.3,0.3,0.813,2.2,0.3,0.2,0.3,0.6,1.7,3.8,3.608,1448,"Aaron Epps"
60,"Aaron Falzon",35,23,2.5,6.6,0.378,0.7,1.4,0.49,1.8,5.2,0.348,0.9,1.3,0.717,3.2,0.9,0.3,0.3,0.6,2.1,7.7,5.537,1485,"Aaron Falzon"
1012,"Aaron Foster-Smith",34,11.1,1.4,2.9,0.495,1.1,1.9,0.563,0.4,1,0.371,0.3,0.6,0.526,2.1,0.3,0.1,0.3,0.5,1.6,3.6,3.345,1601,"Aaron Foster-Smith"
2215,"Aaron Hines",31,15.1,1.3,4.3,0.303,1.1,3.1,0.347,0.2,1.2,0.189,0.8,1.2,0.694,1.3,1.6,0.4,0,1,1.5,3.6,1.787,2168,"Aaron Hines"
2428,"Aaron Holiday",42,30.3,3.8,8.8,0.43,2.4,5.8,0.409,1.4,3,0.469,2,2.8,0.729,3,4,1.3,0.2,2.8,3,11,8.01,2194,"Aaron Holiday"
2773,"Aaron Horne",9,12.7,1.4,3.6,0.406,1.2,2,0.611,0.2,1.6,0.143,0.7,0.7,1,2.3,0.8,0.7,0,1,1.4,3.8,3.201,2236,"Aaron Horne"
20,"Aaron Jackson",67,10.3,1,2.7,0.379,0.5,1,0.478,0.5,1.7,0.319,0.5,0.9,0.614,1.6,0.3,0.3,0.1,0.5,1.3,3.1,2.037,2337,"Aaron Jackson"
