ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,ID,NAME
4,"Mike Aaman",88,18.8,2.9,6.2,0.472,2.9,6.1,0.473,0,0,0,1.6,2.6,0.63,5.7,0.4,0.5,0.6,1.1,2.4,7.5,1,"Mike Aaman"
10,"Shaqquan Aaron",31,11.7,1.5,3.9,0.375,0.8,2,0.419,0.6,1.9,0.328,0.6,1,0.633,1.7,0.4,0.3,0.1,0.5,0.7,4.1,2,"Shaqquan Aaron"
43,"Hasan Abdullah",19,15.6,1.5,4.2,0.354,0.6,1.4,0.462,0.8,2.8,0.302,0.3,0.5,0.5,1.5,2,0.9,0,1.6,1.6,4.1,5,"Hasan Abdullah"
47,"Jordan Abdur-Ra'oof",55,12.9,1,3.2,0.316,0.6,1.6,0.356,0.4,1.5,0.274,0.3,0.5,0.552,2,0.4,0.5,0.2,0.5,1.5,2.7,6,"Jordan Abdur-Ra'oof"
49,"Bilal Abdur-Rahim",6,10.5,1.2,2.5,0.467,1,2.3,0.429,0.2,0.2,1,0,0.7,0,1.7,0.8,0.5,0,1.2,1.5,2.5,7,"Bilal Abdur-Rahim"
52,"Muhammad-Ali Abdur-Rahkman",74,24.6,2.6,6,0.432,1.9,3.8,0.493,0.7,2.1,0.323,1.1,1.4,0.757,2.3,1.4,0.6,0.1,0.9,1.6,6.9,8,"Muhammad-Ali Abdur-Rahkman"
90,"Kale Abrahamson",96,19.5,2.1,5.6,0.375,0.9,2.1,0.424,1.2,3.5,0.344,1,1.6,0.642,2.5,0.6,0.3,0.1,0.8,1.4,6.4,9,"Kale Abrahamson"
92,"DeAndre Abram",35,20.5,2.3,6.8,0.343,1.4,3.3,0.43,0.9,3.6,0.264,0.9,1.3,0.705,3.1,0.2,0.2,0.4,0.7,1.4,6.5,10,"DeAndre Abram"
104,"Tracy Abrams",113,26.8,2.9,7.7,0.383,2.2,5.1,0.423,0.8,2.6,0.302,2.2,2.9,0.748,3.1,2.9,1.1,0.1,2,2.2,8.8,12,"Tracy Abrams"
110,"Tim Abruzzo",47,17.6,2.1,5.8,0.359,0.9,2,0.446,1.2,3.9,0.315,0.7,1.1,0.68,3,0.9,0.9,0.2,0.8,0.7,6.1,13,"Tim Abruzzo"
113,"Abdul-Malik Abu",77,24,3.8,7.7,0.489,3.7,7.6,0.493,0,0.1,0.143,2.4,3.8,0.626,6.8,0.9,0.3,0.7,1.5,2.5,9.9,14,"Abdul-Malik Abu"
135,"Kris Acox",92,24.4,3.1,5.3,0.592,3.1,5.3,0.593,0,0,0,1.2,2.4,0.525,6.3,0.5,0.7,0.4,1.3,2.4,7.5,16,"Kris Acox"
149,"Ako Adams",8,9.4,0.3,2.4,0.105,0.1,1.1,0.111,0.1,1.3,0.1,0.5,0.5,1,0.5,1.5,0.1,0,1.3,1.5,1.1,19,"Ako Adams"
152,"Andre Adams",36,10.8,0.4,1.3,0.333,0.4,0.9,0.406,0.1,0.4,0.154,0.4,0.6,0.762,0.6,1,0.6,0,0.9,1.2,1.3,20,"Andre Adams"
171,"Christian Adams",16,5.7,0.6,1.8,0.31,0.6,1.6,0.346,0,0.2,0,0.4,0.6,0.6,0.4,0.4,0.2,0,0.8,0.4,1.5,21,"Christian Adams"
182,"Eric Adams",38,6.3,0.6,1.2,0.468,0.6,1.2,0.478,0,0,0,0.5,0.8,0.594,1.8,0.3,0.2,0.6,0.4,1.6,1.7,23,"Eric Adams"
189,"Jalen Adams",14,4.4,0.6,1.6,0.348,0.4,0.9,0.417,0.2,0.8,0.273,0.4,0.5,0.714,0.1,0.2,0.2,0,0.1,0.4,1.7,24,"Jalen Adams"
190,"Jalen Adams",44,25.8,3.7,8.3,0.444,3.2,6.7,0.47,0.5,1.5,0.328,1.4,1.8,0.775,3,3,1.1,0.3,2,1.8,9.2,24,"Jalen Adams"
193,"Jaylen Adams",60,35.6,4.5,10.3,0.434,2.1,4.3,0.49,2.4,6.1,0.394,4.4,5.3,0.836,3.3,5,1.4,0.2,2.5,2.5,15.8,25,"Jaylen Adams"
208,"Louis Adams",6,9,1.7,3.8,0.435,1.5,2.8,0.529,0.2,1,0.167,1,1.3,0.75,1.7,0.8,0.3,0.2,0.7,1.3,4.5,26,"Louis Adams"
212,"Marlon Adams",10,16.2,1.8,3.9,0.462,1.7,3.7,0.459,0.1,0.2,0.5,0.9,2,0.45,4.6,0.6,0.2,0.1,1.2,2.3,4.6,27,"Marlon Adams"
221,"Rio Adams",24,3.5,0.4,1,0.4,0.3,0.8,0.4,0.1,0.2,0.4,0.2,0.5,0.385,0.3,0.3,0.3,0,0.5,0.6,1.1,28,"Rio Adams"
224,"Stephaun Adams",10,14.8,0.8,3.2,0.25,0.5,1.8,0.278,0.3,1.4,0.214,1,1.2,0.833,3.1,2.1,1.1,0,1.3,1.4,2.9,29,"Stephaun Adams"
232,"Will Adams",27,12.5,0.7,2.4,0.297,0.4,1.1,0.4,0.3,1.3,0.206,0.2,0.4,0.5,1.2,0.4,0.3,0.1,0.8,1.3,1.9,30,"Will Adams"
233,"Will Adams",81,10.8,0.8,2.3,0.339,0.2,0.5,0.395,0.6,1.8,0.322,0.2,0.3,0.8,0.9,0.5,0.3,0,0.4,0.9,2.4,30,"Will Adams"
236,"Xavier Adams",71,12.8,1.3,2.8,0.468,1.1,2,0.563,0.2,0.8,0.228,1.2,1.8,0.641,2.2,0.7,0.4,0.2,0.9,2.1,4,31,"Xavier Adams"
262,"Jubril Adekoya",112,19.9,2.1,4.2,0.5,1.8,3.5,0.519,0.3,0.7,0.403,1.3,2,0.659,4,0.9,0.7,0.2,1.3,2.4,5.8,34,"Jubril Adekoya"
265,"Deng Adel",31,16.7,2,5.1,0.401,1.5,3.5,0.439,0.5,1.6,0.32,1.2,1.5,0.766,2.8,1.1,0.5,0.1,1.1,1.4,5.7,35,"Deng Adel"
273,"J.T. Adenrele",100,19.9,3.1,5.9,0.532,3.1,5.8,0.532,0,0,0.5,1.7,2.6,0.636,4.3,0.7,0.5,0.9,1.7,3.1,7.9,37,"J.T. Adenrele"
293,"Quinton Adlesh",11,17,1.8,4.6,0.392,0.7,1.6,0.444,1.1,3,0.364,0.6,0.8,0.778,1.8,2.4,0.5,0,0.6,1.2,5.4,39,"Quinton Adlesh"
