ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Oliver Caballero,40,,0.7,1.7,0.388,0.7,1.7,0.388,0,0,,0.6,0.9,0.667,1.3,0.5,0.2,0,1.1,,1.9
2,Dimitrije Cabarkapa,55,13.1,2.5,5.3,0.474,1.5,2.7,0.57,1,2.6,0.373,0.7,0.8,0.87,2.7,0.2,0.1,0.1,0.8,1,6.7
3,Milos Cabarkapa,30,3.7,0.4,0.7,0.591,0.4,0.7,0.591,0,0,,0.4,0.6,0.632,1.1,0,0,0.1,0.3,0.6,1.3
4,Lovell Cabbil,39,28.9,2.8,7.6,0.374,1.4,3.4,0.424,1.4,4.2,0.333,1.7,2.1,0.829,3.1,2.4,1.4,0.3,2.1,2.6,8.8
5,Shamile Cabell,61,17.2,2.5,6.5,0.382,1.7,4.4,0.385,0.8,2.1,0.375,2,2.8,0.706,1.3,1.7,0.6,0.1,1.7,2.4,7.7
6,Jahir Cabeza,10,22.9,2.7,7.6,0.355,1,2.2,0.455,1.7,5.4,0.315,1.4,2.4,0.583,4.4,2.3,1.3,1.8,1.2,2.4,8.5
7,Jason Cable,106,,3.4,8.3,0.409,2.4,5.1,0.47,1,3.2,0.313,1.2,1.8,0.661,2.4,1.8,1.4,0.2,,,9
8,Frankie Cabrera,15,,0.4,1.3,0.3,0.3,0.8,0.417,0.1,0.5,0.125,0.1,0.2,0.333,0.2,0.4,0.1,0,,,0.9
9,Kris Cabrera,6,,0.2,0.7,0.25,0.2,0.5,0.333,0,0.2,0,0,0,,0.2,0,0,0,,,0.3
10,Ricky Cabrera,49,,2.6,7.1,0.363,1.6,3.6,0.433,1,3.5,0.291,0.6,0.8,0.718,1.5,1.6,0.4,0,,,6.8
11,Rico Cabrera,28,,0.9,2.5,0.377,0.7,1.6,0.413,0.3,0.8,0.304,1,1.4,0.763,1.6,0.5,0.6,0,,,3.1
12,Ruben Cabrera,94,16.2,2.3,5,0.453,1.8,3.6,0.49,0.5,1.3,0.352,1.3,2,0.636,3.3,0.4,0.1,0.1,1.4,2.1,6.2
13,Edwin Caceres,7,,0.4,1.1,0.375,0.3,0.9,0.333,0.1,0.3,0.5,0.3,0.4,0.667,0.9,0,0.1,0,,,1.3
14,Devontae Cacok,37,12.6,2.5,3.4,0.717,2.5,3.4,0.717,0,0,,0.7,1.5,0.482,4.4,0.2,0.5,0.5,0.7,2.4,5.6
15,Ricky Cadell,116,33.3,4.8,11.6,0.409,2.8,6.2,0.459,1.9,5.4,0.352,2.8,3.8,0.725,3.3,2.2,1.1,0,2.7,1.2,14.2
16,Olivier Cadieux,8,11,0.8,2,0.375,0.5,1.4,0.364,0.3,0.6,0.4,0.3,0.5,0.5,1.5,0.5,0.1,0,0.8,1.4,2
17,J.R. Cadot,65,27.8,3.6,6.3,0.566,3.2,5.2,0.616,0.3,1,0.313,2.4,3.7,0.642,6.5,1.2,1.3,0.5,1.2,2.5,9.8
18,Junior Cadougan,117,23.2,2,4.8,0.407,1.8,3.9,0.456,0.2,1,0.217,1.5,2.2,0.68,2.1,3.7,0.8,0.1,2,1.7,5.6
19,Jo Jo Cadray,9,,0.1,0.7,0.167,0.1,0.4,0.25,0,0.2,0,0.3,0.4,0.75,0.2,0.6,0.3,0,,,0.6
20,Matt Cadwell,59,,4.4,11.4,0.388,3.1,7.6,0.406,1.4,3.8,0.354,3.4,4.3,0.792,3.3,2.9,0.9,0.1,,,13.6
21,Jason Caffey,119,24.3,4.1,8.1,0.509,4.1,7.9,0.514,0,0.2,0.222,2.2,3.8,0.578,6.3,1,0.6,0.6,2.4,2.4,10.4
22,Mike Caffey,132,30.3,4.5,10.8,0.416,3.2,6.8,0.466,1.3,4,0.333,2.1,3.2,0.668,3.8,3.5,1.3,0.1,2.4,1.9,12.5
23,Calvin Cage,121,,3.3,8.9,0.371,1.5,3.8,0.391,1.8,5.1,0.357,2.4,3,0.821,1.9,1.4,1,0,,,10.9
24,Dan Cage,125,,1.9,4.3,0.433,0.6,1.2,0.449,1.3,3.1,0.426,1,1.1,0.872,1.6,1.2,0.6,0.1,,,6
25,Ed Cage,57,,2.1,4.6,0.456,2.1,4.5,0.456,0,0,0.5,1.2,1.6,0.755,3.2,0.8,0.4,0.3,,,5.4
26,Eddie Cage,64,,3.2,7.5,0.429,3.2,7.4,0.43,0,0.1,0.333,1.7,2.5,0.667,5,1,0.6,0.3,,,8.1
27,Gary Cage,10,,0.1,0.3,0.333,0,0.1,0,0.1,0.2,0.5,0.2,0.3,0.667,0.1,0.5,0.1,0,0.3,,0.5
28,Greg Cage,20,4.1,0.4,0.9,0.412,0.3,0.5,0.6,0.1,0.4,0.143,0.1,0.3,0.4,0.3,0.1,0.1,0,0.3,0.1,0.9
29,Justin Cage,131,,2.9,5.4,0.543,2.6,4.6,0.578,0.3,0.8,0.343,2.9,4,0.734,4.9,1.4,0.8,0.4,,,9
30,Lawrence Cage,13,,0.8,1.8,0.478,0.5,1.2,0.467,0.3,0.6,0.5,0.8,1,0.846,1.1,0.4,0.2,0,0.8,,2.8
31,Michael Cage,112,38.1,6.1,11.1,0.548,,,,,,,4.4,6,0.732,11.8,0.9,1.1,1.1,2.1,1.8,16.5
32,Moses Cage,58,,1.6,4.2,0.388,1.3,3.2,0.398,0.4,1,0.356,1.9,2.5,0.755,3.1,3.6,1.6,0,,,5.6
33,Troy Cage,53,11.5,1.1,3.3,0.328,0.7,1.9,0.37,0.4,1.5,0.273,0.7,1.1,0.638,2.2,0.7,0.4,0.2,1,0.6,3.3
34,Albert Cager,9,,0.1,0.3,0.333,0.1,0.3,0.333,0,0,,0,0.1,0,0.2,0.7,0.1,0,,,0.2
35,Carter Cagle,21,1.1,0,0.2,0.25,0,0,,0,0.2,0.25,0,0,,0.1,0.1,0,0,0,0.1,0.1
36,Drew Cagle,24,,1.3,2.7,0.462,1.1,2.2,0.509,0.1,0.5,0.25,0.9,1.5,0.583,2.2,0.6,0.4,0.1,,,3.5
37,Justin Cagle,7,,0.1,0.1,1,0.1,0.1,1,0,0,,0,0,,0.3,0.1,0.1,0.1,,,0.3
38,Gabe Cagwin,40,,1.2,4.5,0.264,0.3,1.1,0.262,0.9,3.4,0.265,0.2,0.4,0.571,1,1.1,0.8,0,,,3.5
39,Gabe Cagwin,17,,2.5,6.2,0.406,0.6,1.7,0.379,1.9,4.5,0.416,0.3,0.4,0.714,1.4,1,1.2,0,,,7.2
40,Ryan Cahak,4,,0,0.5,0,0,0.5,0,0,0,,0,0,,0,0,0,0,0,,0
41,John Cahill,54,13.6,0.6,1.5,0.443,0.1,0.3,0.4,0.5,1.2,0.453,0.3,0.4,0.789,1.2,0.4,0.4,0.1,0.3,0.7,2.1
42,Bill Caiazzo,12,,0.5,1.8,0.273,0.5,1.8,0.273,0,0,,0.1,0.1,1,2,0.3,0.1,0.4,,,1.1
43,Damiene Cain,7,7.4,0.4,0.6,0.75,0.4,0.6,0.75,0,0,,0.3,0.6,0.5,1.3,0,0,0.3,1.1,0.9,1.1
44,Donnells Cain,1,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,,,0
45,Eli Cain,38,28.8,4.1,9,0.456,3,6.4,0.465,1.1,2.6,0.434,2.7,4,0.669,3.3,1.7,0.7,0.3,2.1,2.7,12
46,Ferdinand Cain,97,,1.1,2.4,0.457,1.1,2.4,0.459,0,0,0,0.8,1.4,0.621,1.7,0.3,0.2,0.7,,,3
47,Jason Cain,111,,1.8,3.7,0.474,1.7,3.6,0.487,0,0.1,0.133,1.4,2.1,0.68,4.8,0.5,0.4,0.5,,,4.9
48,Kyle Cain,92,25,4,8.3,0.484,3.9,7.9,0.492,0.1,0.3,0.281,1.4,2.1,0.693,6.7,0.8,0.5,0.3,1.7,2.3,9.5
49,Morris Cain,45,,0.2,0.3,0.643,0.2,0.3,0.692,0,0,0,0,0.1,0.5,0.2,0,0,0,0.1,,0.4
50,Norm Cain,12,,0.8,2.8,0.294,0.5,1.8,0.286,0.3,1.1,0.308,0.6,0.7,0.875,2.5,0.4,0.5,0.6,,,2.6
