ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mike Gabbard,12,3.7,0.1,0.2,0.5,0.1,0.1,1,0,0.1,0,0.1,0.2,0.5,0,0.4,0.3,0,0.3,0.3,0.3
2,Stephen Gabbard,7,,0.6,2.3,0.25,0.4,0.7,0.6,0.1,1.6,0.091,0.3,0.3,1,1,0.6,0,0,,,1.6
3,Travis Gabbidon,46,,4.2,10.4,0.408,3.2,6.9,0.462,1.1,3.5,0.302,3.5,4.8,0.716,6.2,1.6,1.3,0.4,2.4,,13
4,Randy Gabler,56,,0.9,2.3,0.408,0.9,2,0.438,0.1,0.3,0.222,0.4,0.8,0.558,1.9,0.8,0.3,0.5,,,2.4
5,Desire Gabou,26,,0.1,0.3,0.25,0.1,0.3,0.286,0,0,0,0,0.1,0,0.2,0.1,0,0,0.2,,0.2
6,Andrew Gabriel,122,19.6,1.9,4.7,0.407,1.9,4.7,0.409,0,0,0,0.9,1.9,0.472,3.8,0.8,0.6,0.6,1.7,1.2,4.7
7,Chris Gabriel,57,15.8,1.8,3.8,0.484,1.8,3.8,0.484,0,0,,0.9,1.4,0.65,2.9,0.2,0.2,0.3,1,1.6,4.6
8,Keith Gabriel,124,26.1,5.3,12.7,0.417,2.8,5.1,0.539,2.5,7.5,0.333,2.5,3.6,0.682,3.1,1.4,1.7,0.8,1.9,1.8,15.5
9,Kenny Gabriel,83,23.7,3.4,8,0.427,2.4,4.7,0.505,1,3.3,0.314,1.3,1.9,0.673,5.2,0.6,0.8,1.3,1.6,2.3,9.1
10,Logan Gabriel,6,,0,0,,0,0,,0,0,,0,0,,0,0.2,0.2,0,,,0
11,Lucas Gabriel,12,,0.2,0.8,0.2,0,0.1,0,0.2,0.8,0.222,0,0,,0.1,0.2,0.1,0,,,0.5
12,Matt Gabriel,52,,0.7,2.4,0.293,0.3,0.8,0.385,0.4,1.6,0.25,0.8,1.2,0.661,1,1.4,0.6,0,,,2.6
13,Mike Gabriel,7,8.3,1,2.3,0.438,1,2.3,0.438,0,0,,0.7,1.4,0.5,1.7,0.1,0.1,0,0.3,1.7,2.7
14,Wenyen Gabriel,9,21.2,2.8,5.2,0.532,2.4,3.8,0.647,0.3,1.4,0.231,1.3,1.7,0.8,6,1.6,0.6,0.9,1,2.8,7.2
15,Williams Gabriel,45,9.9,0.5,1.1,0.469,0.5,1.1,0.469,0,0,,0.4,0.7,0.6,1.7,0,0.2,0.6,0.7,2.1,1.4
16,Jonathon Gac,35,6.1,0.8,1.3,0.596,0.8,1.3,0.596,0,0,,0.3,0.7,0.435,1.3,0.2,0.2,0,0.5,0.8,1.9
17,Nikola Gacesa,112,19.6,2.1,5.1,0.411,1.7,4,0.42,0.5,1.2,0.383,1.3,1.7,0.774,3.1,0.5,0.4,0.3,1.1,0.3,6
18,Abdul Gaddy,118,27.2,2.9,6.8,0.428,2.3,5,0.469,0.6,1.9,0.317,1.2,1.9,0.662,2.4,4,0.7,0.2,2.2,2.5,7.7
19,Chris Gadley,84,,1.5,3.7,0.414,1.5,3.5,0.424,0.1,0.3,0.292,1.1,1.9,0.553,4.5,0.4,0.3,0.8,2.1,,4.2
20,Harel Gadot,62,,0.8,2.8,0.293,0.4,1.1,0.377,0.4,1.7,0.238,0.6,0.8,0.784,1,1.4,0.5,0.1,,,2.7
21,Dee Gadsden,29,,0.7,2,0.328,0.4,1.2,0.382,0.2,0.8,0.25,0.3,0.7,0.526,0.8,0.4,0.1,0.1,,,1.9
22,Kinard Gadsden-Gilliard,65,27.8,2.8,7.1,0.399,2.4,5.6,0.419,0.5,1.5,0.323,2,2.7,0.736,4.5,2.2,0.8,0.3,2.2,3,8.2
23,Cheyne Gadson,62,,2.2,5.5,0.402,1.8,4.5,0.406,0.4,1,0.381,1.3,1.8,0.693,2.5,2.8,0.7,0.1,,,6.1
24,Novar Gadson,127,26.5,4.3,9.3,0.456,3.4,6.5,0.517,0.9,2.8,0.318,2.2,3.1,0.711,5.7,1.8,0.8,0.7,2.5,1.9,11.6
25,Dan Gadzuric,122,24.1,4.5,8.2,0.549,4.5,8.2,0.549,0,0,0,1.6,3.5,0.449,6.6,0.6,0.7,1.5,1.8,2.8,10.5
26,Drew Gaeng,11,,0,0.3,0,0,0.2,0,0,0.1,0,0.4,0.4,1,0.3,0.3,0,0,,,0.4
27,Sal Gaetani,12,,0.1,0.3,0.333,0.1,0.3,0.333,0,0,,0,0,,0.1,0.1,0,0,,,0.2
28,Phil Gaetano,123,30.7,1.6,4.5,0.355,0.5,1.4,0.36,1.1,3.1,0.352,1.1,1.2,0.867,2.6,5.9,0.9,0.1,2.9,1.9,5.4
29,Robert Gaffey,1,,0,0,,0,0,,0,0,,0,0,,1,1,0,0,,,0
30,Scott Gaffield,104,,1.4,3.8,0.356,0.5,1.3,0.418,0.8,2.5,0.324,0.4,0.6,0.75,1.9,0.9,0.6,0.2,,,4
31,Greg Gaffney,118,,0.6,1.7,0.382,0.2,0.7,0.329,0.4,1,0.419,0.6,0.8,0.766,1.4,2.4,0.5,0,,,2.3
32,Tony Gaffney,111,,2.2,4.6,0.474,2,3.9,0.522,0.2,0.7,0.22,1.1,1.9,0.589,5.5,1,1.2,1.8,1.2,,5.6
33,Arthur Gage,21,5.5,0.1,0.4,0.375,0.1,0.4,0.375,0,0,,0.2,0.4,0.625,0.8,0,0.1,0.5,0.2,1.2,0.5
34,Devin Gage,7,7.9,1,1.9,0.538,1,1.3,0.778,0,0.6,0,0.7,0.9,0.833,0.6,0.4,0.4,0.3,0.6,1.1,2.7
35,John Gage,121,10.8,1.4,3.4,0.407,0.4,1,0.458,1,2.5,0.387,0.5,0.6,0.833,1.6,0.3,0.3,0.2,0.5,1.3,4.2
