ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jason Iacona,26,,0.2,0.6,0.25,0.2,0.6,0.25,0,0,,0.2,0.3,0.556,0.2,0,0,0,,,0.5
2,Anthony Ianni,27,1.6,0.1,0.2,0.4,0.1,0.2,0.4,0,0,,0,0.1,0.5,0.4,0.1,0,0,0.1,0.2,0.2
3,Andres Iarrazabel,46,,0.6,1.4,0.413,0.6,1.4,0.413,0,0,,0.5,0.9,0.5,2,0.4,0.2,0.4,0.3,,1.6
4,Jacob Iati,112,20,1.8,4.5,0.401,0.4,1.1,0.403,1.4,3.4,0.401,0.9,1.1,0.806,1.2,1,0.6,0,0.8,0.9,5.8
5,Jon Iati,129,,2.9,7.8,0.368,1.1,2.8,0.397,1.8,5,0.352,1.3,1.7,0.796,1.6,1.7,0.6,0,1.4,,8.9
6,Marc Iavaroni,110,29.7,4.2,8.5,0.49,,,,,,,3,4.4,0.682,6.5,,,,,,11.3
7,Igor Ibaka,7,3.3,0.1,0.3,0.5,0.1,0.3,0.5,0,0,,0.6,1.1,0.5,1.1,0,0.1,0,0.3,0.3,0.9
8,Josh Ibarra,56,19.2,3.7,5.9,0.623,3.7,5.9,0.623,0,0,,1,1.9,0.514,6.5,0.8,0.3,1.6,1.4,3.1,8.4
9,Prince Ibeh,135,13.1,1.2,2.1,0.557,1.2,2.1,0.559,0,0,0,0.6,1.5,0.432,3.4,0.1,0.3,1.6,0.8,2.5,3
10,Ekene Ibekwe,127,,3.2,6.7,0.477,3.1,6.4,0.488,0.1,0.3,0.237,2.3,3.8,0.595,6.1,0.7,0.9,1.8,,,8.7
11,Onye Ibekwe,51,,1.6,3.6,0.435,1.6,3.6,0.435,0,0,,1.3,2.6,0.485,4.6,0.4,0.6,0.2,,,4.4
12,Kris Ibezim,5,,1,2.2,0.455,1,2.2,0.455,0,0,,1.2,2.4,0.5,2.8,0,0.4,1,,,3.2
13,Sam Ibiezugbe,9,8.1,0.8,1.8,0.438,0.8,1.8,0.438,0,0,,0,0,,2.1,0,0.1,0.8,0.3,1,1.6
14,Femi Ibikunle,125,,1.5,3.5,0.428,1.5,3.5,0.428,0,0,,1.1,2.5,0.434,4.3,0.4,0.4,0.3,,,4
15,Adedeji Ibitayo,102,14.8,1.9,4.4,0.424,1.1,2.3,0.496,0.7,2.1,0.347,1.4,2,0.66,2.3,0.7,0.5,0.3,0.9,1.5,5.9
16,Idong Ibok,108,,0.3,0.6,0.583,0.3,0.6,0.583,0,0,,0.2,0.5,0.52,1.4,0.1,0.1,0.5,0.4,,0.9
17,Ahmad Ibrahim,33,18.6,2.3,6.3,0.37,1.5,3.6,0.417,0.8,2.7,0.307,0.7,1,0.719,1.9,1,0.5,0.5,1.1,1.8,6.2
18,Mohammed Ibrahim,10,,0.6,1.3,0.462,0.3,0.3,1,0.3,1,0.3,0,0,,0.6,0.4,0.2,0.3,,,1.5
19,Yassin Idbihi,122,,4.4,9.5,0.466,3.9,7.8,0.501,0.5,1.7,0.308,3,3.9,0.775,6.9,1.5,0.6,0.8,,,12.4
20,Martin Ides,103,,2.5,5.6,0.439,2.4,5.4,0.443,0.1,0.2,0.333,1.5,2.2,0.664,3.9,0.8,0.3,0.7,,,6.4
21,Chad Ideus,10,,0.9,1.6,0.563,0.4,0.7,0.571,0.5,0.9,0.556,0.4,0.4,1,1.5,0.4,0.2,0.3,,,2.7
22,Steven Idlet,132,23.8,2.8,5.3,0.517,2.7,5.3,0.517,0,0,0.5,2.5,3.4,0.715,5,0.8,0.5,0.9,1.3,2.1,8
23,Samuel Idowu,32,6.9,1.1,2.3,0.486,0.8,1.5,0.531,0.3,0.7,0.391,0.2,0.4,0.429,1.5,0.2,0.1,0.2,0.5,1.3,2.7
24,Idris Ibn Idris,1,3,0,0,,0,0,,0,0,,0,0,,2,0,0,0,0,0,0
25,Teslim Idris,29,11.5,0.9,1.8,0.481,0.7,1.4,0.5,0.2,0.4,0.417,0.2,0.6,0.438,1.4,0.3,0.3,0.2,0.5,1.4,2.1
26,Younes Idrissi,57,,2,5,0.401,2,4.9,0.406,0,0.1,0,1.1,1.7,0.625,3,0.3,0.6,1.1,,,5.1
27,Osahen Iduwe,28,2.9,0.1,0.3,0.286,0.1,0.3,0.286,0,0,,0.2,0.4,0.5,0.3,0,0.1,0.1,0.1,0.7,0.3
28,Charles Ieans,58,13.3,1.3,3.3,0.387,0.9,2.3,0.407,0.3,1,0.339,0.5,0.9,0.549,2.1,0.4,0.2,0.4,0.7,1.8,3.4
29,Ude Ifeanyichukwu,17,3,0.2,0.4,0.429,0.2,0.4,0.429,0,0,,0.2,0.3,0.6,0.7,0.1,0.1,0.3,0.1,0.6,0.5
30,Martins Igbanu,7,13.1,1.7,3.3,0.522,1.7,3.1,0.545,0,0.1,0,1.4,2.9,0.5,3.7,0,0,0.3,1.9,1.9,4.9
31,Urule Igbavboa,119,,3.5,6.6,0.536,3.4,6.2,0.555,0.1,0.4,0.264,2.7,4.4,0.625,5.9,1.5,0.6,0.6,2.2,,9.9
32,Emmanuel Igbinosa,27,10,1.3,2.9,0.456,0.8,1.3,0.618,0.6,1.7,0.333,0.4,0.7,0.556,1.2,0.3,0.2,0.1,0.6,0.7,3.6
33,Mantas Ignatavicius,75,,2.3,6,0.392,1.8,3.9,0.454,0.6,2.1,0.273,2.3,2.8,0.802,4.1,2.5,1.7,0.1,,,7.5
34,Michal Ignerski,62,,3.5,7.6,0.456,2.5,4.8,0.523,0.9,2.8,0.339,1,1.5,0.711,4.2,1,0.6,0.3,,,8.9
35,Jovan Ignjatovic,72,,0.7,1.7,0.398,0.7,1.4,0.461,0,0.3,0.095,0.4,0.5,0.763,1.4,0.1,0.3,0.2,0.4,,1.8
36,Shaun Igo,94,,4.8,9.4,0.509,4.8,9.3,0.512,0,0.1,0,2.8,3.9,0.712,6.3,0.6,0.5,0.8,,,12.3
37,Andre Iguodala,62,25.4,3.3,7.8,0.424,2.8,5.9,0.473,0.5,1.9,0.274,2.5,3.3,0.738,6.6,3.4,1.5,0.5,,,9.6
38,Frank Iguodala,55,,0.6,1.2,0.508,0.6,1.2,0.508,0,0,,0.3,0.5,0.533,1.9,0.4,0.2,0.3,,,1.5
39,Josh Ihde,29,,0.5,1.2,0.429,0.4,0.9,0.423,0.1,0.3,0.444,0.3,0.5,0.571,1.2,0.1,0.1,0,,,1.4
40,Ugo Ihekweazu,61,,0.9,1.8,0.523,0.9,1.8,0.523,0,0,,0.4,0.9,0.436,2.1,0.4,0.4,0.2,,,2.2
41,Richard Ijeh,52,,1.3,3.4,0.369,0.7,1.6,0.434,0.6,1.8,0.313,0.6,0.9,0.673,1.4,1.2,0.5,0,,,3.8
42,Anthony Ike,32,,2.3,5.8,0.4,1.7,4.5,0.379,0.6,1.3,0.475,2.2,3.4,0.627,4.7,0.7,0.5,0.1,1.4,,7.4
43,Earl Ike,5,,0.2,0.8,0.25,0.2,0.8,0.25,0,0,,0.4,0.4,1,0.8,0,0.2,0,,,0.8
44,Jibrahn Ike,59,,3.9,8.8,0.443,2.7,5.6,0.482,1.2,3.2,0.376,3.1,3.6,0.845,3.2,1.4,1.3,0.1,,,12.1
45,Andy Ikeakor,29,,0.7,2.3,0.313,0.7,2.3,0.313,0,0,,0.4,0.9,0.48,2.4,0.4,0.4,0.1,,,1.9
46,Obi Ikeakor,35,4,0.9,1.9,0.5,0.9,1.7,0.508,0.1,0.1,0.4,0.5,0.7,0.692,1.4,0.1,0.2,0.1,0.8,0.1,2.5
47,Chy Chy Ikenokwalu,16,,0.6,1.1,0.588,0.6,1.1,0.588,0,0,,0.3,0.7,0.455,1.3,0.2,0.1,0.3,,,1.6
48,Emeka Ikezu,29,4,0.2,0.4,0.583,0.2,0.4,0.583,0,0,,0.1,0.3,0.3,0.8,0,0.1,0.1,0.3,1.4,0.6
49,Joe Ikhinmwin,59,18.3,2.5,5.1,0.485,2.4,5,0.485,0.1,0.1,0.5,0.9,1.5,0.621,3.1,0.5,0.3,0.3,1.4,2.5,5.9
50,Adida Ikongshul,6,9.3,0,1,0,0,1,0,0,0,,0,0.5,0,3,0,0,0,0.3,1.5,0
51,Denis Ikovlev,57,,1.7,3.5,0.485,0.7,1.2,0.577,1,2.2,0.433,0.5,0.6,0.765,2.7,0.7,0.2,0.4,,,4.8
52,Guy Ikpah,7,,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,,,0
53,Amadi Ikpeze,8,9,0.5,2.3,0.222,0.5,2.3,0.222,0,0,,0.8,0.8,1,2,0,0.4,0.6,0.4,2.5,1.8
54,Christopher Ikuenobe,27,7.7,0.9,1.6,0.523,0.9,1.6,0.523,0,0,,0.4,0.8,0.545,1.1,0.3,0.1,0.3,0.4,1.2,2.1
55,Chris Iles,61,28.2,1.8,5.2,0.352,0.9,2.7,0.348,0.9,2.5,0.358,1.4,1.8,0.796,1.5,2.7,0.7,0,1.8,1.1,5.9
56,Trian Iliadis,122,17.4,1.8,4.8,0.368,0.8,1.6,0.487,1,3.1,0.307,0.6,0.9,0.714,1.5,1.3,0.8,0.1,0.9,0.8,5.1
57,Miroslav Ilic,55,,1,3.1,0.324,0.2,0.7,0.282,0.8,2.4,0.336,1,1.4,0.684,1.1,0.6,0.4,0,,,3.8
58,Sam Illedge,17,,0.1,0.4,0.167,0.1,0.2,0.333,0,0.2,0,0.2,0.2,1,0.1,0.1,0.1,0,,,0.3
59,Alex Illikainen,43,10.4,0.7,1.9,0.373,0.5,1.1,0.417,0.3,0.8,0.314,0.3,0.5,0.682,1.7,0.4,0.2,0.1,0.3,0.9,2
60,Dave Ilnicki,6,,0.2,0.3,0.5,0.2,0.3,0.5,0,0,,0,0,,0.3,0,0,0,,,0.3
61,Chuka Iloegbu,58,,1.1,3.2,0.342,0.7,1.9,0.375,0.4,1.3,0.293,0.7,1.1,0.594,1.8,0.7,0.3,0,1.1,,3.2
62,Priit Ilver,37,,0.9,2.4,0.378,0.5,1.3,0.408,0.4,1.1,0.341,0.3,0.4,0.667,1.4,0.3,0.4,0.4,,,2.5
63,Ilya Ilyayev,12,2.8,0.2,0.4,0.4,0,0.1,0,0.2,0.3,0.5,0,0.2,0,0.5,0,0,0,0.2,0.3,0.5
64,Sean Imadiyi,72,7.5,0.8,1.6,0.522,0.8,1.6,0.522,0,0,,0.3,0.6,0.435,1.4,0.2,0.2,0.2,0.5,0.3,1.9
65,Etoile Imama,2,,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0,0,,1,0.5,0,0,0,,1.5
66,Korab Imami,5,2.6,0.2,0.2,1,0.2,0.2,1,0,0,,0,0,,0.6,0,0.2,0,0,0.8,0.4
67,David Imes,112,25,2.4,5.8,0.42,2.1,4.4,0.466,0.4,1.3,0.267,1,1.6,0.672,5,0.7,0.8,0.8,1.1,2,6.3
68,David Inabnit,28,,1,3,0.333,0.6,1.6,0.4,0.4,1.4,0.256,0.4,0.5,0.846,1.1,0.9,0.3,0.1,,,2.8
69,Bassey Inameti,112,13.8,1.4,2.6,0.544,1.4,2.6,0.548,0,0,0,0.8,1.3,0.589,2.1,0.4,0.2,0.9,1,1.9,3.6
70,Charlie Inclan,7,2,0.3,1.6,0.182,0.3,1.3,0.222,0,0.3,0,0.1,0.3,0.5,0.6,0.3,0.1,0,0.3,0,0.7
71,Cole Indestad,70,,0.3,0.6,0.467,0.3,0.6,0.467,0,0,,0.2,0.3,0.545,0.9,0.2,0.1,0,,,0.8
72,Jared Ines,5,,0.6,0.6,1,0.6,0.6,1,0,0,,0.4,1.2,0.333,0,0,0,0,,,1.6
73,James Inge,15,,0.3,0.7,0.5,0.3,0.6,0.556,0,0.1,0,0.1,0.3,0.2,0.7,0.1,0.2,0.1,,,0.7
