ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ibrahim Jaaber,114,,4.9,9.8,0.497,3.7,6.3,0.595,1.1,3.5,0.323,2.5,3.5,0.7,3.8,2.8,2.7,0.5,,,13.3
2,Jacob Jaacks,60,,3.1,6.4,0.486,2.6,4.9,0.52,0.6,1.5,0.374,2.7,4.4,0.617,5.8,0.9,0.4,0.3,,,9.5
3,S Jabali,5,,0.2,0.6,0.333,0,0.2,0,0.2,0.4,0.5,1,1.6,0.625,0.2,0.2,0,0,,,1.6
4,Ishaq Jabbar,2,,0,1.5,0,0,0.5,0,0,1,0,0,2.5,0,4,1,0,0,,,0
5,Mahamoud Jabbi,62,31.1,3.3,6.9,0.48,2.8,5.4,0.509,0.5,1.4,0.371,1,1.3,0.738,7.3,0.9,0.8,1.5,1,2.8,8.1
6,Ishmail Jabbie,21,7,0.8,1.7,0.457,0.6,1.3,0.481,0.1,0.4,0.375,0.8,1.2,0.68,0.8,0.3,0.3,0,0.4,0.9,2.5
7,Aaron Jack,90,,2.4,4.4,0.548,2.4,4.3,0.55,0,0.1,0.429,1.8,2.9,0.635,5.4,0.8,0.5,0.2,,,6.7
8,Donovon Jack,117,14.3,1.6,3.5,0.465,1.4,2.5,0.535,0.3,1,0.288,0.9,1.4,0.634,2.8,0.4,0.3,0.9,0.6,2.6,4.5
9,Jarrett Jack,101,32.3,4,8.4,0.478,3.1,5.9,0.53,0.9,2.6,0.359,3.6,4.5,0.796,4.5,5.4,1.8,0.1,,,12.5
10,Joseph Jack,97,,1.4,3.5,0.409,1.3,3,0.44,0.1,0.5,0.235,1.4,2.1,0.665,3.7,0.3,0.6,1.1,0.8,,4.4
11,Kadeem Jack,111,23.3,3.7,8.1,0.455,3.5,7.6,0.463,0.2,0.5,0.333,1.9,3,0.633,5.3,0.6,0.6,0.9,1.6,2.3,9.4
12,Mateo Jack,3,,0,0.3,0,0,0,,0,0.3,0,0,0,,0.3,0,0,0,,,0
13,Justin Jackette,87,,3.2,7.9,0.41,2.2,4.7,0.476,1,3.2,0.312,1.5,2,0.764,3,1.3,1.3,0.2,,,9
14,Jason Jackman,85,,4.3,7.8,0.544,4.3,7.8,0.545,0,0,0,3.1,3.9,0.804,4.9,0.8,0.7,0.4,,,11.6
15,Phil Jackman,8,,0.3,0.8,0.333,0.3,0.4,0.667,0,0.4,0,0.3,0.3,1,0.9,0.1,0,0,,,0.8
16,Adom Jacko,25,27.3,6.8,12.2,0.557,6.8,12.1,0.558,0,0.1,0.5,2.9,4,0.73,6.4,0.6,0.7,0.9,1.8,3.8,16.6
17,Peyton Jacks,9,,0,0.1,0,0,0,,0,0.1,0,0.1,0.2,0.5,0.6,0.1,0.1,0,0.4,,0.1
18,A.J. Jackson,97,,5.4,12.1,0.447,4.1,8.7,0.474,1.3,3.4,0.378,2.9,3.7,0.778,7.1,1,0.8,0.9,1.9,,15
19,Aaron Jackson,120,,4.4,8.4,0.521,3.5,5.8,0.599,0.9,2.5,0.342,2.3,3,0.772,4.5,4.2,1.4,0.1,2.4,,11.9
20,Aaron Jackson,67,10.3,1,2.7,0.379,0.5,1,0.478,0.5,1.7,0.319,0.5,0.9,0.614,1.6,0.3,0.3,0.1,0.5,1.3,3.1
21,Abe Jackson,106,,5.1,12.4,0.413,2.7,5.8,0.475,2.4,6.7,0.358,3,3.7,0.804,5,1.1,0.9,0.2,,,15.7
22,Ahmad Jackson,49,,2.7,5.3,0.504,2.7,5.3,0.502,0,0,1,1,1.7,0.58,4,0.3,0.3,0.5,,,6.3
23,Akeli Jackson,68,,2.9,5.8,0.506,2.9,5.8,0.508,0,0,0,1.6,2.5,0.63,5,0.6,0.9,0.4,,,7.5
24,Albert Jackson,114,16.7,1.4,2.9,0.498,1.4,2.9,0.498,0,0,,0.6,1.2,0.529,3.4,0.4,0.3,0.9,1.6,0.6,3.5
25,Alex Jackson,24,8.4,0.5,1.8,0.262,0.5,1.6,0.282,0,0.1,0,0.6,1.2,0.483,2,0.3,0,0.2,0.5,1,1.5
26,Alfrado Jackson,55,,3.1,6.1,0.504,3,5.6,0.539,0.1,0.5,0.111,3.5,5.3,0.657,4.9,2.3,1,0.1,,,9.7
27,Almaad Jackson,73,,2.2,5.4,0.405,1.8,3.9,0.444,0.4,1.4,0.295,1.9,2.7,0.714,4.5,0.9,0.5,1.3,,,6.7
28,Altron Jackson,122,,6.4,13.5,0.472,5.3,10.3,0.512,1.1,3.2,0.342,2.7,4.1,0.667,4.7,1.9,1.5,0.4,,,16.5
29,Ameer Jackson,4,24.8,3,9.3,0.324,1.5,5,0.3,1.5,4.3,0.353,3.5,6.3,0.56,2,1.5,0,0.3,1.5,2.3,11
30,Andre Jackson,14,8.3,1.9,3.8,0.491,1.9,3.8,0.491,0,0,,0.4,0.8,0.455,1.7,0,0.2,0.4,0.6,1.7,4.1
31,Andre Jackson,14,,0.2,0.6,0.375,0.2,0.6,0.375,0,0,,0,0.1,0,0.2,0.2,0,0,,,0.4
32,Andre Jackson,29,,1.4,4.3,0.333,1,2.8,0.354,0.4,1.5,0.295,0.8,1.3,0.59,2.1,1.2,0.9,0.1,,,4.1
33,Andrew Jackson,27,23.4,2.4,6.3,0.38,1.1,2.4,0.446,1.3,3.9,0.34,1.5,1.8,0.816,2.7,2.6,0.7,0,2.3,2.4,7.6
