ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Amath M'Baye,84,25.7,3.7,8,0.468,3.5,6.7,0.521,0.3,1.3,0.2,2,3,0.66,4.9,0.7,0.7,0.9,2,2.7,9.7
2,Ryan Maag,1,,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,1,,0
3,Ryan Maas,5,4.4,0.4,1.6,0.25,0.4,1.2,0.333,0,0.4,0,0,0,,0.6,0,0.2,0,0.4,0.2,0.8
4,Tom Maayan,43,20.1,0.7,1.9,0.361,0.5,1.1,0.417,0.2,0.8,0.286,0.3,0.7,0.414,1.6,3,1.2,0,2.7,2.1,1.9
5,Nick Mabbutt,8,10.8,0.6,2.1,0.294,0.1,0.4,0.333,0.5,1.8,0.286,0,0.5,0,2.1,0.9,0.4,0.4,1,1.8,1.8
6,Halsey Mabry,46,,0.9,1.5,0.592,0.9,1.5,0.592,0,0,,0.6,1,0.574,1.3,0.2,0.3,0.1,,,2.4
7,Nehemiah Mabson,31,11.8,1.4,3.3,0.412,1,2.2,0.463,0.4,1.1,0.314,0.7,1.5,0.489,1.7,0.7,0.3,0.1,1.2,2.3,3.8
8,Barry MacArthur,19,,0.8,1.9,0.432,0.8,1.9,0.432,0,0,,0.5,1.1,0.5,1.3,0.5,0.3,0,,,2.2
9,Ed Macauley,104,,4.9,5.8,0.853,,,,,,,3.8,3,1.266,,,,,,,13.6
10,Kenny Maccalla,11,,0.2,0.4,0.5,0.2,0.3,0.667,0,0.1,0,0.4,0.4,1,0.4,0,0,0,,,0.7
11,Todd MacCulloch,115,22.8,6.1,9.2,0.664,6.1,9.2,0.664,0,0,,2.9,4.5,0.661,8.5,0.4,0.6,1.2,1.4,2.1,15.2
12,Mark MacDonald,86,,2.4,5.6,0.431,1.8,3.8,0.485,0.6,1.8,0.316,1,1.6,0.624,2.7,1.1,0.4,0.7,1.1,,6.4
13,Matt MacDonald,68,29.9,2.6,6.7,0.385,1.1,2.4,0.478,1.5,4.4,0.334,1.6,2,0.788,3.8,1.2,0.9,0,1.1,2.4,8.2
14,Tommy MacDonald,28,,2.5,7.8,0.315,0.7,2.1,0.345,1.8,5.8,0.304,1.5,1.9,0.808,4.2,2.3,1.1,0,,,8.2
15,Sean Macdonnell,2,,0,0,,0,0,,0,0,,0,0,,1,0,0,0,,,0
16,Connor MacDougall,16,9.6,1.3,2.4,0.553,1.3,2.4,0.553,0,0,,0.9,1.4,0.682,1.4,0.1,0,0.3,0.6,2,3.6
17,Matt MacDougall,4,3,0,0.8,0,0,0.8,0,0,0,,0,0,,0.3,0,0,0,0.3,0.3,0
18,Marcus Macellari,12,1.9,0,0.3,0,0,0.3,0,0,0,,0.2,0.2,1,0.9,0.1,0,0.1,0.2,0.7,0.2
19,Kenny Macfarland,79,,2.7,7.5,0.36,1.5,3.2,0.468,1.2,4.4,0.281,1,1.7,0.602,3.4,0.4,0.6,0.7,,,7.7
20,Taj MacFarlane,26,,1.4,2.7,0.536,1.4,2.7,0.536,0,0,,0.5,1.1,0.5,2.6,0.3,0.4,0.3,,,3.4
21,Gavin MacGregor,30,,0.8,1.2,0.639,0.8,1.2,0.639,0,0,,0.6,1,0.567,1.7,0.1,0.1,0.3,0.4,,2.1
22,Matt MacGregor,25,,1.7,4.7,0.364,0.8,2,0.388,1,2.8,0.348,1.6,2.2,0.741,1.7,3.1,0.7,0.1,,,6
23,Jonathan Machado,7,,0.4,1,0.429,0.3,0.3,1,0.1,0.7,0.2,0.3,0.3,1,0.6,0.1,0.3,0,,,1.3
24,Pablo Machado,99,,2,4.4,0.459,2,4.3,0.459,0,0,0.5,1.6,2.8,0.563,4,0.7,0.3,0.7,,,5.6
