ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Samuel O'Banner,2,,0.5,0.5,1,0.5,0.5,1,0,0,,1,1,1,0.5,0,0,0,,,2
2,Charles O'Bannon,124,31.5,5.5,10.3,0.538,4.9,8.5,0.578,0.6,1.7,0.343,2.8,3.7,0.751,6.4,2.5,1.1,1,2.3,2.4,14.4
3,Ed O'Bannon,117,29.7,5.8,11.3,0.513,5,9.3,0.539,0.8,2,0.394,3.1,4.3,0.739,7,1.8,1.2,0.8,2.2,2.1,15.5
4,Larry O'Bannon,130,,2.7,6.4,0.422,1.4,2.9,0.501,1.3,3.5,0.357,2.1,2.5,0.825,2.4,1.5,0.7,0.2,,,8.8
5,Matt O'Boyle,38,11.6,1,2.9,0.339,0.4,0.7,0.519,0.6,2.2,0.282,0.3,0.7,0.444,2.2,0.4,0.2,0.1,0.5,1.2,2.9
6,Brendan O'Brien,102,,2.1,5.1,0.41,1.4,2.9,0.481,0.7,2.2,0.315,0.9,1.1,0.767,2.8,0.6,0.4,0.8,,,5.7
7,Chris O'Brien,87,23.9,1.6,4.3,0.378,1,2.5,0.403,0.6,1.7,0.342,1.1,1.6,0.725,2.9,1.6,0.6,0.3,1.2,1.7,5
8,Cory O'Brien,43,,0.6,1.5,0.381,0.5,1,0.477,0.1,0.4,0.158,0.6,0.8,0.727,0.9,0.6,0,0,0.6,,1.7
9,Grant O'Brien,29,2.6,0.1,0.6,0.25,0.1,0.3,0.375,0,0.3,0.125,0.1,0.1,0.667,0.3,0,0,0,0,0.2,0.4
10,J.J. O'Brien,127,29,3.3,6.9,0.471,3.1,6.3,0.492,0.1,0.6,0.247,1.4,2.3,0.601,4.9,1.6,0.9,0.3,1.5,1.8,8.1
11,Jake O'Brien,114,26.8,4.1,9.7,0.423,2.4,5.2,0.458,1.7,4.5,0.382,1.8,2.4,0.752,4.9,0.6,0.5,1,1.4,2,11.7
12,LeRoi O'Brien,56,,1.4,3,0.482,1.4,3,0.482,0,0,,0.7,1.1,0.683,2.6,0.4,0.5,0.4,,,3.6
13,Lucas O'Brien,72,13.7,1.6,3.8,0.431,1.4,2.8,0.49,0.3,1,0.27,0.8,1,0.74,2.5,0.3,0.3,0.3,0.6,2,4.3
14,Sean O'Brien,108,27.9,3.5,7.3,0.478,3.2,6.1,0.52,0.3,1.2,0.262,1.6,2.6,0.591,5.6,1.7,0.8,0.6,1.8,2.4,8.9
15,Sean O'Brien,73,20.3,2.1,4.7,0.447,1.1,2,0.52,1,2.6,0.391,0.7,0.8,0.814,1.7,1.8,0.7,0,0.8,1.8,5.8
16,Todd O'Brien,85,16.1,1.6,3.5,0.447,1.6,3.5,0.447,0,0,,0.8,1.4,0.585,4.2,0.4,0.5,0.9,1.2,1.4,3.9
17,Derek O'Bryan,9,,0.1,0.2,0.5,0.1,0.2,0.5,0,0,,0,0,,0.4,0,0,0.2,0.1,,0.2
18,Eathan O'Bryant,57,,3.6,8.9,0.408,3,6.9,0.442,0.6,2.1,0.294,3.3,4.7,0.698,3.7,7.8,2.5,0,,,11.2
19,Johnny O'Bryant,91,27.1,4.9,10.5,0.467,4.8,10.2,0.474,0.1,0.3,0.222,2.8,4.6,0.619,7.7,1.3,0.5,0.8,2.9,2.8,12.7
20,Orin O'Bryant,30,9.1,0.6,1.2,0.5,0.6,1.2,0.5,0,0,,0.2,0.7,0.333,1.6,0.3,0.2,0.6,0.7,1.6,1.4
21,Patrick O'Bryant,52,24.3,4.6,8.4,0.554,4.6,8.4,0.554,0,0,,2.4,3.4,0.687,7.8,0.7,0.9,2.8,,,11.6
22,Shawn O'Connell,40,15.4,1.3,2.5,0.53,1.3,2.3,0.549,0.1,0.2,0.333,1,1.5,0.656,3.6,0.3,0.4,0.6,0.5,3,3.7
23,Patrick O'Conner,6,,0,0.8,0,0,0.3,0,0,0.5,0,0.7,0.7,1,1,0,0,0,,,0.7
24,Dominique O'Connor,26,19.7,2,4.9,0.406,1.8,4.2,0.436,0.2,0.7,0.222,1.7,2.2,0.754,1.3,2,1.2,0,1.9,1.4,5.8
25,Jeff O'Connor,113,,2.5,6.5,0.388,0.7,1.4,0.49,1.9,5.2,0.361,0.8,1.1,0.734,2.1,1.7,0.8,0,,,7.8
26,Lane O'Connor,41,,1,2.2,0.424,0.7,1.3,0.519,0.3,1,0.3,0.5,0.7,0.679,1.1,0.4,0.1,0.1,,,2.7
27,Marvin O'Connor,110,,5.6,13.1,0.43,3.4,6.4,0.535,2.2,6.7,0.331,2.7,3.9,0.692,3.6,2.3,0.9,0,,,16.1
28,Matt O'Connor,58,,1.9,4.3,0.445,1.1,1.8,0.587,0.8,2.5,0.343,0.4,0.7,0.571,3,0.7,0.5,0.3,,,5.1
29,Michael O'Connor,7,,0.1,0.6,0.25,0,0.1,0,0.1,0.4,0.333,0,0,,0.1,0,0,0,,,0.4
30,Patrick O'Connor,5,,0,0.6,0,0,0.4,0,0,0.2,0,0,0,,0.4,0,0,0,,,0
31,Noah O'Daniel,28,,2.6,6.4,0.404,2.3,4.5,0.496,0.3,1.8,0.176,1.6,1.9,0.815,3.7,1.2,0.4,0.1,,,7
32,Ethan O'Day,127,24.4,4.1,7.4,0.553,4.1,7.4,0.555,0,0,0,1.5,2.3,0.643,4.8,0.8,0.7,1.7,1.4,2.7,9.7
33,Shane O'Doherty,53,,1.5,3.2,0.468,1.5,3.1,0.479,0,0.1,0.167,0.8,1.2,0.683,3.4,0.7,0.5,0.8,,,3.8
34,Ben O'Donnell,19,2.1,0.1,0.3,0.4,0.1,0.1,0.5,0.1,0.2,0.333,0,0,,0.1,0.2,0.1,0,0.2,0.1,0.3
35,Michael O'Donnell,44,14.1,1.2,2.8,0.418,0.5,1.3,0.429,0.6,1.5,0.409,0.3,0.6,0.519,1.9,0.5,0.3,0.2,0.8,2.1,3.3
36,Mike O'Donnell,38,,0.4,1.7,0.27,0.3,1,0.289,0.2,0.7,0.24,0.5,0.6,0.792,1,0.1,0.2,0,,,1.4
37,Mike O'Donnell,119,,2.6,6.7,0.395,0.8,2.1,0.411,1.8,4.6,0.388,1.1,1.5,0.773,2,3,1.3,0.1,1.6,,8.2
38,Terrance O'Donohue,71,10.9,0.9,2,0.436,0.7,1.7,0.433,0.1,0.3,0.45,0.5,0.8,0.596,2,0.1,0.3,0.3,0.7,1.7,2.3
39,Maurice O'Field,29,5.8,0.3,0.9,0.308,0.2,0.6,0.438,0,0.3,0.1,0,0.1,0.5,0.7,0.2,0.1,0,0.2,0.5,0.6
40,George O'Garro,49,,2.4,5.5,0.437,2.3,4.9,0.464,0.1,0.6,0.207,1.5,2.4,0.641,4,0.6,0.9,0.4,,,6.4
41,Tyrone O'Garro,96,17.9,1.3,2.7,0.489,1.3,2.7,0.492,0,0,0,0.6,1.3,0.434,4.4,0.7,0.5,0.2,1,2.5,3.3
42,Ryan O'Hara,6,,0,0.2,0,0,0.2,0,0,0,,0,0,,0.2,0,0,0,,,0
43,Scott O'Hara,22,,0.7,2,0.333,0.2,0.5,0.4,0.5,1.6,0.314,0.3,0.3,0.857,0.7,0.2,0.1,0,,,2.1
44,Kevin O'Keefe,20,,0.2,0.8,0.188,0.1,0.4,0.25,0.1,0.4,0.125,0.1,0.3,0.4,0.3,0.1,0.1,0,,,0.5
45,Sean O'Keefe,55,,2.4,6.4,0.375,1.1,2.5,0.42,1.3,3.9,0.346,1.6,2,0.802,3.3,2.3,1.3,0.3,,,7.8
46,Robert O'Kelley,127,,4.9,12.3,0.395,2.6,6,0.433,2.3,6.3,0.36,2.8,3.9,0.721,2,2,0.7,0,,,14.8
47,Terrance O'Kelley,56,,4.5,9.5,0.477,3.5,6.8,0.52,1,2.7,0.371,1.7,2.5,0.667,6.8,1.3,0.7,1.6,,,11.8
48,Mike O'Koren,117,,5.5,9.6,0.572,,,,,,,4.1,5.6,0.726,7,,,,,,15.1
49,Aaron O'Leary,1,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,,,0
50,Ian O'Leary,127,,2.2,5.4,0.412,1.5,3.1,0.478,0.8,2.3,0.324,1.3,1.9,0.695,4.4,0.8,0.6,0.2,1.1,,6.5
51,Matt O'Leary,103,22,2.7,5.8,0.46,2,3.5,0.578,0.6,2.3,0.281,1.1,1.7,0.632,4.1,1.9,0.7,0.4,1.5,2,7
52,Paul O'Liney,53,,4.3,10.8,0.401,2,4.8,0.422,2.3,6,0.385,4.5,5.7,0.79,4.2,1.9,1.1,0.1,,,15.5
53,Patrick O'Malley,127,,1.5,3.9,0.373,0.7,1.5,0.45,0.8,2.4,0.325,0.5,0.7,0.684,1.9,0.5,0.3,0.2,,,4.2
54,Brian O'Mara,78,,1.1,2.3,0.47,1,2.2,0.468,0.1,0.1,0.5,0.6,0.9,0.639,1.9,0.3,0.2,0.6,,,2.9
55,Sean O'Mara,67,7.1,1.2,2.1,0.587,1.2,2.1,0.587,0,0,,0.6,1.1,0.589,1.6,0.3,0.2,0.2,0.4,1.1,3.1
56,Brian O'Neal,12,,1.4,4.1,0.347,0.8,1.9,0.391,0.7,2.2,0.308,0,0.1,0,1.9,0.3,0,0.3,,,3.5
57,Charles O'Neal,42,,2.9,6.7,0.436,2.5,5.5,0.459,0.4,1.1,0.319,2.4,3.5,0.683,3,2.8,1.2,0,,,8.5
58,Kenny O'Neal,25,,0.3,0.7,0.444,0.3,0.6,0.467,0,0.1,0.333,0.7,1.1,0.667,0.7,0.4,0.2,0,,,1.4
59,Michael O'Neal,23,,0.3,1,0.273,0.3,0.9,0.3,0,0.1,0,0,0,0,0.8,0.4,0.2,0.1,,,0.5
60,Scott O'Neal,21,,0.9,1.9,0.45,0.9,1.9,0.45,0,0,,0.7,1.2,0.577,2,0.3,0.2,0,,,2.4
61,Shaquille O'Neal,90,30.5,8.7,14.3,0.61,,,,,,,4.1,7.1,0.575,13.5,1.7,1.2,4.6,3.3,3.2,21.6
62,Sheldon O'Neal,29,,4.5,6.7,0.67,4.5,6.7,0.674,0,0,0,1.9,3.7,0.5,5.2,0.7,0.5,0.4,,,10.8
63,Tracy O'Neal,48,8.4,0.7,1.3,0.516,0.7,1.3,0.516,0,0,,0.3,0.6,0.481,1.8,0.1,0.1,0.5,0.4,1.6,1.6
64,Tre O'Neal,43,16.2,0.9,2.6,0.345,0.6,1.6,0.391,0.3,1,0.268,0.9,1.3,0.638,1.1,1.4,0.6,0,1.4,1.1,2.9
65,Royce O'Neale,134,30.3,3.1,6.4,0.477,2,3.7,0.533,1.1,2.7,0.399,2.2,3,0.751,5.6,3,1.2,0.3,1.9,2.4,9.5
