ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Derek Paben,16,,1.4,3.4,0.418,0.4,1,0.438,1,2.4,0.41,0.6,0.8,0.833,0.9,0.2,0.2,0.1,,,4.5
2,Jeremy Pace,5,,0,0,,0,0,,0,0,,0,0.4,0,0.4,0,0,0,,,0
3,Josh Pace,129,,3.3,6.2,0.529,3.3,6.1,0.54,0,0.2,0.1,0.7,1.3,0.506,3.8,2.4,1.2,0.3,,,7.3
4,Keegan Pace,5,2,0,0.2,0,0,0,,0,0.2,0,0,0,,0.2,0,0,0,0.4,0,0
5,Matt Pace,8,,0.1,0.4,0.333,0,0,,0.1,0.4,0.333,0,0,,0.3,0,0.1,0,0.3,,0.4
6,Rashad Pace,7,,0.6,0.9,0.667,0.4,0.7,0.6,0.1,0.1,1,0,0.3,0,0.4,0,0.1,0,,,1.3
7,Scott Pace,15,,0.2,0.5,0.429,0.1,0.3,0.4,0.1,0.1,0.5,0.1,0.3,0.25,0.8,0.4,0.1,0,,,0.5
8,Tim Pace,6,,1.5,4.3,0.346,0.8,1.8,0.455,0.7,2.5,0.267,1,1.5,0.667,1.2,1.2,0.3,0.2,,,4.7
9,Georgie Pacheco-Ortiz,10,29.6,2.1,4.7,0.447,0.9,2,0.45,1.2,2.7,0.444,1.7,2,0.85,2.6,1.6,1,0,1.7,1.3,7.1
10,A.J. Pacher,133,16,2.4,4.9,0.488,2,3.5,0.558,0.4,1.4,0.308,1.4,2,0.701,3.2,0.6,0.2,0.2,1.3,2.6,6.6
11,Devin Pack,91,,0.8,2.4,0.344,0.4,0.9,0.376,0.5,1.4,0.323,0.4,0.5,0.653,0.7,0.7,0.3,0,,,2.4
12,Jon Pack,114,13.8,1.4,2.6,0.544,1.4,2.6,0.546,0,0,0,0.8,1.6,0.517,3.4,0.4,0.3,0.6,0.9,1.2,3.6
13,Richaud Pack,83,24.7,2.4,5.9,0.413,1.4,3,0.478,1,2.9,0.344,3,3.8,0.778,3.3,1.1,0.5,0.1,1.1,1.5,8.8
14,Robert Pack,57,32,4.6,9.7,0.476,4,7.7,0.523,0.6,2,0.295,3.6,4.9,0.742,2.8,5.6,,,,,13.4
15,Jalen Packer,19,7.3,0.3,0.6,0.5,0.3,0.5,0.6,0,0.1,0,0.4,0.5,0.889,0.6,1.2,0.3,0,0.7,0.5,1.1
16,Paulius Packevicius,97,,1.5,3.2,0.471,1.5,3.2,0.471,0,0,,1.2,1.8,0.672,4,0.5,0.6,0.4,3.1,,4.2
17,Gerald Paddio,73,,5.8,13.3,0.437,3,6.2,0.484,2.8,7.1,0.395,1.6,2.2,0.764,4.6,2.4,0.9,0.3,2.1,2.1,16
18,Chris Paddock,15,,0.4,0.9,0.462,0.4,0.9,0.462,0,0,,0.1,0.3,0.25,0.7,0,0,0.2,,,0.9
19,David Padgett,114,,3.7,6.2,0.594,3.7,6.1,0.596,0,0,0,2.3,3,0.754,5.2,1.6,0.4,1.4,1.5,,9.6
20,James Padgett,126,14.6,2,3.7,0.523,2,3.7,0.523,0,0,,1.3,2.4,0.528,3.6,0.3,0.2,0.3,0.8,1.2,5.2
21,Mark Padgett,34,,1.1,3.9,0.284,0.8,1.8,0.452,0.3,2.1,0.139,0.3,0.8,0.357,1.8,0.5,0.6,0.1,,,2.8
22,Matt Padgett,51,,2.8,7.5,0.377,1.6,4.1,0.379,1.3,3.4,0.374,2.4,3.3,0.741,2.2,0.8,0.5,0.1,,,9.4
23,Scott Padgett,122,22.8,3.5,7.7,0.449,2.2,4.3,0.517,1.2,3.4,0.364,2.1,2.7,0.759,5.3,2,1.2,0.6,1.5,1.5,10.3
24,Zach Padgett,22,7.2,0.7,2.4,0.288,0.2,0.7,0.313,0.5,1.6,0.278,0.1,0.2,0.6,0.9,0.1,0.2,0,0.5,0.9,2
25,Edgar Padilla,135,,2.4,6,0.392,1.4,2.8,0.479,1,3.2,0.316,1.4,1.9,0.746,2.4,4.4,1.8,0.3,,,7.2
26,Giddel Padilla,21,,0.3,0.8,0.353,0.3,0.6,0.462,0,0.2,0,0.1,0.2,0.75,0.5,0,0.3,0,,,0.7
27,Pele Paelay,111,,3.8,8.6,0.438,2.8,5.8,0.48,1,2.8,0.352,2.1,3,0.702,4,1.8,1.3,0.3,,,10.6
28,Anthony Paez,56,,4.1,8.7,0.476,3.6,7,0.517,0.5,1.7,0.309,2.4,3.3,0.741,4.6,1.5,0.6,0.2,,,11.2
