ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dante Rabb,53,,2.3,5.6,0.411,1.3,3,0.416,1,2.6,0.404,1,1.2,0.887,1.4,2.4,0.6,0.1,,,6.7
2,Ivan Rabb,42,28.9,4.9,8.2,0.599,4.9,8.1,0.599,0,0,0.5,3.1,4.9,0.641,8.7,1,0.5,1.2,1.7,3.1,13
3,John Rabb,47,,0.4,0.9,0.525,0.4,0.8,0.526,0,0,0.5,0.3,0.6,0.519,1.4,0.2,0.1,0.1,,,1.2
4,Kevin Rabbitt,53,,0.8,2.1,0.366,0.3,0.8,0.333,0.5,1.3,0.386,0.7,1.1,0.667,1.4,2.7,0.7,0.1,,,2.8
5,Brien Rabenhorst,103,,0.8,1.4,0.523,0.8,1.4,0.523,0,0,,0.4,0.6,0.615,2,0.3,0.3,0.1,,,1.9
6,Scott Rabenold,36,,0.3,0.6,0.455,0.1,0.2,0.375,0.2,0.4,0.5,0.5,0.6,0.783,0.4,0.3,0.1,0,,,1.3
7,Hank Raber,96,,2.8,7.4,0.374,1.3,2.9,0.442,1.5,4.5,0.331,1.3,1.9,0.704,3.3,2.1,0.8,0.1,,,8.3
8,Jeffrey Rabey,58,,1.8,3.7,0.475,1.8,3.7,0.477,0,0,0,0.9,1.4,0.646,5,0.5,0.2,1.6,,,4.4
9,Sean Raboin,72,,0.6,1.6,0.35,0.5,1.2,0.4,0.1,0.4,0.219,0.4,0.5,0.811,1.3,0.3,0.2,0.1,0.4,,1.7
10,Joey Racer,19,2.4,0.2,0.7,0.308,0.2,0.4,0.429,0.1,0.3,0.167,0.1,0.2,0.333,0.3,0.1,0,0,0.2,0.2,0.5
11,Donatas Rackauskas,112,,1.7,3.6,0.468,1.6,3.3,0.48,0.1,0.3,0.333,0.9,1.5,0.629,3.3,0.4,0.3,0.6,,,4.4
12,Darion Rackley,109,27,3.3,8.7,0.382,2.2,4.7,0.458,1.1,3.9,0.29,4.4,5.9,0.743,2.7,1.8,1.3,0.3,2.1,2.2,12.2
13,Drew Rackley,6,8.8,0.8,2,0.417,0,0.5,0,0.8,1.5,0.556,0.3,0.3,1,1,0.5,0.3,0,1,1.2,2.8
14,Jason Rackley-Mann,53,,0.8,2.3,0.375,0.8,2.2,0.378,0,0,0,0.6,1.2,0.531,2.3,0.2,0.4,0.1,,,2.3
15,Case Rada,20,4.3,0.6,1.9,0.289,0.2,0.3,0.5,0.4,1.6,0.25,0.1,0.2,0.25,0.5,0.2,0.1,0,0.1,0.4,1.6
16,Brian Radakovich,109,,2.3,5.1,0.449,2,4.2,0.478,0.3,0.9,0.313,1.9,3.1,0.614,4.1,0.8,0.5,0.6,,,6.8
17,Datillio Radcliffe,4,,0.3,0.5,0.5,0.3,0.5,0.5,0,0,,0,0.3,0,0,0,0,0,,,0.5
18,Jonah Radebaugh,9,29.9,2.2,4.4,0.5,1,1.2,0.818,1.2,3.2,0.379,0.6,1.2,0.455,4.9,1.3,0.7,0,1,1.2,6.2
19,Ivan Radenovic,122,,3.7,7.9,0.466,3.2,6.4,0.501,0.5,1.5,0.317,2.8,3.5,0.803,5.8,1.6,0.9,0.4,,,10.7
20,James Rader,12,4.3,0.6,1.3,0.438,0.3,0.5,0.5,0.3,0.8,0.4,0.6,0.7,0.875,0.9,0.1,0,0,0.3,0.8,2.1
21,Petar Radev,4,,0,0.8,0,0,0.3,0,0,0.5,0,0,0,,0,0,0.3,0,0.5,,0
22,Graeme Radford,103,13.7,0.4,1,0.43,0.4,1,0.43,0,0,,0.2,0.7,0.221,2,0.1,0.1,0.5,0.4,1.1,1.1
23,Llewchean Radford,101,,2.4,4.8,0.507,2.3,4.2,0.546,0.1,0.6,0.242,1.4,2.2,0.634,4.8,0.8,0.7,0.2,2.1,,6.4
24,Louis Radford,26,,1.1,2.6,0.412,0.8,1.7,0.489,0.2,0.9,0.261,0.4,1.5,0.282,2,0.5,0.2,0.2,,,2.8
25,Luis Radford,92,,1.7,4.4,0.387,1.2,3,0.405,0.5,1.4,0.348,0.8,1.3,0.587,3.3,0.5,0.4,0.2,,,4.7
26,Mark Radford,113,31.2,4.9,9.3,0.52,,,,,,,2.6,3.5,0.737,2.5,,,,,,12.3
27,Shawn Radford,21,,0.4,1.3,0.296,0.3,0.9,0.316,0.1,0.4,0.25,0.5,0.7,0.714,1,0.2,0.1,0,,,1.3
28,Velimir Radinovic,111,,2.4,4.2,0.571,2.4,4.2,0.571,0,0,,2.1,3,0.707,4.3,0.4,0.2,0.5,,,6.9
29,Mike Radio,6,,0,0.8,0,0,0,,0,0.8,0,0,0,,0,0,0,0,,,0
30,Dusan Radivojevic,46,,1.1,2.9,0.373,0.3,0.5,0.636,0.8,2.4,0.321,0.4,0.5,0.864,1.3,1.1,0.5,0.1,,,3.4
31,Hubert Radke,28,,2,4.6,0.434,1.9,4.1,0.452,0.1,0.5,0.286,0.8,1.3,0.657,3.3,0.8,0.2,0.3,,,5
32,Jeff Radkowski,28,,0.3,0.3,0.778,0,0,,0.3,0.3,0.778,0,0,,0,0,0,0,,,0.8
33,Aaron Radl,60,,2.6,6.9,0.382,1.1,2.8,0.399,1.5,4.1,0.37,1.6,2.3,0.715,2.3,3,1.7,0,,,8.4
34,David Radlovic,56,,1,2.5,0.391,0.8,1.8,0.436,0.2,0.7,0.27,0.4,0.6,0.629,2.1,0.2,0.2,0.3,,,2.5
35,Jonathan Radner,4,1.3,0,0.3,0,0,0.3,0,0,0,,0,0,,0.5,0.3,0,0,0.3,0,0
36,Tyson Radney,108,,1.1,2.3,0.468,1.1,2.1,0.494,0,0.2,0.19,0.6,1,0.6,4.3,0.7,0.6,0.7,,,2.8
37,Misha Radojevic,14,,0.4,1,0.429,0.4,1,0.429,0,0,,0.1,0.4,0.333,1,0.3,0.1,0.1,,,1
38,Bosko Radovic,5,,2.2,4.4,0.5,1.8,3.4,0.529,0.4,1,0.4,1,1.2,0.833,3.4,0.4,0.4,0.2,,,5.8
