ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jafar Taalib,94,,2.8,5.4,0.516,2.8,5.4,0.523,0,0.1,0,1.1,1.8,0.62,4,0.6,0.5,0.8,,,6.7
2,Brandon Tabb,10,38.3,7.5,17.3,0.434,3.2,6.7,0.478,4.3,10.6,0.406,2.6,3.3,0.788,6.2,2.1,1.2,0.5,2,3.1,21.9
3,Colin Tabb,21,,2.4,6,0.397,1.5,3.2,0.463,0.9,2.8,0.322,2,2.6,0.778,3.1,0.9,0.7,0.1,,,7.7
4,Demarquelle Tabb,112,26.8,4,8.2,0.484,4,8.1,0.488,0,0.1,0,2.6,4.5,0.583,7.3,1.1,1,1.6,1.7,3,10.5
5,Josh Tabb,96,,1.2,2.3,0.5,0.8,1.4,0.609,0.3,0.9,0.341,0.2,0.4,0.419,2.1,1.3,0.8,0.1,0.8,,2.8
6,Ladarius Tabb,57,33.8,6.9,15.4,0.445,5.3,9.9,0.53,1.6,5.5,0.292,3.1,5,0.623,7.3,0.7,1.3,0.2,1.7,2.7,18.4
7,Melvin Tabb,69,11.1,1.1,2.4,0.448,1.1,2.3,0.451,0,0,0.333,1,1.7,0.596,2.5,0.2,0.1,0.1,0.8,1.9,3.1
8,Micahel Tabb,4,,0.5,1,0.5,0.5,1,0.5,0,0,,0.5,0.5,1,0.5,0,0,0,,,1.5
9,Michael Tabb,20,,0.3,1.1,0.286,0.3,1.1,0.286,0,0,,0.3,0.6,0.545,1.2,0,0,0.5,,,0.9
10,Sean Tabb,53,,1.2,3.6,0.332,0.3,0.9,0.306,0.9,2.7,0.34,0.5,0.6,0.844,1.5,1,0.2,0,,,3.8
11,Kyle Taber,62,,1.1,2.1,0.546,1.1,2,0.552,0,0.1,0.4,0.4,0.5,0.688,3.5,0.6,0.6,0.3,0.7,,2.7
12,Charles Tabet,66,14.8,0.6,1.4,0.435,0.6,1.4,0.435,0,0,,0.5,0.9,0.559,2.3,0.1,0.1,0.3,0.5,1,1.7
13,Philip Tabet,104,7.3,0.5,1.1,0.491,0.5,1,0.5,0,0,0,0.4,0.7,0.609,2,0.1,0.1,0.2,0.4,0.3,1.4
14,Troy Tabler,113,27.7,2.3,6.1,0.384,0.9,2.1,0.431,1.5,4.1,0.36,1.5,1.7,0.859,2.1,1.2,0.7,0.1,1.3,1,7.6
15,Stefan Tacke,30,,0.3,0.9,0.321,0.3,0.9,0.321,0,0,,0.2,0.3,0.625,1,0.2,0.2,0.1,,,0.8
16,Todd Tackett,40,,0.3,1.6,0.185,0.2,0.8,0.281,0.1,0.8,0.091,0.2,0.3,0.538,0.6,0.4,0.1,0,,,0.9
17,Jared Tadlock,22,2.6,0.1,0.7,0.188,0.1,0.3,0.333,0,0.5,0.1,0,0.1,0.5,0.5,0,0.1,0,0.1,0.3,0.4
18,Chris Taflinger,13,,0.2,0.5,0.286,0.2,0.5,0.333,0,0.1,0,0,0,,0.6,0.2,0.1,0,,,0.3
19,Fabrice Tafo,55,,0.8,2.1,0.397,0.8,1.9,0.404,0.1,0.2,0.333,0.5,0.9,0.5,1.9,0.3,0.2,0.3,1,,2.2
20,Tyler Tafoya,17,1.9,0.1,0.7,0.083,0.1,0.4,0.143,0,0.3,0,0.1,0.1,1,0.2,0,0.1,0,0.1,0.2,0.2
21,Chris Taft,65,26,4.9,8.7,0.569,4.9,8.7,0.569,0,0,,2.1,3.7,0.564,7.5,1.1,0.4,1.7,,,12
22,Harrison Taggart,11,5.1,0.3,0.6,0.429,0.2,0.3,0.667,0.1,0.4,0.25,0.2,0.2,1,0.7,0.3,0.3,0,0.1,0.5,0.8
23,Nick Taggart,20,,0,0.3,0,0,0.3,0,0,0,,0,0,,0.4,0,0,0,,,0
24,Shawn Taggart,106,,2.8,5.6,0.492,2.6,5.1,0.515,0.1,0.5,0.264,1.8,2.5,0.711,5.2,0.3,0.5,0.9,0.8,,7.4
25,Joonas Tahvanainen,9,6,0.7,1.3,0.5,0.6,1.1,0.5,0.1,0.2,0.5,0.2,0.2,1,1.8,0.1,0.4,0,0.3,0.8,1.7
26,Sean Taibi,23,,4,8.8,0.455,2,3.7,0.529,2,5.1,0.402,1,1.4,0.75,3,0.7,0.4,0,1.3,,11.1
27,David Tairu,67,22.2,3.3,7.3,0.453,2.3,5,0.466,1,2.3,0.424,2.1,2.8,0.732,2.9,0.7,0.5,0.2,1,2,9.6
28,Lance Takaki,35,,0.1,0.2,0.429,0.1,0.2,0.5,0,0,0,0.2,0.3,0.583,0.2,0.1,0,0,,,0.4
29,Sama Taku,69,26.6,3.5,8.9,0.394,2.9,6.9,0.421,0.6,2,0.302,2,2.6,0.764,3.8,2,0.8,0,1.7,2.2,9.6
30,Chance Talbert,21,,0.5,1.2,0.385,0.5,1.1,0.435,0,0.1,0,0.4,0.7,0.571,1.3,0.2,0.2,0,0.5,,1.3
31,Ezra Talbert,47,12.6,1.6,3.5,0.448,1,2,0.469,0.6,1.5,0.42,0.7,1,0.702,2,0.2,0.2,0.1,0.7,1.6,4.5
32,Jacob Talbert,12,3.1,0.4,1.2,0.357,0.4,0.5,0.833,0,0.7,0,0.3,0.3,0.75,0.9,0.5,0.2,0,0.3,0.8,1.1
33,Josiah Talbert,9,6.6,0.8,2.6,0.304,0.8,1.8,0.438,0,0.8,0,0.2,0.8,0.286,1.3,0,0.2,0.2,0.4,1.1,1.8
34,Gilbert Talbot,44,5.6,1,1.8,0.538,1,1.8,0.538,0,0,,0.4,0.8,0.459,1.8,0.1,0,0.1,0.4,1.4,2.3
35,Shauhin Talesh,17,,0.4,0.8,0.429,0.4,0.6,0.545,0,0.2,0,0.4,0.6,0.6,0.3,0.5,0.2,0,,,1.1
36,Idris Talib,3,,0.3,0.3,1,0.3,0.3,1,0,0,,0,1.7,0,0.7,0,0.7,0,,,0.7
37,Chris Talkington,46,14.3,1.7,4.6,0.381,0.7,1.4,0.47,1.1,3.1,0.34,1,1.4,0.734,1.8,0.5,0.2,0,0.7,1.7,5.6
38,Ted Talkington,46,,0.3,0.6,0.448,0.1,0.2,0.5,0.2,0.5,0.429,0.2,0.3,0.583,0.5,0.4,0.2,0.1,0.3,,0.9
39,Racine Talla,42,10.7,0.6,2.3,0.263,0.5,1.6,0.294,0.1,0.6,0.185,0.5,1,0.575,2,0.3,0.2,0.5,0.8,1.6,1.9
40,James Tallarico,2,,0.5,0.5,1,0.5,0.5,1,0,0,,0,0,,0,0,0.5,0,,,1
41,Arthur Talley,28,,0.1,0.4,0.333,0.1,0.2,0.333,0.1,0.2,0.333,0,0.1,0,0.4,0.1,0.2,0.1,,,0.4
42,Brian Talley,25,,0.6,2,0.28,0.3,0.8,0.381,0.2,1.2,0.207,0.2,0.4,0.5,0.8,1,0.2,0,1.1,,1.6
43,Dylan Talley,84,30.1,4.1,10.6,0.387,2.7,6.5,0.417,1.4,4.1,0.339,2.1,2.9,0.738,4,2.1,0.9,0.3,2.2,2.1,11.7
44,Eric Talley,56,,4.4,10.2,0.431,3,6.3,0.474,1.4,3.9,0.361,1.6,2.5,0.667,3,2.6,1.1,0.1,,,11.8
45,Gene Talley,27,,4.3,10.3,0.414,3,7.5,0.396,1.3,2.8,0.461,1.6,2.1,0.759,4.7,0.6,1.1,0.3,,,11.4
46,Jordon Talley,68,25.2,2.7,6.9,0.391,2.2,5.2,0.428,0.5,1.7,0.276,2.9,3.7,0.773,2.5,3.5,1.3,0,1.7,3.3,8.7
47,Marlow Talley,63,,2,4.1,0.484,1.8,3.5,0.507,0.2,0.6,0.343,0.7,1.1,0.687,2.8,0.9,0.6,0.4,,,4.9
48,Mike Talley,135,25.7,2.8,7.2,0.388,1.9,4.4,0.433,0.9,2.8,0.315,2.9,4.3,0.683,1.7,3.1,1,0,1.8,2,9.4
49,Zoran Talley,40,23.1,3.4,7.2,0.477,3.3,6.8,0.487,0.1,0.4,0.286,1.1,1.6,0.677,4.2,1.6,0.5,0.1,1,1.7,8
50,Nate Tallman,2,,0,0,,0,0,,0,0,,0,0,,0.5,0,0,0,,,0
51,Gary Talton,64,32.7,3.9,10.4,0.378,3,7.1,0.417,1,3.3,0.293,3.2,3.7,0.865,3.7,3.9,1,0.2,2.7,1.7,12
52,Tyree Talton,3,,0,0.7,0,0,0.3,0,0,0.3,0,0,0,,1,0,0,0,,,0
53,Xavier  Talton,135,17.9,1.3,3.5,0.36,0.7,1.8,0.363,0.6,1.7,0.357,0.7,1,0.754,1.8,1.4,0.5,0.1,1.1,1.6,3.9
54,Marcos Tamares,90,18.2,1.9,5.1,0.372,1.5,3.6,0.406,0.4,1.5,0.292,0.9,1.5,0.649,2.5,0.5,0.6,0.2,1.1,1.7,5.2
55,Amit Tamir,83,,4.6,10.9,0.417,2.9,6.4,0.453,1.6,4.5,0.365,2,2.4,0.811,5.2,2.2,0.8,0.4,,,12.7
56,Quinn Tamm,17,,0.7,1.8,0.4,0.3,0.8,0.357,0.4,0.9,0.438,0.2,0.5,0.444,1,0.1,0.1,0,,,2.1
57,Adam Tancredi,53,,0.9,2.3,0.403,0.9,2.2,0.407,0,0.1,0.333,0.4,0.5,0.76,1.7,0.2,0.3,0.1,,,2.3
58,George Tandy,125,,2.1,4.5,0.48,2.1,4.4,0.484,0,0,0.167,1.9,2.4,0.764,5.3,0.8,0.8,1.2,1.2,,6.2
59,Chop Tang,9,,2.3,8.9,0.263,1.3,6.4,0.207,1,2.4,0.409,3,3.7,0.818,4.2,1.1,0.2,0.3,1.2,,8.7
60,Chris Tang,10,3.9,0.6,1.1,0.545,0.4,0.7,0.571,0.2,0.4,0.5,0,0.2,0,0.8,0.3,0,0,0.1,0.4,1.4
61,Mohamed Tangara,44,,0.3,0.6,0.429,0.3,0.6,0.444,0,0,0,0.3,0.6,0.6,0.7,0,0.2,0.2,0.3,,0.9
62,Leonard Tangishaka,55,,1.1,3.6,0.321,1.1,3.1,0.337,0.1,0.4,0.208,0.9,1.7,0.554,4.2,0.8,0.5,1,,,3.3
63,Tom Tankelewicz,113,17.9,2.3,5.9,0.387,0.7,1.6,0.433,1.6,4.3,0.37,0.8,0.9,0.871,1.9,0.6,0.6,0.2,0.9,1.8,6.9
64,Damon Tankersley,25,,1.2,3.1,0.39,1,2,0.49,0.2,1.1,0.214,0.8,1.5,0.568,1,1,0.4,0,,,3.5
65,Ameen Tanksley,134,31.3,4.3,10.3,0.416,2.7,5.8,0.456,1.6,4.5,0.364,2.9,4,0.719,5.6,1.3,1.1,0.3,1.6,2.8,13.1
66,Robert Tankson,1,,3,6,0.5,0,1,0,3,5,0.6,0,0,,1,2,1,0,,,9
67,Shawn Tann,111,,1.6,4.9,0.328,0.6,1.7,0.342,1,3.2,0.32,0.5,0.7,0.757,1.2,0.5,0.3,0.1,,,4.7
68,Caleb Tannehill,2,4,0,0.5,0,0,0.5,0,0,0,,0,0,,0,0,0,0,0,1.5,0
69,Adam Tanner,52,,2.8,6.1,0.456,1.9,3.9,0.493,0.9,2.2,0.391,2.4,3.2,0.744,4.3,2.1,0.6,0.5,2.3,,8.8
70,Alton Tanner,16,13,0.8,2.5,0.3,0.4,1.3,0.333,0.3,1.2,0.263,0.9,1.3,0.75,1.7,0.4,0.4,0,0.8,1.6,2.8
71,Caleb Tanner,29,11,1.7,4.4,0.383,0.3,0.9,0.36,1.4,3.6,0.388,0.3,0.4,0.833,0.4,0.4,0.1,0,0.3,0.4,5.1
72,David Tanner,2,,0,0,,0,0,,0,0,,0,0,,1,0,0,0,0.5,,0
73,Deaundra Tanner,113,,4.1,10.5,0.385,2.5,6.1,0.406,1.6,4.5,0.356,2.7,3.5,0.758,3.9,4,1.6,0.1,,,12.4
74,Frank Tanner,13,1.5,0.1,0.6,0.125,0.1,0.4,0.2,0,0.2,0,0,0,,0.2,0.1,0,0,0.2,0.2,0.2
75,Herb Tanner,94,14.7,0.9,3,0.306,0.6,1.8,0.363,0.3,1.2,0.224,0.5,1.1,0.465,1.1,1.2,0.5,0.1,1.3,0.4,2.6
76,J.B. Tanner,39,,0.3,0.8,0.406,0.1,0.2,0.5,0.3,0.7,0.385,0.1,0.2,0.333,0.2,0,0.1,0,0.1,,1
