ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jerome Vaden,57,,2.8,7.5,0.376,1.4,2.8,0.491,1.4,4.6,0.306,1.1,1.4,0.785,1.4,0.9,0.6,0,,,8.1
2,Robert Vaden,127,,5.3,13.2,0.405,2.3,5.3,0.44,3,7.8,0.382,2.2,2.7,0.808,4.6,2.6,1.2,0.3,2.7,,15.8
3,Tony Vaglienti,2,,1,2,0.5,1,2,0.5,0,0,,0,0,,0,0.5,0,0.5,,,2
4,Jeremy Vague,69,,2.4,4.3,0.552,2.4,4.3,0.554,0,0,0,1,1.7,0.576,3.8,0.4,0.2,0.8,,,5.8
5,Arvydas Vaitiekus,19,,1,1.4,0.704,1,1.4,0.704,0,0,,0,0.1,0,1.4,0.1,0.1,0.3,,,2
6,Brian Vaka,116,,1.5,3.8,0.402,1.2,2.5,0.467,0.4,1.3,0.282,1.2,1.8,0.682,2.5,1.4,0.6,0.2,,,4.7
7,Aaron Valdes,94,22.7,3.7,7.7,0.479,2.9,5.3,0.545,0.8,2.5,0.338,2.1,3.2,0.656,4.3,1.3,1.1,0.4,1.2,1.9,10.4
8,Juan Valdez,49,,1.6,3.8,0.418,1.6,3.6,0.427,0,0.1,0.167,1,2,0.49,3.7,0.7,0.3,0.7,,,4.1
9,Nick Valdez,47,,1.5,3.4,0.438,1.1,2.3,0.5,0.4,1.1,0.315,1.5,2,0.734,3.4,2.4,1,0.2,,,4.8
10,Donald Vale,69,,2,4.7,0.426,1.8,4.1,0.446,0.2,0.6,0.295,1,1.6,0.6,2.9,0.5,0.6,0.5,,,5.1
11,Arturas Valeika,62,,3,5.7,0.528,2.5,4.4,0.579,0.5,1.4,0.365,2.4,3.5,0.687,8.3,1.1,0.7,0.8,2.1,,8.9
12,Florentino Valencia,122,,4.1,6.5,0.622,4.1,6.5,0.622,0,0,,2.3,3.6,0.651,4.1,0.6,0.6,0.3,,,10.5
13,Phil Valenti,101,25.6,3.6,7.9,0.463,3,5.8,0.51,0.7,2,0.329,1.9,2.6,0.748,5,1.8,0.8,0.3,1.6,2.4,9.9
14,Eric Valentin,15,2.9,0.2,0.8,0.25,0.1,0.3,0.4,0.1,0.5,0.143,0.3,0.4,0.667,0.2,0.3,0.2,0,0.3,0.3,0.7
15,Andre Valentine,42,,1.9,4.8,0.399,1.6,3.5,0.466,0.3,1.3,0.218,1.4,2.5,0.552,3.8,0.6,0.5,0.1,,,5.5
16,Art Valentine,46,,0.4,1.3,0.339,0.4,1.2,0.37,0,0.1,0,0.2,0.4,0.5,1.2,0.2,0.2,0.1,,,1.1
17,Benny Valentine,77,20.1,3.4,8.7,0.386,2,4.8,0.424,1.3,3.9,0.34,1.6,2.3,0.703,1.9,2.5,1.1,0,2.3,0.8,9.7
18,Darnell Valentine,118,33.1,5.4,11.4,0.476,,,,,,,4.6,6.4,0.718,3.6,,,,,,15.4
19,Denzel Valentine,144,29,4,9.1,0.442,2.2,4.6,0.476,1.8,4.5,0.408,1.5,2,0.779,5.9,4.4,0.9,0.3,2.2,2.1,11.4
20,Drew Valentine,136,25.7,2.9,5.7,0.508,2.2,3.8,0.586,0.7,1.9,0.355,1.4,2,0.667,5.2,1.8,1.1,0.1,1.7,2.1,7.9
21,George Valentine,131,30.1,2.2,4,0.564,2.2,4,0.564,0,0,,0.9,1.7,0.502,5.2,0.6,1,0.7,1.1,1.4,5.4
22,Ronnie Valentine,101,33,9.5,18.5,0.515,,,,,,,2.8,3.8,0.726,9.4,,,,,,21.8
23,Shawn Valentine,128,18.4,1.3,3.5,0.371,0.8,1.9,0.426,0.5,1.6,0.308,0.7,1.1,0.652,2.6,1,0.7,0.3,1.1,2,3.8
24,Sorrell Valentine,18,,0.4,1,0.444,0.4,0.9,0.5,0,0.1,0,0.1,0.3,0.4,0.2,0.7,0.1,0,,,1
25,Brett Valentyn,51,4.3,0.2,0.6,0.345,0,0,0.5,0.2,0.5,0.333,0.1,0.1,0.75,0.3,0.2,0,0,0.1,0.3,0.6
26,Luis Valera,60,23.5,2.8,5.5,0.509,2.8,5.5,0.512,0,0,0,1.9,3,0.652,4.3,0.3,0.3,0.4,1.4,1.7,7.5
27,Norbert Valis,12,,0.3,0.4,0.6,0.3,0.3,0.75,0,0.1,0,0.1,0.2,0.5,0.3,0.3,0,0,,,0.6
28,Vytautus Valiulis,57,,1.3,4.1,0.316,0.8,2,0.421,0.4,2.1,0.214,0.8,1.3,0.639,1.6,1.8,0.9,0,,,3.8
29,Zarko Valjarevic,83,26.7,3.1,8.1,0.39,1,2.2,0.434,2.2,5.9,0.373,0.9,1.3,0.74,1.8,1.1,0.6,0,1.1,1.5,9.4
30,Nick Valla,15,6.1,0.2,0.7,0.3,0.1,0.3,0.5,0.1,0.4,0.167,0.2,0.3,0.75,0.2,0.3,0.1,0,0.4,1,0.7
31,James Valladares,92,13.3,0.7,2,0.35,0.5,1.3,0.405,0.2,0.7,0.254,0.2,0.3,0.571,1.4,0.2,0.1,0.3,0.3,1.1,1.8
32,Ryan Valley,2,,0.5,1,0.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,0,,,1.5
33,David Vallins,9,,0,0.1,0,0,0.1,0,0,0,,0,0,,0,0,0,0,0.2,,0
34,Travis Valmon,3,2,0,0.3,0,0,0.3,0,0,0,,0.7,0.7,1,0.7,0,0.3,0,0.7,1,0.7
35,Corey Valsin,103,,1.7,4.3,0.406,1.5,3.4,0.457,0.2,0.9,0.227,0.9,1.5,0.605,3.7,1,0.5,0.1,,,4.6
36,Alphons Van,38,,1.5,2.8,0.542,1.5,2.8,0.547,0,0,0,0.4,0.8,0.467,2.4,0.3,0.1,0.3,,,3.4
37,Jacob Van,46,16.1,2.2,4.6,0.488,1.4,2.9,0.493,0.8,1.7,0.481,1.5,1.8,0.8,1.6,1.4,0.5,0,0.9,0.7,6.8
38,Josh Van,5,,0,0.4,0,0,0,,0,0.4,0,0.4,0.8,0.5,0.6,0.2,0,0,,,0.4
39,Marc Van,9,,0,0.8,0,0,0.8,0,0,0,,0.3,0.4,0.75,1,0.3,0.2,0,,,0.3
40,Marcus Van,56,,3.5,6.8,0.52,3.5,6.8,0.52,0,0,,2.1,3.7,0.573,6.7,0.2,0.5,1.3,1.3,,9.1
41,Ronnie Van,26,,2.3,6,0.387,1.6,4,0.408,0.7,2,0.346,0.7,1,0.667,1.4,0.6,0.4,0,,,6
42,Sean Van,19,,0.2,0.5,0.333,0,0.2,0,0.2,0.3,0.6,0.4,0.4,0.875,0.4,0.2,0.1,0.1,,,0.8
43,Tim Van,40,,1.5,3.3,0.466,1.5,3.3,0.469,0,0,0,0.5,0.8,0.563,2.6,0.7,0.4,0.8,,,3.5
44,T.J. Van Auken,1,,,,,,,,0,0,,,2,,0,0,0,0,,,0
45,Ray Van Beveren,26,,2.4,4.3,0.559,,,,,,,0.7,1.7,0.395,5.3,0.7,0.7,0.4,,,5.4
46,Jan Van Breda Kolff,80,34.8,3.3,7.8,0.419,,,,,,,2.8,3.5,0.791,7,,,,,,9.3
47,Luuk van Bree,40,25.2,2.8,7.2,0.394,1.4,3.2,0.426,1.5,4,0.367,0.9,1.4,0.655,4.2,1,0.6,0.4,1.6,3.5,8
48,Brody Van Brocklin,62,,1.3,3.3,0.398,0.4,1,0.4,0.9,2.4,0.397,0.7,1,0.75,2,1.8,0.9,0.1,1,,4.3
49,Connor Van Brocklin,7,2.4,0.4,0.7,0.6,0,0.1,0,0.4,0.6,0.75,0.3,0.3,1,0.1,0.1,0.1,0,0,0.6,1.6
50,Marc Van Burck,6,,0,0.3,0,0,0.3,0,0,0,,0,0,,0.3,0,0,0.5,0,,0
51,Eric Van Buskirk,14,,0.1,0.3,0.5,0.1,0.3,0.5,0,0,,0.2,0.7,0.3,0.6,0.7,0,0,,,0.5
52,Eric Van Cleave,6,,0,0,,0,0,,0,0,,0,0,,0.3,0.2,0,0,0.2,,0
53,Tom Van de Keere,17,,0.2,1.2,0.143,0.1,0.6,0.091,0.1,0.6,0.2,0.5,0.7,0.75,0.6,0.5,0.2,0,,,1
54,Win Van de Keere,55,,3.1,7.7,0.399,1.3,2.6,0.49,1.8,5.1,0.352,1.4,1.7,0.781,3.3,0.9,0.9,0.2,,,9.3
55,Julius van de Laar,27,,0.7,1.2,0.545,0.7,1.1,0.621,0,0.1,0,0.4,0.6,0.688,1.4,0.5,0.2,0.1,,,1.7
56,Sean Van De Walle,10,,0.2,0.7,0.286,0.1,0.4,0.25,0.1,0.3,0.333,0,0,,0.2,0,0,0,,,0.5
57,Jan van den Berg,3,,0.7,1,0.667,0.7,1,0.667,0,0,,0.3,0.7,0.5,1,0,0,0.3,,,1.7
58,Jan van der Kooij,53,15.6,1.4,3.8,0.378,0.7,1.4,0.5,0.8,2.4,0.31,0.2,0.4,0.545,2.6,0.6,0.2,0.1,0.6,1.2,3.8
59,Thomas van der Mars,127,25.3,3.9,7,0.557,3.9,7,0.557,0,0,0,2,3.1,0.658,6.5,0.8,0.5,0.9,1.4,2.6,9.9
60,Gavin Van Der Putten,85,,2.5,5,0.504,2.5,5,0.504,0,0,,1.4,2.2,0.65,4.7,0.5,0.3,0.9,,,6.4
61,Gerben Van Dorpe,104,,3.8,8.7,0.432,3.3,7.2,0.451,0.5,1.5,0.338,1.5,2.2,0.682,4.9,0.9,0.6,1.9,,,9.6
62,Matt Van Dyk,31,4.5,0.5,0.8,0.538,0.5,0.8,0.538,0,0,,0.4,0.7,0.571,1.2,0.4,0.1,0.3,0.2,0.5,1.3
63,Jeff Van Dyke,18,6.4,0.3,1.2,0.238,0,0.1,0,0.3,1.1,0.25,0,0,,0.4,0.2,0.2,0,0.3,1.1,0.8
64,Julian Van Dyke,56,,0.5,1,0.448,0.5,1,0.464,0,0,0,0.2,0.4,0.565,1.2,0.2,0.2,0,,,1.2
65,Parker Van Dyke,23,9.8,0.9,2,0.447,0.5,0.9,0.6,0.4,1.2,0.333,0.3,0.3,1,0.7,1,0.2,0.1,0.4,0.5,2.5
66,Parker Van Dyke,8,24.4,2.8,7,0.393,1.1,3,0.375,1.6,4,0.406,0.3,0.6,0.4,2.6,1.6,0.6,0,0.5,2.1,7.4
67,Pete Van Elswyk,58,,1.2,2.6,0.46,1.2,2.5,0.462,0,0.1,0.4,1,1.6,0.626,3,0.4,0.3,0.2,,,3.4
68,Peter Van Elswyk,55,,1.8,3.5,0.516,1.5,2.7,0.547,0.3,0.8,0.405,1.1,2.1,0.525,4.2,0.7,0.4,0.2,,,5
69,Nick Van Exel,65,29,5.3,12.9,0.409,3,6.5,0.459,2.3,6.3,0.358,2.4,3.4,0.701,2.5,3.6,1.5,0.1,2,1.6,15.2
70,Ronnie Van Hook,28,,2.3,4.7,0.492,2.1,4,0.531,0.2,0.7,0.263,1.9,2.7,0.684,1.5,0.9,0.9,0,,,6.7
71,Jon Van Hoose,3,,0,0.7,0,0,0,,0,0.7,0,0,0,,0.3,0,0,0,0,,0
72,Keith Van Horn,122,30.6,7.3,14,0.522,5.6,9.8,0.575,1.7,4.2,0.401,4.5,5.3,0.851,8.8,1.2,0.7,1,2.3,2.1,20.8
73,Alphons van Ierland,20,,1.2,3,0.407,1.2,3,0.407,0,0,,0.3,0.9,0.353,2.4,0.5,0.2,0.3,,,2.7
74,Kenneth van Kempen,134,27.8,1.7,3.9,0.43,1.6,3.8,0.437,0.1,0.2,0.28,0.5,0.8,0.636,3.6,0.5,0.3,0.3,1.1,0.9,3.9
75,Kenny Van Kirk,83,,1.2,2.7,0.447,1.2,2.7,0.451,0,0,0,1.2,1.6,0.748,2.2,0.4,0.4,0.5,,,3.7
76,Andrew Van Nest,64,9.7,1,2.5,0.381,0.6,1.1,0.507,0.4,1.4,0.281,0.4,0.5,0.8,1.5,0.3,0.2,0.3,0.6,1.5,2.7
77,Jared Van Orden,19,,1.4,4.5,0.318,0.3,0.7,0.462,1.1,3.8,0.292,0.3,0.3,0.833,1.7,0.8,0.5,0.1,,,4.2
78,Peter Van Paassen,111,,3.1,6.2,0.505,3.1,6.1,0.51,0,0.1,0,2.6,3.8,0.676,5.5,0.7,0.5,0.4,,,8.8
79,Riley Van Patten,79,,0.3,0.8,0.403,0.2,0.4,0.371,0.2,0.4,0.438,0.3,0.4,0.7,0.7,0.7,0.3,0.1,,,1.1
80,Ryan Van Pelt,2,3,0,0,,0,0,,0,0,,0,0,,0,0.5,0.5,0,0.5,1,0
81,Peter Van Rij,96,,2.1,4,0.528,2.1,3.9,0.53,0,0,0,1.3,2.2,0.571,3,0.4,0.5,0.5,,,5.4
82,Rolf van Rijn,120,,2.9,4.9,0.589,2.9,4.9,0.59,0,0,0,2.2,4,0.566,4.6,0.1,0.2,1.7,,,8
83,Toby Van Ry,10,1.9,0.1,0.8,0.125,0.1,0.5,0.2,0,0.3,0,0.1,0.2,0.5,0.2,0,0.1,0,0.1,0.3,0.3
84,Julius Van Sauers,14,14.8,0.7,2.6,0.27,0.4,1.2,0.294,0.4,1.4,0.25,0.9,0.9,0.923,2.9,0.5,0.4,0.2,1.1,1.9,2.6
85,Michael Van Schaick,115,,2.6,5.9,0.436,1.2,2.3,0.494,1.4,3.6,0.398,1.5,1.8,0.835,2.5,1.6,0.9,0.2,,,8.1
86,Matt Van Scyoc,41,22.5,2.8,6.9,0.401,1,2,0.5,1.8,4.9,0.361,1.1,1.9,0.597,3.1,0.4,0.2,0.4,1.2,2.9,8.4
87,Matt Van Scyoc,63,31.6,4,9.4,0.431,2.1,4,0.514,2,5.3,0.368,2.7,3.3,0.828,4.3,1.1,0.5,0.7,2,2.7,12.8
88,Bill Van Senus,82,,0.1,0.5,0.267,0.1,0.5,0.267,0,0,,0.2,0.4,0.483,1,0.1,0.1,0.3,0.2,,0.5
89,Pete Van Siclen,3,,0.3,1.3,0.25,0,0.7,0,0.3,0.7,0.5,0.7,0.7,1,0,0.3,0,0,,,1.7
90,Peter Van Siclen,21,,2,4.3,0.478,0.9,1.7,0.514,1.2,2.6,0.455,0.7,0.9,0.737,0.9,1.3,0.9,0,,,6
91,Kirk Van Slyke,117,17.5,2.8,6.1,0.459,2,3.9,0.512,0.8,2.2,0.364,1.5,1.9,0.811,3.2,0.5,0.3,0.6,1,2.2,7.9
92,Harvey Van Stein,78,,1,2.4,0.413,0.9,2.1,0.442,0.1,0.3,0.19,0.8,1.2,0.67,2.6,0.7,0.4,0.4,,,2.8
93,Jared Van Tassel,7,,0.3,0.6,0.5,0.3,0.4,0.667,0,0.1,0,0,0,,0.3,0.1,0,0,0,,0.6
94,Jasper van Teeseling,103,,1.7,3.3,0.516,1.7,3.3,0.517,0,0,0,0.5,1,0.505,3.1,0.5,0.4,0.2,,,3.9
95,Brad Van Timmeren,54,,1.8,3.9,0.474,1.8,3.8,0.478,0,0.1,0.25,1.4,2.4,0.605,6,0.6,0.8,0.2,,,5.1
96,Brad Van Timmerma,57,,0.9,1.9,0.509,0.9,1.8,0.514,0,0,0,0.6,1.4,0.439,3.9,0.2,0.4,0.2,,,2.5
97,Pieter van Tongeren,122,14.9,2,3.7,0.552,2,3.7,0.552,0,0,,0.8,1.5,0.565,2.9,0.2,0.2,0.3,0.9,1.2,4.9
98,Stephan Van Treese,126,13.6,0.9,1.4,0.657,0.9,1.4,0.659,0,0,0.5,0.3,0.6,0.5,3.7,0.4,0.6,0.4,0.5,1.5,2.2
99,Michael van Veen,70,,1.8,5.1,0.356,0.9,2.2,0.437,0.9,2.9,0.296,0.6,1,0.562,2.2,1,0.6,0,,,5
