ID,NAME
3932, Ivan Rabb
3933, Drew Rackley
3934, Jonah Radebaugh
3935, Jonathan Radner
3936, Luka Radovic
3937, Zach Radz
3938, Matt Rafferty
3939, John Ragin
3940, Joe Rahon
3941, Zigmars Raimo
3942, Remu Raitanen
3943, Nikola Rakicevic
3944, Gligorije Rakocevic
3945, Nick Rakocevic
3946, Donald Ralls
3947, Michael Ramey
3948, Andrew Ramirez
3949, Zach Rammelt
3950, Dwight Ramos
3951, Devearl Ramsey
3952, Mason Ramsey
3953, Craig Randall II
3954, Jarrin Randall
3955, Brandon Randolph
3956, Will Ransom
3957, Mike Ranson
3958, Xavier Rathan-Mayes
3959, Jordan Ratinho
3960, Brett Rau
3961, Alec Raven
3962, Justin Ravenel
3963, Tyler Rawson
3964, Kendrick Ray
3965, Quinton Ray
3966, Colton Ray-St Cyr
3967, Will Rayman
3968, Khyan Rayner
3969, Janai Raynor Powell
3970, Braylon Rayson
3971, Dana Raysor
3972, I.J. Ready
3973, Duop Reath
3974, Austin Reaves
3975, Josh Reaves
3976, Dominic Rector
3977, Shane Rector
3978, Darreon Reddick
3979, Corey Redman
3980, Cameron Reed
3981, Davon Reed
3982, Jordan Reed
3983, Jordan Reed
3984, Marcquise Reed
3985, Trayvon Reed
3986, Yalen Reed
3987, Isaiah Reese
3988, J-Mychal Reese
3989, Nick Reese
3990, Trey Reeves
3991, Malcolm Regisford
3992, Cal Reichwein
3993, A.C. Reid
3994, James Reid
3995, Jaylen Reid
3996, Reggie Reid
3997, Troy Reid-Knight
3998, Rusty Reigel
3999, Katin Reinhardt
4000, Marc Reininger
4001, Daniel Relvao
4002, Nate Renfro
4003, Stevie Repichowski
4004, Josh Repine
4005, Dillon Reppart
4006, Jarred Reuter
4007, Chris Reyes
4008, Johncarlos Reyes
4009, Sammis Reyes
4010, Blake Reynolds
4011, Cameron Reynolds
4012, Darryl Reynolds
4013, Jadon Reynolds
4014, Miles Reynolds
4015, Vittorio Reynoso-Avila
4016, Jalen Rhea
4017, Kyle Rhoades
4018, Dondre Rhoden
4019, Hunter Rhodes
4020, Jarrid Rhodes
4021, Deng Riak
4022, Nigel Ribeiro
4023, Travis Rice
4024, Adrian Rich
4025, Khalil Richard
4026, Lance Richard
4027, Kamall Richards
4028, Ben Richardson
4029, D'Angelo Richardson
4030, James Richardson
4031, Jason Richardson
4032, Julian Richardson
4033, Ryan Richardson
4034, JaQuel Richmond
4035, Lee Richmond
4036, Emondre Rickman
4037, Payten Ricks
4038, Laquincy Rideau
4039, Desmond Ridenour
4040, Patrick Rielly
4041, Alex Rifkind
4042, Mason Riggins
4043, Troy Rike
4044, Andrew Riley
4045, Darrell Riley
4046, Gus Riley
4047, Tashombe Riley
4048, Grant Riller
4049, Schuyler Rimmer
4050, John Rinaldi
4051, Desmond Ringer
4052, James Ringholt
4053, Dusan Ristic
4054, Tom Rivard
4055, Pablo Rivas
4056, Angel Rivera
4057, Lonnie Rivera
4058, Thomas Rivera
4059, Felix Rivera-Vega
4060, C.J. Rivers
4061, Demetre Rivers
4062, Jimario Rivers
4063, Maurice Rivers
4064, Spencer Rivers
4065, Kerwin Roach Jr.
4066, Jamaal Robateau
4067, Dominic Robb
4068, Mike Robbins
4069, Jeff Roberson
4070, Tyler Roberson
4071, Legend Robertin
4072, Cleon Roberts
4073, Justin Roberts
4074, Arkim Robertson
4075, Ben Robertson
4076, David Robertson
4077, Jaylan Robertson
4078, Jordan Robertson
4079, Kassius Robertson
4080, Elbert Robinson III
4081, Galen Robinson Jr.
4082, Patrick Robinson Jr.
4083, Aaron Robinson
4084, Alex Robinson
4085, Andrew Robinson
4086, Brandon Robinson
4087, Broderick Robinson
4088, Bryson Robinson
4089, Calaen Robinson
4090, Chris Robinson
4091, Clint Robinson
4092, Da'Shawn Robinson
4093, Dan Robinson
4094, Devin Robinson
4095, Dontaveon Robinson
4096, Dulani Robinson
4097, Duncan Robinson
4098, Ghiavonni Robinson
4099, Jamall Robinson
4100, Jerome Robinson
4101, Jordan Robinson
4102, Josh Robinson
4103, Josh Robinson
4104, Junior Robinson
4105, Justin Robinson
4106, Justin Robinson
4107, Justin Robinson
4108, KJ Robinson
4109, Kelvin Robinson
4110, Mike Robinson
4111, Nick Robinson
4112, Raemond Robinson
4113, Ray Robinson
4114, Stanford Robinson
4115, Tyler Robinson
4116, Zaynah Robinson
4117, Noah Robotham
4118, Davell Roby
4119, Isaiah Roby
4120, Julian Roche
4121, Matthew Rodden
4122, Brian Rodriguez
4123, Desi Rodriguez
4124, Mike Rodriguez
4125, Willie Rodriguez
4126, Adam Roe
4127, Austin Rogers
4128, Hakeem Rogers
4129, Isiah Rogers
4130, Nick Rogers
4131, Steve Rogers
4132, Aaron Rohlman
4133, Nate Rohrer
4134, Lazaro Rojas
4135, Jordan Roland
4136, Van Rolle
4137, Chris Rollins
4138, Solomon Rolls-Tyson
